Unnamed: 0,OAK,CLE
First Downs,19,15
Rush-Yds-TDs,21-76-0,25-39-1
Cmp-Att-Yd-TD-INT,34-56-328-1-1,19-28-275-1-0
Sacked-Yards,4-17,1-8
Net Pass Yards,311,267
Total Yards,387,306
Fumbles-Lost,4-2,1-0
Turnovers,3,0
Penalties-Yards,8-54,6-30
Third Down Conv.,6-19,2-12
Fourth Down Conv.,3-4,0-0
Time of Possession,34:52,25:08
