Quarter,Time,Down,ToGo,Location,OAK,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,OAK 20,0,0,Derek Carr pass complete short right to Andre Holmes for 15 yards,0.280,1.270
1,14:32,1,10,OAK 35,0,0,Darren McFadden right guard for 15 yards (tackle by Karlos Dansby and Joe Haden),1.270,2.260
1,13:51,1,10,,0,0,Darren McFadden left guard for 8 yards (tackle by Ahtyba Rubin),2.260,2.790
1,13:08,2,2,CLE 42,0,0,Derek Carr pass complete short left to Kenbrell Thompkins for 5 yards (tackle by Joe Haden),2.790,3.120
1,12:52,1,10,CLE 37,0,0,Darren McFadden pass incomplete deep right intended for Derek Carr (defended by Paul Kruger),3.120,2.570
1,12:38,2,10,CLE 37,0,0,Maurice Jones-Drew left tackle for -4 yards (tackle by Paul Kruger),2.570,1.360
1,11:57,3,14,CLE 41,0,0,Derek Carr pass complete short left to James Jones for 2 yards (tackle by Joe Haden),1.360,0.660
1,11:30,4,12,CLE 39,0,0,"Matt Schaub pass incomplete intended for Mychal Rivera is intercepted by Tashaun Gipson at OAK-48 and returned for 35 yards. Matt Schaub fumbles, recovered by Matt Schaub at OAK-48",0.660,-2.390
1,11:00,1,10,OAK 48,0,0,Brian Hoyer pass complete short left to Andrew Hawkins for 14 yards (tackle by Sio Moore),2.390,3.310
1,10:40,1,10,OAK 34,0,0,Brian Hoyer pass incomplete short middle intended for Jordan Cameron (defended by Brandian Ross),3.310,2.770
1,10:36,2,10,OAK 34,0,0,Ben Tate right end for no gain (tackle by Carlos Rogers),2.770,2.080
1,10:05,3,10,OAK 34,0,0,Brian Hoyer pass incomplete deep middle intended for Jordan Cameron,2.080,1.060
1,9:59,4,10,OAK 34,0,3,Billy Cundiff 52 yard field goal good,1.060,3.000
1,9:59,,,CLE 35,0,3,"Billy Cundiff kicks off 71 yards, returned by Travis Carrie for 21 yards (tackle by K'Waun Williams)",0.000,0.220
1,9:51,1,10,OAK 15,0,3,Darren McFadden right guard for 5 yards (tackle by Ishmaa'ily Kitchen),-0.220,0.080
1,9:10,2,5,OAK 20,0,3,Maurice Jones-Drew left guard for 4 yards (tackle by Karlos Dansby and Craig Robertson),0.080,-0.270
1,8:28,3,1,OAK 24,0,3,Derek Carr pass complete short middle to Mychal Rivera for 8 yards (tackle by Donte Whitner),-0.270,1.070
1,7:45,1,10,OAK 32,0,3,Derek Carr pass incomplete short left intended for Darren McFadden (defended by Craig Robertson),1.070,0.530
1,7:38,2,10,OAK 32,0,3,Derek Carr pass complete short right to Mychal Rivera for 9 yards (tackle by Donte Whitner and Karlos Dansby),0.530,1.030
1,7:01,3,1,OAK 41,0,3,Derek Carr pass incomplete short left intended for Andre Holmes (defended by Ahtyba Rubin),1.030,-0.650
1,7:01,4,1,OAK 41,0,3,Marquette King punts 30 yards,-0.650,-0.870
1,6:51,1,10,CLE 29,0,3,Ben Tate left tackle for -1 yards (tackle by Khalil Mack),0.870,0.190
1,6:12,2,11,CLE 28,0,3,Brian Hoyer pass complete short right to Taylor Gabriel for 48 yards (tackle by Benson Mayowa),0.190,3.970
1,5:36,1,10,OAK 24,0,3,Ben Tate right tackle for no gain (tackle by Khalil Mack),3.970,3.430
1,4:54,2,10,OAK 24,0,3,Brian Hoyer pass incomplete short middle intended for Andrew Hawkins,3.430,2.740
1,4:51,3,10,OAK 24,0,3,"Brian Hoyer pass complete short middle to Miles Austin for 9 yards (tackle by Carlos Rogers). Penalty on Carlos Rogers: Defensive Holding, 5 yards (no play)",2.740,4.310
1,4:29,1,10,OAK 19,0,3,Ben Tate left guard for -1 yards (tackle by Benson Mayowa),4.310,3.630
1,3:54,2,11,OAK 20,0,3,Ben Tate right end for -3 yards (tackle by Sio Moore),3.630,2.540
1,3:12,3,14,OAK 23,0,3,Brian Hoyer pass complete short left to Ben Tate for 8 yards (tackle by Miles Burris),2.540,2.470
1,2:32,4,6,OAK 15,0,6,Billy Cundiff 33 yard field goal good,2.470,3.000
1,2:32,,,CLE 35,0,6,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
1,2:28,1,10,OAK 20,0,6,Darren McFadden right guard for 3 yards (tackle by Ishmaa'ily Kitchen and Barkevious Mingo),0.280,0.140
1,1:48,2,7,OAK 23,0,6,Derek Carr pass incomplete deep left intended for Kenbrell Thompkins,0.140,-0.560
1,1:43,3,7,OAK 23,0,6,"Penalty on Derek Carr: Delay of Game, 5 yards (no play)",-0.560,-1.330
1,1:43,3,12,OAK 18,0,6,Derek Carr pass complete short middle to Andre Holmes for 6 yards (tackle by Karlos Dansby). Penalty on Mychal Rivera: Offensive Pass Interference (Declined),-1.330,-1.770
1,1:20,4,6,OAK 24,0,6,"Marquette King punts 53 yards, returned by Travis Benjamin for 13 yards (tackle by Ray-Ray Armstrong)",-1.770,-1.330
1,1:06,1,10,CLE 36,0,6,Brian Hoyer pass incomplete deep middle intended for Travis Benjamin (defended by Charles Woodson),1.330,0.790
1,0:58,2,10,CLE 36,0,6,Terrance West left guard for 7 yards (tackle by Miles Burris),0.790,1.030
1,0:21,3,3,CLE 43,0,6,Brian Hoyer pass complete short left to Jordan Cameron for 1 yard (tackle by Charles Woodson),1.030,-0.460
Quarter,Time,Down,ToGo,Location,OAK,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,2,CLE 44,0,6,"Spencer Lanning punts 56 yards, touchback",-0.460,-0.280
2,14:52,1,10,OAK 20,0,6,Maurice Jones-Drew left guard for 3 yards (tackle by John Hughes),0.280,0.140
2,14:19,2,7,OAK 23,0,6,Maurice Jones-Drew left guard for 2 yards (tackle by John Hughes),0.140,-0.300
2,13:34,3,5,OAK 25,0,6,Derek Carr pass complete short left to James Jones for 13 yards (tackle by Jabaal Sheard and Buster Skrine),-0.300,1.470
