Unnamed: 0,PIT,NYG
First Downs,22,13
Rush-Yds-TDs,35-158-1,22-68-1
Cmp-Att-Yd-TD-INT,21-30-216-2-1,10-24-125-0-1
Sacked-Yards,4-25,2-11
Net Pass Yards,191,114
Total Yards,349,182
Fumbles-Lost,2-1,1-0
Turnovers,2,1
Penalties-Yards,6-119,7-40
Third Down Conv.,6-13,2-10
Fourth Down Conv.,1-2,0-0
Time of Possession,35:15,24:45
