Quarter,Time,Down,ToGo,Location,PIT,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Shaun Suisham kicks off 65 yards, returned by David Wilson for 30 yards (tackle by Ryan Mundy)",0.000,0.940
1,14:53,1,10,NYG 30,0,0,Eli Manning pass incomplete deep middle intended for Hakeem Nicks (defended by Keenan Lewis),0.940,0.390
1,14:45,2,10,NYG 30,0,0,Eli Manning pass complete short right to Victor Cruz for 17 yards (tackle by Ike Taylor),0.390,2.060
1,14:24,1,10,NYG 47,0,0,Ahmad Bradshaw right guard for 4 yards (tackle by James Harrison),2.060,2.060
1,13:55,2,6,PIT 49,0,0,Ahmad Bradshaw left tackle for 5 yards (tackle by Brett Keisel),2.060,2.020
1,13:16,3,1,PIT 44,0,0,Eli Manning pass incomplete short right intended for Rueben Randle,2.020,0.330
1,13:10,4,1,PIT 44,0,0,Steve Weatherford punts 42 yards,0.330,0.380
1,13:01,1,10,PIT 2,0,0,Isaac Redman up the middle for 11 yards (tackle by Jason Pierre-Paul),-0.380,-0.320
1,12:30,1,10,PIT 13,0,0,Ben Roethlisberger pass incomplete short left intended for Will Johnson (defended by Justin Tuck),-0.320,-0.770
1,12:20,2,10,PIT 13,0,0,"Ben Roethlisberger pass complete short right to Isaac Redman for 3 yards (tackle by Jayron Hosley). Penalty on Jason Pierre-Paul: Defensive Offside, 5 yards (no play)",-0.770,-0.140
1,11:57,2,5,PIT 18,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for 12 yards (tackle by Prince Amukamara),-0.140,0.940
1,11:12,1,10,PIT 30,0,0,Ben Roethlisberger sacked by Justin Tuck for -9 yards,0.940,-0.820
1,10:29,2,19,PIT 21,0,0,"Ben Roethlisberger pass complete short right to Chris Rainey for -5 yards (tackle by Jayron Hosley). Chris Rainey fumbles (forced by Jayron Hosley), ball out of bounds at PIT-18",-0.820,-2.600
1,9:50,3,24,PIT 16,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for 7 yards (tackle by Stevie Brown),-2.600,-1.830
1,9:30,4,17,PIT 23,0,0,"Drew Butler punts 41 yards, fair catch by Rueben Randle",-1.830,-1.330
1,9:24,1,10,NYG 36,0,0,Eli Manning pass incomplete short middle intended for Hakeem Nicks (defended by Keenan Lewis),1.330,0.790
1,9:19,2,10,NYG 36,0,0,Andre Brown left guard for 5 yards (tackle by Lawrence Timmons and Ryan Clark),0.790,0.760
1,8:40,3,5,NYG 41,0,0,Eli Manning pass incomplete short left intended for Victor Cruz (defended by Keenan Lewis),0.760,-0.650
1,8:30,4,5,NYG 41,0,0,"Steve Weatherford punts 37 yards, out of bounds",-0.650,-0.410
1,8:24,1,10,PIT 22,0,0,Isaac Redman up the middle for 4 yards (tackle by Osi Umenyiora and Michael Boley),0.410,0.410
1,7:51,2,6,PIT 26,0,0,Isaac Redman left tackle for 5 yards (tackle by Linval Joseph),0.410,0.370
1,7:04,3,1,PIT 31,0,0,Ben Roethlisberger pass complete short middle to Isaac Redman for 4 yards (tackle by Jason Pierre-Paul and Mark Herzlich),0.370,1.270
1,6:20,1,10,PIT 35,0,0,Will Johnson left tackle for 2 yards (tackle by Osi Umenyiora and Linval Joseph),1.270,0.990
1,5:38,2,8,PIT 37,0,0,Ben Roethlisberger up the middle for 5 yards (tackle by Osi Umenyiora),0.990,0.960
1,4:48,3,3,PIT 42,0,0,Ben Roethlisberger pass incomplete short left intended for Chris Rainey (defended by Antrel Rolle),0.960,-0.590
1,4:42,4,3,PIT 42,0,0,"Drew Butler punts 42 yards, fair catch by Rueben Randle",-0.590,0.140
1,4:34,1,10,NYG 16,0,0,Ahmad Bradshaw left end for -1 yards (tackle by James Harrison),-0.140,-0.780
1,3:58,2,11,NYG 15,0,0,Eli Manning pass complete short middle to Victor Cruz for 26 yards (tackle by Ike Taylor),-0.780,1.660
1,3:14,1,10,NYG 41,0,0,Eli Manning pass incomplete deep left intended for Victor Cruz is intercepted by Ike Taylor at PIT-39 and returned for 3 yards (tackle by Victor Cruz),1.660,-1.730
1,3:03,1,10,PIT 42,0,0,Isaac Redman up the middle for 17 yards (tackle by Stevie Brown),1.730,2.850
1,2:26,1,10,NYG 41,0,0,Isaac Redman right guard for 4 yards (tackle by Justin Tuck and Rocky Bernard),2.850,2.850
1,1:44,2,6,NYG 37,0,0,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown,2.850,0.000
