Player,Pos
Eli Manning,QB
Ahmad Bradshaw,RB
Hakeem Nicks,WR
Victor Cruz,WR
Martellus Bennett,TE
Sean Locklear,TE
Will Beatty,LT
Kevin Boothe,LG
David Baas,C
Chris Snee,RG
David Diehl,RT
Justin Tuck,LDE
Linval Joseph,LDT
Chris Canty,RDT
Jason Pierre-Paul,RDE
Mathias Kiwanuka,SLB
Mark Herzlich,MLB
Michael Boley,WLB
Corey Webster,LCB
Prince Amukamara,RCB
Stevie Brown,SS
Antrel Rolle,FS
