Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA
1,2:43,1,10,CAR 8,3,7,Cam Newton pass complete short left to Steve Smith for 12 yards (tackle by Philip Wheeler),-0.380,0.280
1,2:00,1,10,CAR 20,3,7,Jonathan Stewart right tackle for 3 yards (tackle by Philip Wheeler),0.280,0.140
1,1:27,2,7,CAR 23,3,7,Cam Newton pass complete short right to Ted Ginn for 6 yards (tackle by Dannell Ellerbe),0.140,0.230
1,0:45,3,1,CAR 29,3,7,Cam Newton left end for no gain (tackle by Olivier Vernon),0.230,-1.440
,,,,,,,"MIA challenged the first down ruling, and the original play was overturned.",,
Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,CAR 29,3,7,"Brad Nortman punts 52 yards, returned by Marcus Thigpen for 2 yards (tackle by Josh Thomas)",-1.440,-0.340
2,14:48,1,10,MIA 21,3,7,Ryan Tannehill pass complete deep right to Mike Wallace for 57 yards (tackle by Captain Munnerlyn),0.340,4.110
,,,,,,,"CAR challenged the pass completion ruling, and the play was upheld.",,
2,13:54,1,10,CAR 22,3,7,Lamar Miller right guard for 4 yards (tackle by Captain Munnerlyn),4.110,4.130
2,13:17,2,6,CAR 18,3,7,Ryan Tannehill pass incomplete short left intended for Rishard Matthews,4.130,3.400
2,13:13,3,6,CAR 18,3,7,Ryan Tannehill pass complete short right to Marcus Thigpen for 4 yards (tackle by Thomas Davis),3.400,2.630
2,12:37,4,2,CAR 14,3,10,Caleb Sturgis 32 yard field goal good,2.630,3.000
2,12:37,,,MIA 35,3,10,"Caleb Sturgis kicks off 74 yards, muffed catch by Ted Ginn, recovered by Ted Ginn and returned for no gain",0.000,-0.280
2,12:34,1,10,CAR 20,3,10,Cam Newton sacked by Dion Jordan for -8 yards,0.280,-1.360
2,11:52,2,18,CAR 12,3,10,Cam Newton pass incomplete short right intended for Steve Smith,-1.360,-2.360
2,11:49,3,18,CAR 12,3,10,Cam Newton pass complete short right to Mike Tolbert for 5 yards (tackle by Philip Wheeler),-2.360,-2.320
2,11:09,4,13,CAR 17,3,10,"Brad Nortman punts 72 yards, returned by Marcus Thigpen for 9 yards (tackle by Jason Williams). Penalty on MIA: Offensive Holding, 10 yards",-2.320,0.380
2,10:56,1,10,MIA 10,3,10,"Penalty on John Jerry: False Start, 5 yards (no play)",-0.380,-0.570
2,10:56,1,15,MIA 5,3,10,Ryan Tannehill left guard for 1 yard (tackle by Frank Alexander),-0.570,-1.070
2,10:26,2,14,MIA 6,3,10,Ryan Tannehill pass complete short right to Charles Clay for 10 yards (tackle by Captain Munnerlyn),-1.070,-0.720
2,9:46,3,4,MIA 16,3,10,Ryan Tannehill pass complete short left to Lamar Miller for 18 yards (tackle by Greg Hardy),-0.720,1.200
2,9:10,1,10,MIA 34,3,10,Lamar Miller right guard for 1 yard (tackle by Dwan Edwards),1.200,0.790
2,8:33,2,9,MIA 35,3,10,Ryan Tannehill pass complete short right to Marlon Moore for 9 yards (tackle by Thomas Davis),0.790,1.860
2,7:54,1,10,MIA 44,3,10,Lamar Miller right tackle for 3 yards (tackle by Kawann Short),1.860,1.720
2,7:19,2,7,MIA 47,3,10,"Penalty on Captain Munnerlyn: Defensive Offside, 5 yards, Penalty on Wes Horton: Defensive Offside (Declined) (no play)",1.720,2.400
2,7:03,2,2,CAR 48,3,10,Ryan Tannehill pass complete short left to Rishard Matthews for -4 yards (tackle by Captain Munnerlyn),2.400,1.160
2,6:27,3,6,MIA 48,3,10,Ryan Tannehill pass incomplete deep right intended for Mike Wallace (defended by Robert Lester),1.160,-0.190
2,6:08,4,6,MIA 48,3,10,"Brandon Fields punts 46 yards, fair catch by Ted Ginn",-0.190,0.380
2,6:01,1,10,CAR 6,3,10,Jonathan Stewart left guard for -2 yards (tackle by Jared Odrick),-0.380,-0.930
2,5:17,2,12,CAR 4,3,10,Jonathan Stewart left tackle for 2 yards (tackle by Paul Soliai),-0.930,-1.420
2,4:46,3,10,CAR 6,3,10,Cam Newton pass incomplete short right intended for Ted Ginn (defended by Philip Wheeler),-1.420,-2.490
2,4:37,4,10,CAR 6,3,10,"Brad Nortman punts 58 yards, returned by Marcus Thigpen for 7 yards (tackle by Mike Tolbert)",-2.490,-1.800
2,4:23,1,10,MIA 43,3,10,Ryan Tannehill pass complete deep middle to Brian Hartline for 21 yards (tackle by Luke Kuechly),1.800,3.180
2,3:37,1,10,CAR 36,3,10,Lamar Miller left end for 2 yards (tackle by Melvin White),3.180,2.910
2,3:00,2,8,CAR 34,3,10,Ryan Tannehill pass complete short right to Michael Egnew for 5 yards (tackle by A.J. Klein),2.910,2.870
2,2:27,3,3,CAR 29,3,10,Ryan Tannehill pass incomplete deep middle intended for Charles Clay,2.870,1.580
2,2:18,4,3,CAR 29,3,13,Caleb Sturgis 47 yard field goal good,1.580,3.000
2,2:18,,,MIA 35,3,13,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
2,2:13,1,10,CAR 20,3,13,"Cam Newton pass incomplete deep right intended for Brandon LaFell is intercepted by Nolan Carroll at CAR-46 and returned for 24 yards (tackle by Ryan Kalil). Penalty on Byron Bell: Unnecessary Roughness, 11 yards",0.280,-4.840
2,2:01,1,10,CAR 11,3,13,Daniel Thomas right guard for 4 yards (tackle by Greg Hardy),4.840,4.890
2,1:53,2,6,CAR 7,3,13,Ryan Tannehill pass complete short right to Daniel Thomas for 2 yards (tackle by Frank Alexander),4.890,4.890
2,1:08,2,6,CAR 7,3,13,Timeout #1 by Miami Dolphins,4.890,4.440
2,1:08,3,4,CAR 5,3,13,Ryan Tannehill pass incomplete short middle intended for Rishard Matthews (defended by Luke Kuechly),4.440,4.440
2,1:04,3,4,CAR 5,3,13,Timeout #2 by Miami Dolphins,4.440,3.010
2,1:04,4,4,CAR 5,3,16,Caleb Sturgis 23 yard field goal good,3.010,3.000
2,1:04,,,MIA 35,3,16,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
2,1:01,1,10,CAR 20,3,16,Cam Newton pass complete short middle to Jonathan Stewart for 3 yards (tackle by Jimmy Wilson),0.280,0.140
2,0:38,2,7,CAR 23,3,16,Cam Newton pass incomplete short right intended for Ted Ginn (defended by Nolan Carroll),0.140,-0.560
2,0:34,3,7,CAR 23,3,16,Jonathan Stewart up the middle for 10 yards (tackle by Reshad Jones),-0.560,1.140
2,0:17,1,10,CAR 33,3,16,Cam Newton spiked the ball,1.140,0.590
2,0:17,2,10,CAR 33,3,16,Cam Newton pass complete short right to Brandon LaFell for 7 yards (tackle by Nolan Carroll),0.590,0.830
2,0:12,3,3,CAR 40,3,16,Cam Newton pass complete short right to Greg Olsen for 8 yards,0.830,2.130
2,0:08,1,10,CAR 48,3,16,"Penalty on Ted Ginn: False Start, 5 yards (no play)",2.130,1.800
2,0:08,1,15,CAR 43,3,16,Cam Newton pass complete short right to Brandon LaFell for 29 yards (tackle by Reshad Jones),1.800,3.710
2,0:01,1,10,MIA 28,6,16,Graham Gano 46 yard field goal good,3.710,3.000
Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,6,16,"Caleb Sturgis kicks off no gain, returned by Ted Ginn for 17 yards (tackle by D.J. Campbell)",0.000,-0.060
3,14:55,1,10,CAR 17,6,16,Cam Newton pass incomplete short left intended for Greg Olsen (defended by Koa Misi),-0.060,-0.580
3,14:45,2,10,CAR 17,6,16,Cam Newton pass complete short left to DeAngelo Williams for 3 yards (tackle by Philip Wheeler),-0.580,-0.870
3,14:17,3,7,CAR 20,6,16,Cam Newton pass complete short middle to Steve Smith for 12 yards (tackle by Brent Grimes),-0.870,1.070
3,13:55,1,10,CAR 32,6,16,Cam Newton pass incomplete deep right intended for Ted Ginn,1.070,0.530
3,13:43,2,10,CAR 32,6,16,"Penalty on Brandon LaFell: False Start, 5 yards (no play)",0.530,-0.150
3,13:39,2,15,CAR 27,6,16,Cam Newton right end for 14 yards (tackle by Dannell Ellerbe),-0.150,1.030
3,13:07,3,1,CAR 41,6,16,Mike Tolbert right tackle for no gain (tackle by Philip Wheeler),1.030,-0.650
3,12:09,4,1,CAR 41,6,16,Cam Newton left tackle for 8 yards (tackle by Reshad Jones),-0.650,2.190
3,11:32,1,10,CAR 49,6,16,Cam Newton pass complete short middle to Greg Olsen for 12 yards (tackle by Philip Wheeler and Chris Clemons),2.190,2.980
3,10:55,1,10,MIA 39,6,16,DeAngelo Williams left tackle for 3 yards (tackle by Philip Wheeler),2.980,2.850
3,10:23,2,7,MIA 36,6,16,Cam Newton for 8 yards (tackle by Koa Misi),2.850,3.710
3,9:45,1,10,MIA 28,6,16,Jonathan Stewart left end for 12 yards (tackle by Brent Grimes),3.710,4.510
3,9:23,1,10,MIA 16,6,16,DeAngelo Williams right end for 9 yards (tackle by Dannell Ellerbe),4.510,5.540
3,8:55,2,1,MIA 7,6,16,DeAngelo Williams right guard for 2 yards (tackle by Chris Clemons),5.540,6.060
3,8:19,1,5,MIA 5,12,16,"Cam Newton right guard for 5 yards, touchdown",6.060,7.000
3,8:19,,,MIA 2,13,16,Graham Gano kicks extra point good,0.000,0.000
3,8:19,,,CAR 35,13,16,"Graham Gano kicks off 64 yards, returned by Marcus Thigpen for 19 yards (tackle by Quintin Mikell). Penalty on Michael Egnew: Illegal Block Above the Waist, 10 yards",0.000,0.380
3,8:02,1,10,MIA 10,13,16,"Penalty on Frank Alexander: Defensive Offside, 5 yards (no play)",-0.380,0.080
3,8:02,1,5,MIA 15,13,16,Ryan Tannehill pass complete short right to Rishard Matthews for 2 yards (tackle by Michael Mitchell),0.080,-0.090
3,7:26,2,3,MIA 17,13,16,Ryan Tannehill pass complete short left to Charles Clay for 2 yards (tackle by Captain Munnerlyn),-0.090,-0.370
3,6:54,3,1,MIA 19,13,16,Ryan Tannehill pass complete short left to Brian Hartline for 3 yards,-0.370,0.410
3,6:25,1,10,MIA 22,13,16,Ryan Tannehill pass incomplete short right intended for Mike Wallace,0.410,-0.130
3,6:19,2,10,MIA 22,13,16,Ryan Tannehill pass complete short left to Rishard Matthews for 4 yards (tackle by Melvin White),-0.130,-0.290
3,5:41,3,6,MIA 26,13,16,Ryan Tannehill pass complete short right to Dion Sims for 6 yards (tackle by Luke Kuechly),-0.290,1.070
3,5:00,1,10,MIA 32,13,16,Lamar Miller left end for -9 yards (tackle by Luke Kuechly),1.070,-0.690
3,4:37,2,19,MIA 23,13,16,Ryan Tannehill pass incomplete deep right intended for Mike Wallace,-0.690,-1.350
3,4:23,3,19,MIA 23,13,16,Ryan Tannehill pass complete short right to Marlon Moore for 11 yards (tackle by Quintin Mikell and Drayton Florence),-1.350,-1.110
3,3:43,4,8,MIA 34,13,16,Brandon Fields punts 57 yards,-1.110,0.380
3,3:32,1,10,CAR 9,13,16,Jonathan Stewart left end for 3 yards (tackle by Reshad Jones),-0.380,-0.560
3,2:50,2,7,CAR 12,13,16,Cam Newton pass incomplete short right intended for Brandon LaFell,-0.560,-1.070
3,2:50,3,7,CAR 12,13,16,Cam Newton pass incomplete short right intended for Ted Ginn,-1.070,-2.490
3,2:46,4,7,CAR 12,13,16,"Brad Nortman punts 49 yards, returned by Marcus Thigpen for 11 yards (tackle by Dan Connor)",-2.490,-2.260
3,2:33,1,10,CAR 50,13,16,Ryan Tannehill pass complete short right to Lamar Miller for 7 yards (tackle by Colin Cole),2.260,2.660
3,1:51,2,3,CAR 43,13,16,Ryan Tannehill pass complete short middle to Lamar Miller for 5 yards (tackle by Thomas Davis),2.660,3.050
3,1:21,1,10,CAR 38,13,16,"Lamar Miller left end for -4 yards (tackle by Michael Mitchell). Penalty on Tyson Clabo: Offensive Holding, 10 yards (no play)",3.050,2.390
3,0:46,1,20,CAR 48,13,16,Ryan Tannehill pass complete short right to Daniel Thomas for no gain,2.390,1.160
Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,20,CAR 48,13,16,Ryan Tannehill pass incomplete short middle intended for Charles Clay,1.160,0.500
4,14:57,3,20,CAR 48,13,16,Ryan Tannehill pass complete short right to Mike Wallace for 3 yards (tackle by Captain Munnerlyn),0.500,0.270
4,14:18,4,17,CAR 45,13,16,"Brandon Fields punts 35 yards, fair catch by Ted Ginn",0.270,0.380
4,14:10,1,10,CAR 10,13,16,DeAngelo Williams up the middle for 2 yards (tackle by Olivier Vernon),-0.380,-0.630
4,13:30,2,8,CAR 12,13,16,Cam Newton pass incomplete deep middle intended for Ted Ginn (defended by Nolan Carroll),-0.630,-1.190
4,13:22,3,8,CAR 12,13,16,Cam Newton pass complete short left to Steve Smith for 13 yards,-1.190,0.610
4,12:53,1,10,CAR 25,13,16,DeAngelo Williams right tackle for 3 yards (tackle by Derrick Shelby),0.610,0.470
4,12:14,2,7,CAR 28,13,16,DeAngelo Williams left guard for 2 yards (tackle by Olivier Vernon),0.470,0.040
4,11:31,3,5,CAR 30,13,16,Cam Newton pass incomplete short right intended for Greg Olsen,0.040,-1.370
4,11:25,4,5,CAR 30,13,16,"Brad Nortman punts 61 yards, returned by Marcus Thigpen for 14 yards (tackle by Colin Jones)",-1.370,-0.480
4,11:14,1,10,MIA 23,13,16,Ryan Tannehill pass complete short right to Mike Wallace for 4 yards (tackle by Josh Thomas),0.480,0.470
4,10:43,2,6,MIA 27,13,16,Ryan Tannehill pass complete short right to Mike Wallace for 10 yards (tackle by Drayton Florence),0.470,1.400
4,10:13,1,10,MIA 37,13,16,Lamar Miller right guard for 2 yards (tackle by Star Lotulelei),1.400,1.130
4,9:43,2,8,MIA 39,13,16,Ryan Tannehill for 19 yards (tackle by Drayton Florence),1.130,2.790
4,9:15,1,10,CAR 42,13,16,Lamar Miller up the middle for 4 yards (tackle by Quintin Mikell),2.790,2.780
4,8:40,2,6,CAR 38,13,16,Ryan Tannehill sacked by Thomas Davis for -8 yards,2.780,1.030
4,8:05,3,14,CAR 46,13,16,Ryan Tannehill up the middle for 11 yards (tackle by Thomas Davis),1.030,0.990
4,7:27,4,3,CAR 35,13,16,Caleb Sturgis 53 yard field goal no good,0.990,-1.800
4,7:22,1,10,CAR 43,13,16,Cam Newton pass incomplete short left intended for DeAngelo Williams,1.800,1.250
4,7:14,2,10,CAR 43,13,16,DeAngelo Williams left end for -2 yards (tackle by Randy Starks),1.250,0.300
4,6:32,3,12,CAR 41,13,16,"Cam Newton pass complete short right to Brandon LaFell for 14 yards (tackle by Nolan Carroll). Penalty on Greg Olsen: Offensive Holding, 10 yards (no play)",0.300,-1.020
4,6:01,3,22,CAR 31,13,16,Cam Newton pass incomplete deep left intended for Greg Olsen (defended by Philip Wheeler),-1.020,-1.310
4,5:49,4,22,CAR 31,13,16,"Brad Nortman punts 53 yards, returned by Marcus Thigpen for 8 yards (tackle by Josh Thomas)",-1.310,-0.540
4,5:36,1,10,MIA 24,13,16,Lamar Miller left guard for 3 yards (tackle by Luke Kuechly),0.540,0.400
4,4:54,2,7,MIA 27,13,16,Ryan Tannehill pass incomplete short right intended for Charles Clay,0.400,-0.300
4,4:51,3,7,MIA 27,13,16,Ryan Tannehill pass complete short left to Charles Clay for 11 yards,-0.300,1.470
,,,,,,,"MIA challenged the pass completion ruling, and the original play was overturned.",,
4,4:43,1,10,MIA 38,13,16,Ryan Tannehill pass incomplete short middle intended for Mike Wallace,1.470,0.920
4,4:39,2,10,MIA 38,13,16,"Penalty on Tyson Clabo: False Start, 5 yards (no play)",0.920,0.250
4,4:39,2,15,MIA 33,13,16,Ryan Tannehill pass complete short right to Charles Clay for 4 yards (tackle by Quintin Mikell),0.250,0.250
4,4:32,2,15,MIA 33,13,16,Timeout #1 by Carolina Panthers,0.250,0.100
4,4:32,3,11,MIA 37,13,16,Ryan Tannehill pass complete short middle to Lamar Miller for 9 yards (tackle by Luke Kuechly),0.100,0.100
4,4:20,3,11,MIA 37,13,16,Timeout #2 by Carolina Panthers,0.100,-0.320
4,4:20,4,2,MIA 46,13,16,"Brandon Fields punts 54 yards, touchback",-0.320,-0.280
4,4:13,1,10,CAR 20,13,16,"Cam Newton pass complete short middle to DeAngelo Williams for 15 yards (tackle by Philip Wheeler). Penalty on Steve Smith: Illegal Formation, 5 yards (no play)",0.280,-0.310
4,4:03,1,15,CAR 15,13,16,Cam Newton pass complete short right to Ted Ginn for -3 yards (tackle by Brent Grimes),-0.310,-1.360
4,3:26,2,18,CAR 12,13,16,Cam Newton right end for 8 yards (tackle by Cameron Wake),-1.360,-0.960
4,2:47,3,10,CAR 20,13,16,Cam Newton pass incomplete deep left intended for Ted Ginn (defended by Nolan Carroll),-0.960,-2.030
4,2:33,4,10,CAR 20,13,16,Cam Newton pass complete short left to Steve Smith for 19 yards (tackle by Reshad Jones),-2.030,1.530
4,2:02,1,10,CAR 39,13,16,Cam Newton pass complete short right to Greg Olsen for 9 yards (tackle by Nolan Carroll),1.530,2.200
4,1:58,2,1,CAR 48,13,16,Cam Newton pass incomplete short right intended for Steve Smith (defended by Randy Starks),2.200,1.490
4,1:55,3,1,CAR 48,13,16,"Cam Newton right end for 8 yards. Penalty on Reshad Jones: Personal Foul, 15 yards",1.490,3.640
4,1:46,1,10,MIA 29,13,16,Cam Newton right end for no gain (tackle by Cameron Wake),3.640,3.640
4,1:45,1,10,MIA 29,13,16,Timeout #1 by Miami Dolphins,3.640,3.100
4,1:45,2,10,MIA 29,13,16,Cam Newton pass complete short left to Ted Ginn for 8 yards (tackle by Nolan Carroll),3.100,3.100
4,1:31,2,10,MIA 29,13,16,Timeout #2 by Miami Dolphins,3.100,3.470
4,1:29,3,2,MIA 21,13,16,Mike Tolbert left end for 15 yards (tackle by Chris Clemons and Dannell Ellerbe),3.470,5.830
4,0:59,1,6,MIA 6,13,16,Mike Tolbert right tackle for 5 yards (tackle by Jared Odrick),5.830,5.830
4,0:46,1,6,MIA 6,13,16,Timeout #3 by Miami Dolphins,5.830,5.910
4,0:46,2,1,MIA 1,19,16,"Cam Newton pass complete short right to Greg Olsen for 1 yard, touchdown",5.910,7.000
4,0:46,,,MIA 2,20,16,Graham Gano kicks extra point good,0.000,0.000
4,0:46,,,CAR 35,20,16,"Graham Gano kicks off 66 yards, returned by Marcus Thigpen for 15 yards (tackle by Brandon Williams)",0.000,0.280
4,0:38,1,10,MIA 14,20,16,Ryan Tannehill pass complete deep middle to Brian Hartline for 26 yards (tackle by Thomas Davis),-0.280,1.600
4,0:18,1,10,MIA 40,20,16,Ryan Tannehill spiked the ball,1.600,1.050
4,0:18,2,10,MIA 40,20,16,Ryan Tannehill pass incomplete deep middle intended for Mike Wallace,1.050,0.370
4,0:10,3,10,MIA 40,20,16,Ryan Tannehill sacked by Dwan Edwards for -10 yards,0.370,-1.370
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
