Quarter,Time,Tm,Detail,CAR,MIA
1.0,6:58,Panthers,Graham Gano 52 yard field goal,3,0
,5:39,Dolphins,Mike Wallace 53 yard pass from Ryan Tannehill (Caleb Sturgis kick),3,7
2.0,12:34,Dolphins,Caleb Sturgis 32 yard field goal,3,10
,2:13,Dolphins,Caleb Sturgis 47 yard field goal,3,13
,1:01,Dolphins,Caleb Sturgis 23 yard field goal,3,16
,0:00,Panthers,Graham Gano 46 yard field goal,6,16
3.0,8:08,Panthers,Cam Newton 5 yard rush (Graham Gano kick),13,16
4.0,0:43,Panthers,Greg Olsen 1 yard pass from Cam Newton (Graham Gano kick),20,16
