Unnamed: 0,SEA,TAM
First Downs,7,22
Rush-Yds-TDs,16-103-0,38-97-1
Cmp-Att-Yd-TD-INT,12-23-73-1-1,27-36-310-1-0
Sacked-Yards,0-0,1-5
Net Pass Yards,73,305
Total Yards,176,402
Fumbles-Lost,1-1,4-1
Turnovers,2,1
Penalties-Yards,1-6,4-26
Third Down Conv.,2-10,10-18
Fourth Down Conv.,1-1,0-1
Time of Possession,18:19,41:41
