Quarter,Time,Tm,Detail,OAK,GNB
2.0,8:51,Packers,Ryan Grant 6 yard rush (Mason Crosby kick),0,7
,5:44,Packers,Will Blackmon 57 yard punt return (Mason Crosby kick),0,14
,0:26,Raiders,Jerry Porter 25 yard pass from Josh McCown (Sebastian Janikowski kick),7,14
3.0,10:46,Packers,Mason Crosby 44 yard field goal,7,17
,9:11,Packers,Greg Jennings 80 yard pass from Brett Favre (Mason Crosby kick),7,24
,4:50,Packers,Will Blackmon fumble recovery in end zone (Mason Crosby kick),7,31
4.0,4:00,Packers,Donald Lee 46 yard pass from Brett Favre (Mason Crosby kick),7,38
