Unnamed: 0,IND,JAX
First Downs,27,18
Rush-Yds-TDs,29-144-0,20-105-0
Cmp-Att-Yd-TD-INT,33-43-390-4-0,18-31-256-2-2
Sacked-Yards,2-5,4-17
Net Pass Yards,385,239
Total Yards,529,344
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,8-46,2-15
Third Down Conv.,8-14,4-10
Fourth Down Conv.,0-1,0-0
Time of Possession,37:03,22:57
