Quarter,Time,Tm,Detail,DEN,CIN
1.0,11:07,Bengals,Jeremy Hill 3 yard rush (Mike Nugent kick),0,7
,4:05,Broncos,Brandon McManus 20 yard field goal,3,7
2.0,13:57,Broncos,Emmanuel Sanders 41 yard pass from Trevor Siemian (Brandon McManus kick),10,7
,4:57,Bengals,Jeremy Hill 4 yard rush (Mike Nugent kick),10,14
,0:28,Broncos,Emmanuel Sanders 7 yard pass from Trevor Siemian (Brandon McManus kick failed),16,14
4.0,14:52,Bengals,Mike Nugent 34 yard field goal,16,17
,6:56,Broncos,John Phillips 1 yard pass from Trevor Siemian (run failed),22,17
,4:23,Broncos,Demaryius Thomas 55 yard pass from Trevor Siemian (Brandon McManus kick),29,17
