Unnamed: 0,DEN,CIN
First Downs,21,20
Rush-Yds-TDs,23-52-0,29-143-2
Cmp-Att-Yd-TD-INT,23-35-312-4-0,21-31-206-0-1
Sacked-Yards,2-9,4-17
Net Pass Yards,303,189
Total Yards,355,332
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,5-41,9-69
Third Down Conv.,6-12,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,27:54,32:06
