Quarter,Time,Tm,Detail,BAL,KAN
1.0,4:24,Ravens,Mark Ingram 2 yard rush (run failed),6,0
2.0,14:18,Chiefs,LeSean McCoy 1 yard rush (Harrison Butker kick),6,7
,7:52,Chiefs,Demarcus Robinson 18 yard pass from Patrick Mahomes (Harrison Butker kick),6,14
,3:00,Chiefs,Mecole Hardman 83 yard pass from Patrick Mahomes (Harrison Butker kick failed),6,20
,0:05,Chiefs,Harrison Butker 42 yard field goal,6,23
3.0,10:35,Ravens,Mark Ingram 19 yard rush (Justin Tucker kick),13,23
,2:07,Chiefs,LeSean McCoy 14 yard pass from Patrick Mahomes (Harrison Butker kick),13,30
4.0,12:22,Ravens,Mark Ingram 1 yard rush (pass failed),19,30
,6:39,Ravens,Justin Tucker 39 yard field goal,22,30
,4:36,Chiefs,Harrison Butker 36 yard field goal,22,33
,2:01,Ravens,Lamar Jackson 9 yard rush (run failed),28,33
