Quarter,Time,Tm,Detail,ARI,NOR
1.0,9:13,Cardinals,Alfonso Smith 3 yard rush (Jay Feely kick),7,0
,5:28,Saints,Robert Meachem 27 yard pass from Drew Brees (Garrett Hartley kick),7,7
2.0,2:52,Saints,Jimmy Graham 16 yard pass from Drew Brees (Garrett Hartley kick),7,14
3.0,4:03,Saints,Garrett Hartley 31 yard field goal,7,17
4.0,14:42,Saints,Drew Brees 7 yard rush (Garrett Hartley kick),7,24
,5:25,Saints,Jimmy Graham 7 yard pass from Drew Brees (Garrett Hartley kick),7,31
