Unnamed: 0,ARI,NOR
First Downs,16,27
Rush-Yds-TDs,16-86-1,24-104-1
Cmp-Att-Yd-TD-INT,18-35-187-0-2,29-46-342-3-1
Sacked-Yards,4-26,4-23
Net Pass Yards,161,319
Total Yards,247,423
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,3-18,4-30
Third Down Conv.,5-13,7-13
Fourth Down Conv.,0-0,0-0
Time of Possession,24:29,35:31
