Quarter,Time,Down,ToGo,Location,ARI,NOR,Detail,EPB,EPA
2,14:51,4,19,NOR 32,7,7,"Thomas Morstead punts 47 yards, fair catch by Patrick Peterson",-1.240,-0.340
2,14:44,1,10,ARI 21,7,7,Carson Palmer pass incomplete deep right intended for Jaron Brown,0.340,-0.200
2,14:37,2,10,ARI 21,7,7,Rashard Mendenhall right guard for 6 yards (tackle by David Hawthorne),-0.200,-0.100
2,13:58,3,4,ARI 27,7,7,Carson Palmer pass complete short right to Rob Housler for 13 yards (tackle by Chris Carr and Keenan Lewis). Penalty on Keenan Lewis: Illegal Use of Hands (Declined),-0.100,1.600
2,13:38,1,10,ARI 40,7,7,Rashard Mendenhall left guard for 4 yards (tackle by Junior Galette and Rafael Bush),1.600,1.590
2,12:55,2,6,ARI 44,7,7,Carson Palmer pass complete short right to Larry Fitzgerald for 12 yards (tackle by Keenan Lewis),1.590,2.650
2,12:19,1,10,NOR 44,7,7,Rashard Mendenhall right guard for 2 yards (tackle by John Jenkins),2.650,2.380
2,11:43,2,8,NOR 42,7,7,Carson Palmer pass incomplete short left intended for Andre Ellington,2.380,2.380
2,11:38,2,8,NOR 42,7,7,Timeout #1 by Arizona Cardinals,2.380,1.690
2,11:38,3,8,NOR 42,7,7,Carson Palmer pass incomplete deep middle intended for Patrick Peterson,1.690,0.460
2,11:31,4,8,NOR 42,7,7,"Dave Zastudil punts 25 yards, fair catch by Darren Sproles",0.460,0.060
2,11:25,1,10,NOR 17,7,7,Pierre Thomas right end for -2 yards (tackle by Jasper Brinkley),-0.060,-0.850
2,10:48,2,12,NOR 15,7,7,Drew Brees pass incomplete deep middle intended for Kenny Stills. Penalty on Charles Brown: Offensive Holding (Declined),-0.850,-1.570
2,10:41,3,12,NOR 15,7,7,Drew Brees pass incomplete deep left intended for Marques Colston,-1.570,-2.440
2,10:35,4,12,NOR 15,7,7,"Thomas Morstead punts 53 yards, returned by Patrick Peterson for 7 yards (tackle by Kevin Reddick). Patrick Peterson fumbles (forced by Kevin Reddick), recovered by Sam Acho at ARI-39 (tackle by Ramon Humber)",-2.440,-1.530
2,10:21,1,10,ARI 39,7,7,Patrick Peterson left end for 11 yards (tackle by Curtis Lofton),1.530,2.260
2,9:50,1,10,,7,7,Rashard Mendenhall left tackle for 3 yards (tackle by Kenny Vaccaro),2.260,2.120
2,9:15,2,7,NOR 47,7,7,Carson Palmer pass incomplete deep right intended for Rob Housler (defended by Keenan Lewis),2.120,2.120
2,9:07,2,7,NOR 47,7,7,Timeout #2 by Arizona Cardinals,2.120,1.420
2,9:07,3,7,NOR 47,7,7,Carson Palmer pass incomplete. Penalty on Lyle Sendlein: Ineligible Downfield Pass (Declined),1.420,0.130
2,9:03,4,7,NOR 47,7,7,"Dave Zastudil punts 28 yards, fair catch by Darren Sproles",0.130,-0.150
2,8:55,1,10,NOR 19,7,7,Drew Brees pass complete short right to Robert Meachem for 7 yards (tackle by Jerraud Powers),0.150,0.610
2,8:13,2,3,NOR 26,7,7,Drew Brees pass complete short right to Pierre Thomas for 2 yards (tackle by Yeremiah Bell),0.610,0.100
2,7:28,3,1,NOR 28,7,7,Pierre Thomas right guard for -1 yards (tackle by Karlos Dansby),0.100,-1.570
2,6:50,4,2,NOR 27,7,7,"Thomas Morstead punts 40 yards, out of bounds. Penalty on Malcolm Jenkins: Illegal Block Above the Waist, 10 yards",-1.570,-1.800
2,6:42,1,10,ARI 43,7,7,Carson Palmer pass incomplete deep right intended for Michael Floyd,1.800,1.250
2,6:35,2,10,ARI 43,7,7,Carson Palmer pass complete short left to Larry Fitzgerald for 1 yard (tackle by Jabari Greer),1.250,0.690
2,5:50,3,9,ARI 44,7,7,Carson Palmer sacked by Cameron Jordan for -9 yards,0.690,-1.040
2,5:24,4,18,ARI 35,7,7,"Dave Zastudil punts 51 yards, returned by Darren Sproles for 28 yards (tackle by Jasper Brinkley)",-1.040,-1.730
2,5:08,1,10,NOR 42,7,7,Drew Brees pass complete short right to Darren Sproles for 8 yards (tackle by Yeremiah Bell),1.730,2.270
2,4:33,2,2,,7,7,Drew Brees pass complete deep middle to Jimmy Graham for 21 yards (tackle by Tyrann Mathieu),2.270,3.640
2,3:53,1,10,ARI 29,7,7,Drew Brees pass complete short right to Jed Collins for 5 yards (tackle by Matt Shaughnessy),3.640,3.780
2,3:14,2,5,ARI 24,7,7,Drew Brees pass incomplete deep middle intended for Marques Colston,3.780,3.070
2,3:08,3,5,ARI 24,7,7,"Drew Brees pass incomplete short left intended for Lance Moore. Penalty on Tyrann Mathieu: Defensive Pass Interference, 8 yards (no play)",3.070,4.510
2,3:03,1,10,ARI 16,7,7,Drew Brees pass incomplete deep left intended for Jimmy Graham,4.510,3.900
2,2:56,2,10,ARI 16,7,13,"Drew Brees pass complete deep left to Jimmy Graham for 16 yards, touchdown",3.900,7.000
2,2:56,,,ARI 2,7,14,Garrett Hartley kicks extra point good,0.000,0.000
2,,,,NOR 35,,,"Thomas Morstead kicks off 60 yards, returned by Javier Arenas for 46 yards (tackle by Thomas Morstead)",,
2,2:21,1,10,NOR 49,7,14,Carson Palmer pass complete short left to Andre Roberts for 6 yards (tackle by Curtis Lofton),2.320,2.590
2,2:00,2,4,NOR 43,7,14,Carson Palmer pass incomplete deep middle intended for Andre Roberts,2.590,1.880
2,1:56,3,4,NOR 43,7,14,Carson Palmer pass incomplete short left intended for Andre Ellington,1.880,0.400
2,1:52,4,4,NOR 43,7,14,Dave Zastudil punts 39 yards,0.400,0.380
2,1:43,1,10,NOR 4,7,14,Drew Brees pass complete short left to Marques Colston for 6 yards (tackle by Karlos Dansby),-0.380,-0.380
2,1:38,1,10,NOR 4,7,14,Timeout #1 by New Orleans Saints,-0.380,-0.340
2,1:38,2,4,NOR 10,7,14,Drew Brees pass incomplete short left intended for Darren Sproles,-0.340,-0.720
2,1:34,3,4,NOR 10,7,14,Drew Brees pass incomplete short middle intended for Jimmy Graham (defended by Jerraud Powers),-0.720,-2.490
2,1:30,4,4,NOR 10,7,14,"Thomas Morstead punts 58 yards, returned by Patrick Peterson for 8 yards (tackle by Kevin Reddick)",-2.490,-1.600
2,1:19,1,10,ARI 40,7,14,Carson Palmer sacked by Cameron Jordan for -5 yards,1.600,1.600
2,1:11,1,10,ARI 40,7,14,Timeout #2 by New Orleans Saints,1.600,0.380
2,1:11,2,15,ARI 35,7,14,"Carson Palmer pass incomplete short left intended for Andre Roberts (defended by Malcolm Jenkins). Penalty on Malcolm Jenkins: Defensive Offside, 5 yards (no play)",0.380,1.050
2,1:07,2,10,ARI 40,7,14,Carson Palmer pass complete short middle to Andre Ellington for 8 yards (tackle by Keenan Lewis),1.050,1.050
2,1:01,2,10,ARI 40,7,14,Timeout #3 by New Orleans Saints,1.050,1.420
2,1:01,3,2,ARI 48,7,14,Carson Palmer pass complete short right to Andre Ellington for 11 yards (tackle by Curtis Lofton),1.420,2.850
2,0:57,1,10,NOR 41,7,14,Carson Palmer pass incomplete short middle intended for Jaron Brown (defended by Curtis Lofton),2.850,2.310
2,0:53,2,10,NOR 41,7,14,Carson Palmer pass incomplete,2.310,1.620
2,0:46,3,10,NOR 41,7,14,Carson Palmer pass incomplete deep left intended for Andre Roberts,1.620,0.530
2,0:42,4,10,NOR 41,7,14,Dave Zastudil punts 28 yards,0.530,0.320
2,0:31,1,10,NOR 13,7,14,Drew Brees kneels for -1 yards,-0.320,-0.850
Quarter,Time,Down,ToGo,Location,ARI,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,7,14,"Jay Feely kicks off no gain, touchback",0.000,0.280
3,15:00,1,10,NOR 20,7,14,Drew Brees pass complete short right to Jimmy Graham for 12 yards (tackle by Yeremiah Bell),0.280,1.070
3,14:26,1,10,NOR 32,7,14,Drew Brees pass incomplete short right intended for Jimmy Graham (defended by Karlos Dansby),1.070,0.530
3,14:22,2,10,NOR 32,7,14,Darren Sproles right end for 15 yards (tackle by John Abraham),0.530,2.060
3,13:43,1,10,NOR 47,7,14,Drew Brees pass complete short right to Marques Colston for 13 yards (tackle by Patrick Peterson),2.060,2.920
3,12:56,1,10,ARI 40,7,14,Drew Brees pass complete short right to Jimmy Graham for 5 yards (tackle by Tyrann Mathieu),2.920,3.050
3,12:14,2,5,ARI 35,7,14,Drew Brees right guard for 4 yards (tackle by Karlos Dansby),3.050,2.870
3,11:43,3,1,ARI 31,7,14,Darren Sproles right guard for 2 yards (tackle by Yeremiah Bell),2.870,3.640
3,11:07,1,10,ARI 29,7,14,Drew Brees pass incomplete,3.640,3.100
3,10:58,2,10,ARI 29,7,14,Darren Sproles left guard for no gain (tackle by Karlos Dansby),3.100,2.410
3,10:23,3,10,ARI 29,7,14,Drew Brees pass incomplete deep left intended for Lance Moore is intercepted by Tyrann Mathieu at ARI-0,2.410,-0.280
3,10:16,1,10,ARI 20,7,14,Rashard Mendenhall right guard for 5 yards (tackle by Curtis Lofton),0.280,0.410
3,9:42,2,5,ARI 25,7,14,Andre Ellington left end for 14 yards (tackle by Kenny Vaccaro and Malcolm Jenkins),0.410,1.530
3,9:11,1,10,ARI 39,7,14,Carson Palmer pass incomplete short middle intended for Andre Ellington,1.530,0.990
3,9:06,2,10,ARI 39,7,14,Rashard Mendenhall right guard for 3 yards (tackle by Curtis Lofton),0.990,0.700
3,8:27,3,7,ARI 42,7,14,Carson Palmer sacked by Glenn Foster for -2 yards,0.700,-0.720
3,8:00,4,9,ARI 40,7,14,"Dave Zastudil punts 60 yards, touchback",-0.720,-0.280
3,7:51,1,10,NOR 20,7,14,Drew Brees pass complete deep right to Marques Colston for 19 yards (tackle by Yeremiah Bell),0.280,1.530
3,7:07,1,10,NOR 39,7,14,Drew Brees sacked by Darnell Dockett for -4 yards,1.530,0.450
3,6:26,2,14,NOR 35,7,14,Drew Brees pass complete short left to Pierre Thomas for 16 yards (tackle by Tyrann Mathieu),0.450,2.320
3,5:45,1,10,ARI 49,7,14,Drew Brees pass complete deep left to Jimmy Graham for 29 yards (tackle by Tyrann Mathieu),2.320,4.240
3,5:15,1,10,ARI 20,7,14,Pierre Thomas left end for 2 yards (tackle by Jasper Brinkley),4.240,3.960
3,4:42,2,8,ARI 18,7,14,Drew Brees pass complete short left to Pierre Thomas for 5 yards (tackle by Karlos Dansby),3.960,4.100
3,4:13,3,3,ARI 13,7,14,Drew Brees pass incomplete short middle intended for Marques Colston,4.100,2.670
3,4:08,4,3,ARI 13,7,17,Garrett Hartley 31 yard field goal good,2.670,3.000
3,4:08,,,NOR 35,7,17,"Thomas Morstead kicks off 71 yards, touchback",0.000,-0.280
3,4:03,1,10,ARI 20,7,17,Rashard Mendenhall left end for 4 yards (tackle by John Jenkins),0.280,0.270
3,3:26,2,6,ARI 24,7,17,Carson Palmer pass complete short left to Patrick Peterson for -2 yards (tackle by Jabari Greer),0.270,-0.690
3,2:41,3,8,ARI 22,7,17,"Carson Palmer pass complete short left to Larry Fitzgerald for 11 yards (tackle by Jabari Greer). Penalty on Larry Fitzgerald: Illegal Shift, 5 yards (no play)",-0.690,-1.510
3,2:17,3,13,ARI 17,7,17,Carson Palmer pass incomplete short middle intended for Larry Fitzgerald (defended by Malcolm Jenkins),-1.510,-2.320
3,2:12,4,13,ARI 17,7,17,"Dave Zastudil punts 43 yards, returned by Darren Sproles for 21 yards (tackle by Kerry Taylor)",-2.320,-2.980
3,2:00,1,10,ARI 39,7,17,Drew Brees pass complete short right to Darren Sproles for 7 yards (tackle by Javier Arenas),2.980,3.390
3,1:28,2,3,ARI 32,7,17,(tackle by Darnell Dockett),3.390,2.150
3,0:55,3,7,ARI 36,7,17,Drew Brees pass complete short middle to Darren Sproles for 13 yards (tackle by Yeremiah Bell),2.150,4.040
3,0:18,1,10,ARI 23,7,17,Pierre Thomas right end for 11 yards (tackle by Tyrann Mathieu),4.040,4.780
Quarter,Time,Down,ToGo,Location,ARI,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ARI 12,7,17,Drew Brees pass incomplete short right intended for Jimmy Graham (defended by Yeremiah Bell),4.780,4.100
4,15:00,2,10,ARI 12,7,17,"Penalty on John Abraham: Neutral Zone Infraction, 5 yards (no play)",4.100,5.020
4,14:54,2,5,ARI 7,7,17,Drew Brees pass incomplete short right intended for Jimmy Graham (defended by Yeremiah Bell),5.020,5.020
4,14:48,2,5,ARI 7,7,17,Timeout #1 by Arizona Cardinals,5.020,4.160
4,14:48,3,5,ARI 7,7,23,"Drew Brees left tackle for 7 yards, touchdown",4.160,7.000
4,14:48,,,ARI 2,7,24,Garrett Hartley kicks extra point good,0.000,0.000
4,14:48,,,NOR 35,7,24,"Thomas Morstead kicks off 67 yards, returned by Andre Ellington for 21 yards (tackle by Travaris Cadet)",0.000,-0.150
4,14:37,1,10,ARI 19,7,24,Carson Palmer pass complete deep left to Larry Fitzgerald for 26 yards (tackle by Rafael Bush),0.150,1.930
4,14:01,1,10,ARI 45,7,24,Carson Palmer pass complete short left to Michael Floyd for 13 yards (tackle by Jabari Greer),1.930,2.790
4,13:30,1,10,NOR 42,7,24,Andre Ellington right end for 3 yards (tackle by David Hawthorne),2.790,2.650
4,12:52,2,7,NOR 39,7,24,Carson Palmer pass incomplete,2.650,1.950
4,12:46,3,7,NOR 39,7,24,Carson Palmer pass complete short middle to Michael Floyd for 20 yards (tackle by Kenny Vaccaro),1.950,4.310
4,12:08,1,10,NOR 19,7,24,Carson Palmer pass incomplete short right intended for Rob Housler is intercepted by Kenny Vaccaro at NOR-8 and returned for 29 yards (tackle by Alfonso Smith),4.310,-1.400
4,11:56,1,10,NOR 37,7,24,--,1.400,0.990
4,11:11,2,9,NOR 38,7,24,Drew Brees pass incomplete deep left intended for Lance Moore (defended by Jerraud Powers),0.990,0.300
4,11:03,3,9,NOR 38,7,24,Drew Brees pass complete short left to Jimmy Graham for 19 yards (tackle by Tyrann Mathieu),0.300,2.720
4,10:29,1,10,ARI 43,7,24,--,2.720,1.910
4,9:44,2,12,ARI 45,7,24,Drew Brees pass complete short middle to Pierre Thomas for 6 yards (tackle by Karlos Dansby),1.910,1.910
4,8:56,2,12,ARI 45,7,24,Timeout #1 by New Orleans Saints,1.910,2.010
4,8:55,3,6,ARI 39,7,24,Drew Brees pass complete short left to Marques Colston for 9 yards (tackle by Karlos Dansby),2.010,3.580
4,8:23,1,10,ARI 30,7,24,Pierre Thomas left end for 4 yards (tackle by Karlos Dansby),3.580,3.570
4,7:44,2,6,ARI 26,7,24,Drew Brees left guard for 13 yards (tackle by Tyrann Mathieu),3.570,4.710
4,6:56,1,10,ARI 13,7,24,Pierre Thomas left end for 10 yards (tackle by Patrick Peterson),4.710,6.510
4,6:18,1,3,ARI 3,7,24,Drew Brees pass incomplete short left intended for Kenny Stills,6.510,5.530
4,6:14,2,3,ARI 3,7,24,Pierre Thomas left end for -4 yards (tackle by Karlos Dansby),5.530,3.810
4,5:29,3,7,ARI 7,7,30,"Drew Brees pass complete short left to Jimmy Graham for 7 yards, touchdown",3.810,7.000
4,5:29,,,ARI 2,7,31,Garrett Hartley kicks extra point good,0.000,0.000
4,5:29,,,NOR 35,7,31,"Thomas Morstead kicks off 72 yards, touchback",0.000,-0.280
4,5:25,1,10,ARI 20,7,31,Carson Palmer pass complete short middle to Alfonso Smith for 7 yards (tackle by Curtis Lofton),0.280,0.680
4,5:01,2,3,ARI 27,7,31,Carson Palmer pass complete short middle to Larry Fitzgerald for 9 yards (tackle by Malcolm Jenkins),0.680,1.330
4,4:38,1,10,ARI 36,7,31,Carson Palmer pass incomplete deep right intended for Michael Floyd is intercepted by Keenan Lewis at NOR-20 and returned for 20 yards (tackle by Alfonso Smith),1.330,-1.600
4,4:26,1,10,NOR 40,7,31,Khiry Robinson right guard for 4 yards (tackle by Calais Campbell),1.600,1.590
4,3:41,2,6,NOR 44,7,31,Khiry Robinson left guard for 11 yards (tackle by Tyrann Mathieu),1.590,2.590
4,2:57,1,10,ARI 45,7,31,Khiry Robinson right guard for 21 yards (tackle by Jerraud Powers and Tyrann Mathieu),2.590,3.970
4,2:13,1,10,ARI 24,7,31,Khiry Robinson right end for 2 yards (tackle by Calais Campbell),3.970,3.700
4,2:00,2,8,ARI 22,7,31,Pierre Thomas left guard for 11 yards (tackle by Tyrann Mathieu),3.700,4.840
4,1:16,1,10,ARI 11,7,31,Drew Brees kneels for -1 yards,4.840,3.980
4,0:40,2,11,ARI 12,7,31,Drew Brees kneels for -1 yards,3.980,3.080
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
