Unnamed: 0,TEN,DAL
First Downs,24,18
Rush-Yds-TDs,36-125-2,19-72-0
Cmp-Att-Yd-TD-INT,21-29-240-2-0,21-32-243-2-1
Sacked-Yards,4-25,5-18
Net Pass Yards,215,225
Total Yards,340,297
Fumbles-Lost,2-2,1-1
Turnovers,2,2
Penalties-Yards,3-20,6-52
Third Down Conv.,11-14,5-11
Fourth Down Conv.,0-0,0-1
Time of Possession,34:26,25:34
