Quarter,Time,Down,ToGo,Location,OAK,TAM,Detail,EPB,EPA
1,7:11,2,4,OAK 36,3,3,Rich Gannon pass incomplete intended for Jerry Rice,1.200,0.500
1,7:03,3,4,OAK 36,3,3,Rich Gannon sacked by Greg Spires for -5 yards,0.500,-1.310
1,6:45,4,9,OAK 31,3,3,"Shane Lechler punts 53 yards, fair catch by Karl Williams",-1.310,0.140
1,6:36,1,10,TAM 16,3,3,Michael Pittman right end for 1 yard (tackle by Charles Woodson),-0.140,-0.510
1,6:08,2,9,TAM 17,3,3,Brad Johnson pass incomplete intended for Mike Alstott,-0.510,-1.200
1,6:03,3,9,TAM 17,3,3,Brad Johnson pass incomplete intended for Michael Pittman,-1.200,-2.320
1,5:57,4,9,TAM 17,3,3,--,-2.320,-2.320
1,5:46,1,10,TAM 49,3,3,Zack Crockett right guard for 4 yards (tackle by Simeon Rice),2.320,2.320
1,5:10,2,6,TAM 45,3,3,Zack Crockett right tackle for 2 yards (tackle by Shelton Quarles),2.320,1.880
1,4:27,3,4,TAM 43,3,3,Rich Gannon pass incomplete intended for Jerry Porter (defended by Greg Spires),1.880,0.400
1,4:20,4,4,TAM 43,3,3,"Shane Lechler punts 27 yards, fair catch by Karl Williams",0.400,0.140
1,4:13,1,10,TAM 16,3,3,Michael Pittman middle for 4 yards (tackle by Chris Cooper and Bill Romanowski),-0.140,0.010
1,3:34,2,6,TAM 20,3,3,Brad Johnson pass complete to Keyshawn Johnson for 12 yards (tackle by Charles Woodson),0.010,1.070
1,2:56,1,10,TAM 32,3,3,Brad Johnson pass incomplete intended for Ken Dilger (defended by Rod Woodson),1.070,0.530
1,2:51,2,10,TAM 32,3,3,"Michael Pittman right end for 3 yards (tackle by Chris Cooper). Penalty on Keyshawn Johnson: Illegal Shift, 5 yards (no play)",0.530,-0.150
1,2:34,2,15,TAM 27,3,3,Brad Johnson pass incomplete intended for Keyshawn Johnson,-0.150,-0.820
1,2:30,3,15,TAM 27,3,3,Michael Pittman left end for -2 yards (tackle by Eric Barton),-0.820,-1.700
1,1:52,4,17,TAM 25,3,3,--,-1.700,-2.190
1,1:35,1,10,OAK 49,3,3,Rich Gannon pass complete to Charlie Garner for 8 yards (tackle by Brian Kelly),2.190,2.730
1,0:57,2,2,TAM 43,3,3,Charlie Garner right tackle for no gain (tackle by Simeon Rice),2.730,2.010
1,0:18,3,2,TAM 43,3,3,Rich Gannon pass incomplete intended for Doug Jolley is intercepted by Dexter Jackson at TAM-40 and returned for 9 yards,2.010,-2.190
1,0:09,1,10,TAM 49,3,3,Michael Pittman right guard for 1 yard (tackle by Napoleon Harris),2.190,1.780
Quarter,Time,Down,ToGo,Location,OAK,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,,3,3,Brad Johnson pass incomplete intended for Keyshawn Johnson,1.780,1.090
2,14:57,3,9,,3,3,Brad Johnson pass complete to Keyshawn Johnson for 11 yards (tackle by Rod Woodson). Penalty on Regan Upshaw: Defensive Offside (Declined),1.090,2.980
2,14:11,1,10,OAK 39,3,3,Mike Alstott right guard for 3 yards (tackle by Eric Barton),2.980,2.850
2,13:33,2,7,OAK 36,3,3,Brad Johnson pass complete to Keyshawn Johnson for 9 yards (tackle by Eric Barton),2.850,3.780
2,12:44,1,10,OAK 27,3,3,Mike Alstott right tackle for 5 yards (tackle by Roderick Coleman),3.780,3.910
2,12:09,2,5,OAK 22,3,3,Mike Alstott for -3 yards (tackle by Bill Romanowski),3.910,2.810
2,11:26,3,8,OAK 25,3,3,Brad Johnson pass incomplete intended for Keyshawn Johnson,2.810,1.800
2,11:20,4,8,OAK 25,6,3,Martin Gramatica 43 yard field goal good,1.800,3.000
2,11:20,,,TAM 30,6,3,"Martin Gramatica kicks off 59 yards, returned by Marcus Knight for 23 yards (tackle by Dexter Jackson)",0.000,1.200
2,11:10,1,10,OAK 34,6,3,Rich Gannon pass complete to Jerry Porter for 9 yards (tackle by Shelton Quarles and Ronde Barber),1.200,1.870
2,10:45,2,1,OAK 43,6,3,Charlie Garner middle for 2 yards (tackle by Shelton Quarles and John Lynch),1.870,1.930
2,10:16,1,10,OAK 45,6,3,Rich Gannon pass incomplete intended for Jerry Porter is intercepted by Dexter Jackson at TAM-30 and returned for 25 yards,1.930,-2.590
2,10:06,1,10,OAK 45,6,3,Brad Johnson pass incomplete intended for Michael Pittman,2.590,2.040
2,10:03,2,10,OAK 45,6,3,Michael Pittman right end for 5 yards (tackle by Anthony Dorsett and Eric Barton),2.040,2.010
2,9:22,3,5,OAK 40,6,3,Brad Johnson pass incomplete intended for Keyshawn Johnson,2.010,0.590
2,9:17,4,5,OAK 40,6,3,"Tom Tupa punts 29 yards, fair catch by Tim Brown",0.590,0.370
2,9:10,1,10,OAK 11,6,3,Rich Gannon pass incomplete intended for Tim Brown,-0.370,-0.780
2,9:06,2,10,OAK 11,6,3,Rich Gannon sacked by Simeon Rice for -1 yards,-0.780,-1.540
2,8:42,3,11,OAK 10,6,3,Rich Gannon pass incomplete intended for Jerry Porter,-1.540,-2.490
2,8:37,4,11,OAK 10,6,3,"Shane Lechler punts 42 yards, returned by Karl Williams for 25 yards (tackle by Tim Johnson)",-2.490,-3.780
2,8:26,1,10,OAK 27,6,3,Michael Pittman right tackle for 6 yards (tackle by Eric Barton and Anthony Dorsett),3.780,4.040
2,7:46,2,4,OAK 21,6,3,Michael Pittman middle for 19 yards (tackle by Anthony Dorsett),4.040,6.740
2,7:03,1,2,OAK 2,6,3,Mike Alstott right end for no gain (tackle by Charles Woodson and Travian Smith),6.740,5.720
2,6:28,2,2,OAK 2,12,3,"Mike Alstott middle for 2 yards, touchdown",5.720,7.000
2,6:28,,,OAK 2,13,3,Martin Gramatica kicks extra point good,0.000,0.000
2,6:28,,,TAM 30,13,3,"Martin Gramatica kicks off 63 yards, returned by Marcus Knight for 22 yards (tackle by Corey Ivy)",0.000,0.870
2,6:18,1,10,OAK 29,13,3,Rich Gannon pass incomplete intended for Charlie Garner,0.870,0.330
2,6:13,2,10,OAK 29,13,3,Charlie Garner left tackle for 4 yards (tackle by Shelton Quarles),0.330,0.170
2,5:40,3,6,OAK 33,13,3,Rich Gannon pass complete to Jerry Porter for 11 yards (tackle by Dwight Smith),0.170,1.860
2,5:08,1,10,OAK 44,13,3,Charlie Garner middle for -1 yards (tackle by Simeon Rice),1.860,1.180
2,4:36,2,11,OAK 43,13,3,Rich Gannon pass complete to Charlie Garner for 5 yards (tackle by Ronde Barber and Brian Kelly),1.180,1.160
2,3:57,3,6,OAK 48,13,3,Rich Gannon pass incomplete intended for Tim Brown,1.160,-0.190
2,3:52,4,6,OAK 48,13,3,"Shane Lechler punts 29 yards, fair catch by Karl Williams",-0.190,-0.480
2,3:45,1,10,TAM 23,13,3,Michael Pittman right tackle for 5 yards (tackle by Junior Ioane and Rod Woodson),0.480,0.610
2,3:07,2,5,TAM 28,13,3,"Michael Pittman right tackle for 3 yards (tackle by Travian Smith and Anthony Dorsett). Penalty on Roderick Coleman: Defensive Offside, 5 yards (no play)",0.610,1.140
2,2:56,1,10,TAM 33,13,3,Michael Pittman middle for 9 yards (tackle by Anthony Dorsett),1.140,1.810
2,2:17,2,1,TAM 42,13,3,Brad Johnson pass complete to Mike Alstott for 16 yards (tackle by Anthony Dorsett and Bill Romanowski),1.810,2.790
2,2:00,1,10,OAK 42,13,3,"Aaron Stecker right tackle for no gain (tackle by Eric Barton and Napoleon Harris). Penalty on Regan Upshaw: Defensive Offside, 5 yards (no play)",2.790,3.520
2,1:56,1,5,OAK 37,13,3,Brad Johnson pass incomplete intended for Rickey Dudley,3.520,2.920
2,1:51,2,5,OAK 37,13,3,"Michael Pittman right end for 3 yards (tackle by Rod Woodson and John Parrella). Penalty on DeLawrence Grant: Illegal Use of Hands, 5 yards",2.920,3.640
2,1:45,1,10,OAK 29,13,3,Mike Alstott for -1 yards (tackle by Eric Barton),3.640,2.970
2,1:09,2,11,OAK 30,13,3,Brad Johnson pass complete to Keyshawn Johnson for 10 yards (tackle by Rod Woodson),2.970,3.600
2,0:46,2,11,OAK 30,,,Timeout #1 by Tampa Bay Buccaneers,2.970,3.600
2,0:46,3,1,OAK 20,13,3,Mike Alstott middle for 3 yards (tackle by Eric Barton and Anthony Dorsett),3.600,4.440
2,0:41,3,1,OAK 20,,,Timeout #2 by Tampa Bay Buccaneers,3.600,4.440
2,0:41,1,10,OAK 17,13,3,Brad Johnson pass complete to Mike Alstott for 12 yards (tackle by Bill Romanowski),4.440,6.060
2,0:34,1,5,OAK 5,19,3,"Brad Johnson pass complete to Keenan McCardell for 5 yards, touchdown",6.060,7.000
2,0:34,,,OAK 5,20,3,Martin Gramatica kicks extra point good,0.000,0.000
2,0:34,,,TAM 30,20,3,"Martin Gramatica kicks off 60 yards, returned by Marcus Knight for 3 yards (tackle by Dwight Smith)",0.000,-0.320
2,0:25,1,10,OAK 13,20,3,Rich Gannon pass incomplete intended for Charlie Garner (defended by Warren Sapp),-0.320,-0.770
2,0:20,2,10,OAK 13,20,3,Charlie Garner middle for 1 yard (tackle by Ellis Wyms),-0.770,-1.300
2,0:13,2,10,OAK 13,,,Timeout #3 by Tampa Bay Buccaneers,-0.770,-1.300
2,0:13,3,9,OAK 14,20,3,Charlie Garner middle for 3 yards (tackle by Ellis Wyms),-1.300,-2.320
Quarter,Time,Down,ToGo,Location,OAK,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 30,20,3,"Martin Gramatica kicks off 65 yards, returned by Marcus Knight for 22 yards (tackle by Darian Barnes)",0.000,0.740
3,14:53,1,10,OAK 27,20,3,Rich Gannon pass complete to Jerry Porter for 3 yards (tackle by Shelton Quarles and Derrick Brooks),0.740,0.600
3,14:17,2,7,OAK 30,20,3,Rich Gannon pass complete to Doug Jolley for 5 yards (tackle by Derrick Brooks),0.600,0.560
3,13:33,3,2,OAK 35,20,3,Rich Gannon pass incomplete intended for Marcus Knight (defended by Brian Kelly),0.560,-1.040
3,13:29,4,2,OAK 35,20,3,"Shane Lechler punts 44 yards, fair catch by Karl Williams. Penalty on Dwight Smith: Illegal Block Above the Waist, 10 yards",-1.040,0.370
3,13:22,1,10,TAM 11,20,3,Michael Pittman middle for 6 yards (tackle by Bill Romanowski),-0.370,-0.160
3,13:03,2,4,TAM 17,20,3,Michael Pittman left tackle for 2 yards (tackle by Travian Smith),-0.160,-0.480
3,12:22,3,2,TAM 19,20,3,Brad Johnson for 10 yards (tackle by Anthony Dorsett),-0.480,0.870
3,11:38,1,10,TAM 29,20,3,Michael Pittman middle for 2 yards (tackle by Travian Smith and Roderick Coleman),0.870,0.600
3,10:56,2,8,TAM 31,20,3,Brad Johnson pass complete to Keyshawn Johnson for 9 yards (tackle by Rod Woodson),0.600,1.600
3,10:12,1,10,TAM 40,20,3,Brad Johnson pass incomplete intended for Mike Alstott,1.600,1.050
3,10:08,2,10,TAM 40,20,3,Mike Alstott middle for 3 yards (tackle by Bill Romanowski),1.050,0.760
3,9:26,3,7,TAM 43,20,3,Brad Johnson pass complete to Joe Jurevicius for 11 yards (tackle by Rod Woodson). Penalty on Regan Upshaw: Defensive Offside (Declined),0.760,2.520
3,9:06,1,10,OAK 46,20,3,Michael Pittman left tackle for -1 yards (tackle by John Parrella),2.520,1.840
3,8:21,2,11,OAK 47,20,3,Brad Johnson pass complete to Joe Jurevicius for 33 yards (tackle by Tory James),1.840,4.650
3,7:46,1,10,OAK 14,20,3,Mike Alstott middle for 1 yard (tackle by Roderick Coleman and Eric Barton),4.650,4.160
3,7:07,2,9,OAK 13,20,3,Brad Johnson pass complete to Ken Dilger for 12 yards (tackle by Charles Woodson and Eric Barton),4.160,6.970
3,6:21,1,1,OAK 1,20,3,"Brad Johnson pass incomplete intended for Ken Dilger. Penalty on Kenyatta Walker: Illegal Use of Hands, 10 yards (no play)",6.970,4.770
3,6:16,1,11,OAK 11,20,3,Michael Pittman right tackle for 3 yards (tackle by Bill Romanowski and Travian Smith),4.770,4.570
3,5:36,2,8,OAK 8,26,3,"Brad Johnson pass complete to Keenan McCardell for 8 yards, touchdown",4.570,7.000
3,5:36,,,OAK 8,27,3,Martin Gramatica kicks extra point good,0.000,0.000
3,5:36,,,TAM 30,27,3,"Martin Gramatica kicks off 67 yards, returned by Marcus Knight for 29 yards (tackle by Ronde Barber)",0.000,1.070
3,5:21,1,10,OAK 32,27,3,Rich Gannon pass complete to Charlie Garner for 8 yards (tackle by Brian Kelly),1.070,1.610
3,4:56,2,2,OAK 40,33,3,"Rich Gannon pass incomplete intended for Jerry Rice is intercepted by Dwight Smith at OAK-44 and returned for 44 yards, touchdown",1.610,-7.000
3,4:47,,,OAK 40,34,3,Martin Gramatica kicks extra point good,0.000,0.000
3,4:47,,,TAM 30,34,3,"Martin Gramatica kicks off 64 yards, returned by Marcus Knight for 12 yards (tackle by Corey Ivy)",0.000,0.040
3,4:41,1,10,OAK 18,34,3,Rich Gannon sacked by Ellis Wyms for -1 yards,0.040,-0.650
3,4:26,2,11,OAK 17,34,3,Rich Gannon pass incomplete intended for Tim Brown,-0.650,-1.340
3,4:21,3,11,OAK 17,34,3,Rich Gannon pass complete to Doug Jolley for 25 yards (tackle by Shelton Quarles),-1.340,1.730
3,3:37,1,10,OAK 42,34,3,Rich Gannon pass complete to Jerry Rice for 6 yards (tackle by Brian Kelly),1.730,2.000
3,3:18,2,4,OAK 48,34,3,Rich Gannon pass incomplete intended for Doug Jolley,2.000,1.290
3,3:12,3,4,OAK 48,34,3,"Rich Gannon pass incomplete intended for Jerry Porter. Penalty on Shelton Quarles: Defensive Pass Interference, 6 yards (no play)",1.290,2.520
3,3:08,1,10,TAM 46,34,3,Rich Gannon pass complete to Jon Ritchie for 7 yards (tackle by Ronde Barber and Brian Kelly),2.520,2.920
3,2:28,2,3,TAM 39,34,3,Rich Gannon pass incomplete intended for Jerry Porter (defended by John Lynch),2.920,2.210
3,2:22,3,3,TAM 39,34,9,"Rich Gannon pass complete to Jerry Porter for 39 yards, touchdown",2.210,7.000
,,,,,,,"OAK challenged the ruling, and the original play was overturned.",,
3,2:22,3,,TAM 39,34,9,"Two Point Attempt: Rich Gannon, conversion fails",1.000,-1.000
3,2:22,,,OAK 30,34,9,"Sebastian Janikowski kicks off 62 yards, returned by Dwight Smith for 23 yards (tackle by Tim Johnson)",0.000,1.000
3,2:06,1,10,TAM 31,34,9,"Michael Pittman middle for 1 yard (tackle by John Parrella). Penalty on Kenyatta Walker: Offensive Holding, 10 yards (no play)",1.000,0.340
3,1:42,1,20,TAM 21,34,9,Michael Pittman left end for 2 yards (tackle by Chris Cooper and Bill Romanowski),0.340,-0.620
3,0:56,2,18,TAM 23,34,9,Michael Pittman left tackle for 4 yards (tackle by Bill Romanowski and DeLawrence Grant),-0.620,-0.760
3,0:12,3,14,TAM 27,34,9,"Michael Pittman middle for 2 yards (tackle by Chris Cooper and Anthony Dorsett). Penalty on Eric Barton: Defensive Offside, 5 yards (no play)",-0.760,-0.100
Quarter,Time,Down,ToGo,Location,OAK,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,TAM 32,34,9,Michael Pittman right guard for 1 yard (tackle by Roderick Coleman and Chris Cooper),-0.100,-1.180
4,14:25,4,8,TAM 33,34,15,"Tom Tupa punts, blocked by Tim Johnson, recovered by Eric Johnson and returned 13 yards, touchdown",-1.180,-7.000
4,14:16,4,,TAM 33,34,15,"Two Point Attempt: Rich Gannon pass incomplete intended for Tim Brown, conversion fails",1.000,-1.000
4,14:16,,,OAK 30,34,15,"Sebastian Janikowski kicks off 65 yards, returned by Aaron Stecker for 19 yards (tackle by Zack Crockett)",0.000,0.540
4,14:10,1,10,TAM 24,34,15,Michael Pittman right tackle for no gain (tackle by Travian Smith and Eric Barton),0.540,0.000
4,13:32,2,10,TAM 24,34,15,Brad Johnson pass complete to Keyshawn Johnson for 18 yards (tackle by Rod Woodson),0.000,1.730
4,13:00,1,10,TAM 42,34,15,Michael Pittman middle for 2 yards (tackle by Anthony Dorsett and Travian Smith),1.730,1.460
4,12:18,2,8,TAM 44,34,15,Brad Johnson pass incomplete intended for Mike Alstott,1.460,0.760
4,12:12,3,8,TAM 44,34,15,"Penalty on Chris Cooper: Encroachment, 5 yards (no play)",0.760,1.420
4,12:12,3,3,TAM 49,34,15,"Brad Johnson pass incomplete intended for Keenan McCardell. Penalty on Charles Woodson: Defensive Pass Interference, 16 yards (no play)",1.420,3.250
4,12:06,1,10,OAK 35,34,15,Michael Pittman left end for 24 yards (tackle by Tory James),3.250,4.840
4,11:16,1,10,OAK 11,34,15,Mike Alstott middle for 2 yards (tackle by John Parrella and Regan Upshaw),4.840,4.510
4,10:34,2,8,OAK 9,34,15,Michael Pittman right end for -2 yards (tackle by Bill Romanowski),4.510,3.130
4,9:53,3,10,OAK 11,34,15,Brad Johnson pass complete to Mike Alstott for 2 yards (tackle by Tory James),3.130,2.830
4,9:08,4,8,OAK 9,34,15,"Tom Tupa for no gain. Tom Tupa fumbles, recovered by Martin Gramatica at OAK-18",2.830,-0.410
4,9:02,1,10,OAK 22,34,15,Rich Gannon pass complete to Doug Jolley for 9 yards (tackle by Dwight Smith),0.410,1.080
4,8:33,2,1,OAK 31,34,15,Rich Gannon pass complete to Tyrone Wheatley for 7 yards (tackle by Shelton Quarles),1.080,1.470
4,8:11,1,10,OAK 38,34,15,Rich Gannon pass incomplete intended for Charlie Garner (defended by Warren Sapp),1.470,0.920
4,8:06,2,10,OAK 38,34,15,Rich Gannon pass complete to Jerry Rice for 3 yards (tackle by Dexter Jackson),0.920,0.630
4,7:28,3,7,OAK 41,34,15,Rich Gannon pass complete to Doug Jolley for 14 yards (tackle by Nate Webster and Brian Kelly),0.630,2.590
4,6:50,1,10,TAM 45,34,15,Rich Gannon pass incomplete intended for Jerry Rice,2.590,2.040
4,6:46,2,10,TAM 45,34,15,"Rich Gannon pass incomplete intended for Charlie Garner. Penalty on Barry Sims: Offensive Holding, 10 yards (no play)",2.040,0.690
4,6:41,2,20,OAK 45,34,15,Rich Gannon pass complete to Charlie Garner for 7 yards (tackle by Brian Kelly),0.690,0.960
4,6:14,3,13,TAM 48,34,21,"Rich Gannon pass complete to Jerry Rice for 48 yards, touchdown",0.960,7.000
4,6:14,3,,TAM 48,34,21,"Two Point Attempt: Rich Gannon pass incomplete intended for Jerry Porter, conversion fails",1.000,-1.000
,,,,,,,"OAK challenged the ruling, and the play was upheld.",,
4,6:14,,,OAK 30,34,21,"Sebastian Janikowski kicks off 75 yards, touchback",0.000,0.280
4,6:06,1,10,TAM 20,34,21,Michael Pittman middle for 1 yard (tackle by John Parrella and Travian Smith),0.280,-0.130
4,5:23,2,9,TAM 21,34,21,Michael Pittman right end for 2 yards (tackle by Charles Woodson),-0.130,-0.560
4,5:17,2,9,TAM 21,,,Timeout #2 by Oakland Raiders,-0.130,-0.560
4,5:17,3,7,TAM 23,34,21,Brad Johnson pass complete to Mike Alstott for 9 yards (tackle by Charles Woodson),-0.560,1.070
4,4:50,1,10,TAM 32,34,21,Michael Pittman right guard for no gain (tackle by Charles Woodson),1.070,0.530
4,4:06,2,10,TAM 32,34,21,Michael Pittman right tackle for 1 yard (tackle by Travian Smith and Eric Barton),0.530,-0.030
4,3:41,3,9,TAM 33,34,21,Michael Pittman right end for 2 yards (tackle by Eric Barton),-0.030,-1.040
4,2:57,4,7,TAM 35,34,21,--,-1.040,-0.670
4,2:44,1,10,OAK 26,34,21,Rich Gannon pass complete to Jerry Rice for 11 yards (tackle by Dwight Smith),0.670,1.400
4,2:22,1,10,OAK 37,34,21,Rich Gannon for 1 yard (tackle by Warren Sapp),1.400,0.990
4,2:00,2,9,OAK 38,34,21,"Rich Gannon sacked by Warren Sapp for -9 yards. Rich Gannon fumbles (forced by Warren Sapp), recovered by Mo Collins at OAK-29",0.990,-0.890
4,2:00,3,18,OAK 29,40,21,"Rich Gannon pass incomplete intended for Marcus Knight is intercepted by Derrick Brooks at OAK-44 and returned for 44 yards, touchdown",-0.890,-7.000
4,1:18,,,OAK 29,41,21,Martin Gramatica kicks extra point good,0.000,0.000
4,1:18,,,TAM 30,41,21,"Martin Gramatica kicks off 52 yards, returned by Marcus Knight for 9 yards (tackle by Darian Barnes)",0.000,0.740
4,1:13,1,10,OAK 27,41,21,Rich Gannon pass incomplete intended for Charlie Garner,0.740,0.200
4,1:08,2,10,OAK 27,41,21,Rich Gannon pass complete to Doug Jolley for 6 yards (tackle by Nate Webster),0.200,0.300
4,0:46,3,4,OAK 33,41,21,Rich Gannon pass complete to Jerry Rice for 9 yards (tackle by Corey Ivy),0.300,1.730
4,0:31,1,10,OAK 42,41,21,Rich Gannon pass complete to Charlie Garner for 9 yards (tackle by Alshermond Singleton),1.730,2.400
4,0:12,2,1,TAM 49,47,21,"Rich Gannon pass incomplete intended for Marcus Knight is intercepted by Dwight Smith at 50 and returned for 50 yards, touchdown",2.400,-7.000
4,0:02,,,OAK 49,48,21,Martin Gramatica kicks extra point good,0.000,0.000
4,0:02,,,TAM 30,48,21,"Martin Gramatica kicks off 40 yards, returned by Chris Cooper for 6 yards (tackle by Jack Golden)",0.000,0.940
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
