Quarter,Time,Tm,Detail,TEN,HOU
2.0,7:40,Titans,Anthony Firkser 5 yard pass from Ryan Tannehill (Randy Bullock kick),7,0
,1:34,Titans,A.J. Brown 14 yard pass from Ryan Tannehill (Randy Bullock kick),14,0
,0:11,Titans,Nick Westbrook-Ikhine 4 yard pass from Ryan Tannehill (Randy Bullock kick),21,0
3.0,9:46,Texans,Chris Moore 28 yard pass from Davis Mills (Ka'imi Fairbairn kick),21,7
,2:14,Texans,Ka'imi Fairbairn 31 yard field goal,21,10
4.0,11:40,Texans,Danny Amendola 7 yard pass from Davis Mills (Danny Amendola pass from Davis Mills),21,18
,7:00,Titans,Julio Jones 3 yard pass from Ryan Tannehill (Randy Bullock kick),28,18
,4:04,Texans,Danny Amendola 26 yard pass from Davis Mills (Ka'imi Fairbairn kick),28,25
