Quarter,Time,Tm,Detail,BAL,TEN
2.0,8:32,Titans,Rob Bironas 25 yard field goal,0,3
,4:38,Ravens,Ray Rice 31 yard pass from Joe Flacco (Billy Cundiff kick),7,3
,0:40,Titans,Kenny Britt 4 yard pass from Matt Hasselbeck (Rob Bironas kick),7,10
,0:00,Ravens,Billy Cundiff 41 yard field goal,10,10
3.0,11:10,Titans,Javon Ringer 10 yard rush (Rob Bironas kick),10,17
,3:25,Titans,Rob Bironas 43 yard field goal,10,20
4.0,12:00,Titans,Rob Bironas 39 yard field goal,10,23
,6:58,Ravens,Billy Cundiff 29 yard field goal,13,23
,0:26,Titans,Rob Bironas 33 yard field goal,13,26
