Unnamed: 0,BAL,TEN
First Downs,15,21
Rush-Yds-TDs,17-45-0,29-74-1
Cmp-Att-Yd-TD-INT,15-32-197-1-2,30-42-358-1-1
Sacked-Yards,3-13,0-0
Net Pass Yards,184,358
Total Yards,229,432
Fumbles-Lost,2-1,0-0
Turnovers,3,1
Penalties-Yards,7-44,6-70
Third Down Conv.,3-10,7-17
Fourth Down Conv.,0-0,2-2
Time of Possession,24:08,35:52
