Unnamed: 0,PIT,LAR
First Downs,17,19
Rush-Yds-TDs,29-86-3,31-135-1
Cmp-Att-Yd-TD-INT,17-25-230-0-0,14-29-231-1-1
Sacked-Yards,2-16,2-12
Net Pass Yards,214,219
Total Yards,300,354
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,8-76,5-40
Third Down Conv.,4-12,9-16
Fourth Down Conv.,1-1,0-0
Time of Possession,28:14,31:46
