Quarter,Time,Down,ToGo,Location,PIT,LAR,Detail,EPB,EPA
1,9:26,2,7,PIT 35,0,0,Kenny Pickett pass complete short left to George Pickens for 17 yards (tackle by Ernest Jones and Russ Yeast),0.930,2.390
1,8:45,1,10,LAR 48,0,0,Najee Harris left tackle for 6 yards (tackle by Ernest Jones and Cobie Durant),2.390,2.660
1,8:07,2,4,LAR 42,0,0,"Najee Harris right tackle for -5 yards (tackle by Jordan Fuller). Penalty on Connor Heyward: Offensive Holding, 10 yards (declined)",2.660,1.290
1,7:40,3,9,LAR 47,0,0,Kenny Pickett pass incomplete deep right intended for George Pickens,1.290,0.130
1,7:37,4,9,LAR 47,0,0,Pressley Harvin punts 41 yards downed by James Pierre,0.130,0.380
1,7:28,1,10,LAR 6,0,0,Matthew Stafford pass incomplete short left intended for Tutu Atwell,-0.380,-0.780
1,7:24,2,10,LAR 6,0,0,Royce Freeman up the middle for 9 yards (tackle by Minkah Fitzpatrick),-0.780,-0.370
1,6:50,3,1,LAR 15,0,0,Royce Freeman up the middle for 4 yards (tackle by Patrick Peterson and Larry Ogunjobi),-0.370,0.150
1,6:30,1,10,LAR 19,0,0,Matthew Stafford pass complete short middle to Puka Nacua for 30 yards (tackle by Damontae Kazee),0.150,2.190
1,5:52,1,10,LAR 49,0,0,Royce Freeman up the middle for 11 yards (tackle by Damontae Kazee),2.190,2.920
1,5:08,1,10,PIT 40,0,0,Matthew Stafford pass incomplete short left intended for Tyler Higbee,2.920,2.370
1,4:56,2,10,PIT 40,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 5 yards (tackle by Kwon Alexander),2.370,2.340
1,4:19,3,5,PIT 35,0,0,Royce Freeman right guard for 1 yard (tackle by Minkah Fitzpatrick),2.340,1.080
1,3:40,4,4,PIT 34,0,0,Brett Maher 53 yard field goal no good,1.080,-1.800
1,3:35,1,10,PIT 43,0,0,Kenny Pickett pass complete short right to Diontae Johnson for 14 yards (tackle by Cobie Durant),1.800,2.720
1,2:58,1,10,LAR 43,0,0,Najee Harris right tackle for 6 yards (tackle by Michael Hoecht),2.720,2.990
1,2:18,2,4,LAR 37,0,0,Najee Harris left tackle for 9 yards (tackle by Desjuan Johnson and Jordan Fuller),2.990,3.710
1,1:31,1,10,LAR 28,0,0,"Kenny Pickett sacked by Michael Hoecht for -11 yards. Penalty on Jaylen Warren: Offensive Holding, 10 yards (declined)",3.710,1.680
1,1:14,2,21,LAR 39,0,0,Kenny Pickett pass complete short middle to Connor Heyward for 12 yards (tackle by Jordan Fuller),1.680,2.610
1,0:30,3,9,LAR 27,0,0,"Kenny Pickett pass complete short middle to Diontae Johnson for 7 yards (tackle by Quentin Lake). Penalty on George Pickens: Illegal Blindside Block, 15 yards (accepted)",2.610,1.550
Quarter,Time,Down,ToGo,Location,PIT,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,17,LAR 35,0,0,Kenny Pickett pass incomplete short left intended for Jaylen Warren,1.550,0.970
2,14:56,4,17,LAR 35,3,0,Chris Boswell 53 yard field goal good,0.970,3.000
2,14:51,,,PIT 35,3,0,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,14:51,1,10,LAR 25,3,0,Darrell Henderson up the middle for no gain (tackle by Montravius Adams and DeMarvin Leal),0.610,0.060
2,14:07,,,,,,Timeout #1 by Los Angeles Rams,,
2,14:07,2,10,LAR 25,3,0,Darrell Henderson left guard for -1 yards (tackle by Montravius Adams),0.060,-0.760
2,13:46,3,11,LAR 24,3,0,Matthew Stafford pass complete deep left to Cooper Kupp for 24 yards,-0.760,2.130
2,13:10,1,10,LAR 48,3,0,"Matthew Stafford pass incomplete deep left. Penalty on Matthew Stafford: Intentional Grounding, 10 yards (accepted)",2.130,0.230
2,13:01,2,20,LAR 38,3,0,"Matthew Stafford pass complete short right to Cooper Kupp for no gain. Penalty on Coleman Shelton: Offensive Holding, 10 yards (accepted) (no play)",0.230,-1.120
2,12:32,2,30,LAR 28,3,0,Matthew Stafford pass complete short right to Puka Nacua for 1 yard (tackle by Chandon Sullivan),-1.120,-1.620
2,12:05,3,29,LAR 29,3,0,Matthew Stafford pass complete short right to Brycen Hopkins for 5 yards (tackle by Keanu Neal and Cole Holcomb),-1.620,-1.110
2,11:23,4,24,LAR 34,3,0,"Ethan Evans punts 53 yards, returned by Calvin Austin for 6 yards (tackle by Tre'Vius Tomlinson and Jake Hummel)",-1.110,-0.150
2,11:10,1,10,PIT 19,3,0,Kenny Pickett pass incomplete deep right intended for Diontae Johnson (defended by Cobie Durant),0.150,-0.390
2,11:04,2,10,PIT 19,3,0,Najee Harris left guard for 1 yard (tackle by Kobie Turner and Russ Yeast),-0.390,-0.940
2,10:22,3,9,PIT 20,3,0,Kenny Pickett pass incomplete short right,-0.940,-2.030
2,10:14,4,9,PIT 20,3,0,Pressley Harvin punts 41 yards,-2.030,-1.530
2,10:07,1,10,LAR 39,3,0,Royce Freeman left guard for 6 yards (tackle by Damontae Kazee),1.530,1.800
2,9:26,2,4,LAR 45,3,0,"Matthew Stafford pass incomplete. Penalty on Chandon Sullivan: Defensive Holding, 5 yards (accepted) (no play)",1.800,2.260
2,9:20,1,10,LAR 50,3,0,Matthew Stafford sacked by Nick Herbig for -6 yards,2.260,0.900
2,8:38,2,16,LAR 44,3,0,Matthew Stafford pass complete short left to Puka Nacua for 5 yards (tackle by Patrick Peterson and Levi Wallace),0.900,0.890
2,8:13,3,11,LAR 49,3,0,Matthew Stafford pass complete deep middle to Puka Nacua for 22 yards (tackle by Joey Porter and Damontae Kazee),0.890,3.640
2,7:28,1,10,PIT 29,3,0,Royce Freeman left tackle for 1 yard (tackle by Montravius Adams),3.640,3.240
2,6:48,2,9,PIT 28,3,0,Royce Freeman up the middle for 5 yards (tackle by Elandon Roberts),3.240,3.200
2,6:06,3,4,PIT 23,3,0,Matthew Stafford pass incomplete short right intended for Puka Nacua (defended by Joey Porter),3.200,2.000
2,6:00,4,4,PIT 23,3,3,Brett Maher 41 yard field goal good,2.000,3.000
2,5:56,,,LAR 35,3,3,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
2,5:56,1,10,PIT 25,3,3,Calvin Austin left end for 1 yard (tackle by Ahkello Witherspoon),0.610,0.200
2,5:24,2,9,PIT 26,3,3,Kenny Pickett pass complete deep left to George Pickens for 20 yards (tackle by Ahkello Witherspoon),0.200,1.990
2,4:45,1,10,PIT 46,3,3,Jaylen Warren right tackle for 3 yards (tackle by Christian Rozeboom and Aaron Donald),1.990,1.860
2,4:06,2,7,PIT 49,3,3,Kenny Pickett pass incomplete short middle intended for George Pickens,1.860,1.160
2,4:00,3,7,PIT 49,3,3,"Kenny Pickett pass incomplete short left. Penalty on Kenny Pickett: Intentional Grounding, 16 yards (accepted)",1.160,-1.180
2,3:54,4,23,PIT 33,3,3,"Pressley Harvin punts 55 yards, fair catch by Austin Trammell at LA-12",-1.180,0.350
2,3:46,1,10,LAR 12,3,3,Darrell Henderson up the middle for 7 yards (tackle by Joey Porter),-0.350,0.100
2,3:10,2,3,LAR 19,3,3,Darrell Henderson left tackle for no gain (tackle by Alex Highsmith),0.100,-0.600
2,2:26,3,3,LAR 19,3,3,Matthew Stafford pass complete short right to Puka Nacua for 36 yards (tackle by Damontae Kazee),-0.600,2.590
2,2:00,1,10,PIT 45,3,3,Darrell Henderson up the middle for 2 yards (tackle by DeMarvin Leal and Minkah Fitzpatrick),2.590,2.310
2,1:17,2,8,PIT 43,3,3,Darrell Henderson right guard for 7 yards (tackle by Minkah Fitzpatrick and Cole Holcomb),2.310,2.540
2,0:37,3,1,PIT 36,3,3,Darrell Henderson up the middle for 5 yards (tackle by Cole Holcomb and Damontae Kazee),2.540,3.510
2,0:31,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:31,1,10,PIT 31,3,3,Matthew Stafford pass incomplete deep right intended for Puka Nacua,3.510,2.970
2,0:25,2,10,PIT 31,3,9,"Matthew Stafford pass complete deep left to Tutu Atwell for 31 yards, touchdown",2.970,7.000
2,0:17,,,PIT 15,3,9,Brett Maher kicks extra point no good,0.000,-1.000
2,0:17,,,LAR 35,3,9,"Ethan Evans kicks off 66 yards, returned by Godwin Igwebuike for 15 yards (tackle by Zach VanValkenburg and John Johnson)",0.000,-0.280
2,0:13,1,10,PIT 14,3,9,Kenny Pickett kneels for -1 yards,-0.280,-0.850
Quarter,Time,Down,ToGo,Location,PIT,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,3,9,"Chris Boswell kicks off 51 yards, returned by Austin Trammell for 12 yards (tackle by Nick Herbig)",0.000,0.670
3,14:56,1,10,LAR 26,3,9,Matthew Stafford pass short middle intended for Cooper Kupp is intercepted by T.J. Watt at LA-31 and returned for 24 yards (tackle by Puka Nacua),0.670,-5.600
3,14:44,1,7,LAR 7,3,9,Najee Harris right end for 2 yards (tackle by Quentin Lake and Kobie Turner),5.600,5.150
3,13:48,2,5,LAR 5,3,9,Kenny Pickett pass complete short right to Najee Harris for 4 yards (tackle by Jordan Fuller),5.150,5.170
3,13:23,3,1,LAR 1,9,9,"Kenny Pickett up the middle for 1 yard, touchdown",5.170,7.000
3,13:19,,,LAR 15,10,9,Chris Boswell kicks extra point good,0.000,0.000
3,13:19,,,PIT 35,10,9,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
3,13:19,1,10,LAR 25,10,9,Darrell Henderson up the middle for 1 yard (tackle by Keanu Neal),0.610,0.200
3,12:39,2,9,LAR 26,10,9,Darrell Henderson up the middle for 6 yards (tackle by T.J. Watt and Kwon Alexander),0.200,0.300
3,11:50,3,3,LAR 32,10,9,"Matthew Stafford pass incomplete short middle intended for Tyler Higbee. Penalty on T.J. Watt: Defensive Offside, 5 yards (accepted) (no play)",0.300,1.400
3,11:50,1,10,LAR 37,10,9,"Matthew Stafford pass complete deep left to Puka Nacua for 32 yards (tackle by Minkah Fitzpatrick and Levi Wallace) PIT challenged the pass completion ruling, and the play was upheld.",1.400,3.510
3,11:33,1,10,PIT 31,10,9,Darrell Henderson right guard for 3 yards (tackle by Minkah Fitzpatrick),3.510,3.370
3,10:50,2,7,PIT 28,10,9,Matthew Stafford pass incomplete short right intended for Darrell Henderson,3.370,2.680
3,10:44,,,,,,Timeout #1 by Los Angeles Rams,,
3,10:44,3,7,PIT 28,10,9,Matthew Stafford pass complete short right to Puka Nacua for 20 yards (tackle by Minkah Fitzpatrick and Damontae Kazee),2.680,5.370
3,10:02,1,8,PIT 8,10,9,Darrell Henderson up the middle for 2 yards (tackle by Minkah Fitzpatrick and Cole Holcomb),5.370,4.950
3,9:23,2,6,PIT 6,10,9,Matthew Stafford pass complete short left to Darrell Henderson for 5 yards (tackle by Alex Highsmith),4.950,5.170
3,9:00,3,1,PIT 1,10,15,"Darrell Henderson up the middle for 1 yard, touchdown",5.170,7.000
3,8:57,,,PIT 2,10,17,Two Point Attempt: Matthew Stafford pass complete to to Cooper Kupp for no gain,1.000,1.000
3,8:57,,,LAR 35,10,17,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
3,8:57,1,10,PIT 25,10,17,Kenny Pickett pass complete short left to Diontae Johnson for 8 yards (tackle by Cobie Durant),0.610,1.140
3,8:26,2,2,PIT 33,10,17,"Najee Harris right tackle for no gain. Penalty on Chukwuma Okorafor: Offensive Holding, 10 yards (accepted) (no play)",1.140,-0.210
3,8:07,2,12,PIT 23,10,17,Kenny Pickett pass incomplete short middle intended for Connor Heyward (defended by Christian Rozeboom),-0.210,-0.890
3,7:56,3,12,PIT 23,10,17,Kenny Pickett scrambles up the middle for 2 yards (tackle by Byron Young),-0.890,-1.700
3,7:23,4,10,PIT 25,10,17,"Pressley Harvin punts 46 yards, fair catch by Austin Trammell at LA-29",-1.700,-0.870
3,7:16,1,10,LAR 29,10,17,Royce Freeman left guard for 15 yards (tackle by Minkah Fitzpatrick and Levi Wallace),0.870,1.860
3,6:39,1,10,LAR 44,10,17,Royce Freeman right tackle for 1 yard (tackle by Cole Holcomb),1.860,1.450
3,6:09,2,9,LAR 45,10,17,Matthew Stafford pass complete short middle to Puka Nacua for 8 yards (tackle by Elandon Roberts),1.450,1.820
3,5:24,3,1,PIT 47,10,17,"Penalty on Rob Havenstein: False Start, 5 yards (accepted) (no play)",1.820,1.160
3,5:10,3,6,LAR 48,10,17,Matthew Stafford pass complete short right to Tyler Higbee for 7 yards (tackle by Keanu Neal),1.160,2.590
3,4:38,1,10,PIT 45,10,17,Royce Freeman left guard for no gain (tackle by Larry Ogunjobi and Joey Porter),2.590,2.040
3,3:48,2,10,PIT 45,10,17,Darrell Henderson left end for -2 yards (tackle by Cole Holcomb),2.040,1.090
3,3:15,3,12,PIT 47,10,17,"Penalty on Alex Highsmith: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.090,1.750
3,2:51,3,7,PIT 42,10,17,Matthew Stafford scrambles right end for 8 yards (tackle by Keanu Neal),1.750,3.310
3,2:03,1,10,PIT 34,10,17,Darrell Henderson up the middle for 1 yard (tackle by Cole Holcomb and Larry Ogunjobi),3.310,2.910
3,1:40,2,9,PIT 33,10,17,Matthew Stafford pass incomplete short right intended for Tyler Higbee,2.910,2.210
3,1:33,3,9,PIT 33,10,17,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,2.210,1.150
3,1:27,4,9,PIT 33,10,17,Brett Maher 51 yard field goal no good,1.150,-1.660
3,1:22,1,10,PIT 41,10,17,Kenny Pickett pass complete short left to Najee Harris for 3 yards (tackle by Cory Durden),1.660,1.530
3,0:43,2,7,PIT 44,10,17,Kenny Pickett pass complete short right to Jaylen Warren for -1 yards (tackle by Byron Young and Quentin Lake),1.530,0.700
Quarter,Time,Down,ToGo,Location,PIT,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,PIT 43,10,17,Kenny Pickett pass complete short left to Diontae Johnson for 39 yards (tackle by Byron Young),0.700,4.370
4,14:30,1,10,LAR 18,10,17,Jaylen Warren left guard for 5 yards (tackle by Jonah Williams and Kobie Turner),4.370,4.610
4,13:54,2,5,LAR 13,16,17,"Jaylen Warren left tackle for 13 yards, touchdown",4.610,7.000
4,13:49,,,LAR 15,17,17,Chris Boswell kicks extra point good,0.000,0.000
4,13:49,,,PIT 35,17,17,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
4,13:49,1,10,LAR 25,17,17,Darrell Henderson left tackle for 3 yards (tackle by Nick Herbig),0.610,0.470
4,13:11,2,7,LAR 28,17,17,Darrell Henderson left tackle for 4 yards (tackle by Elandon Roberts),0.470,0.300
4,12:51,3,3,LAR 32,17,17,Matthew Stafford pass incomplete short middle intended for Puka Nacua,0.300,-1.240
4,12:45,4,3,LAR 32,17,17,"Ethan Evans punts 68 yards, touchback.",-1.240,-0.280
4,12:36,1,10,PIT 20,17,17,"Kenny Pickett pass complete short left to George Pickens for 18 yards (tackle by Russ Yeast). Penalty on George Pickens: Taunting / Offense, 15 yards (accepted)",0.280,0.480
4,12:10,1,10,PIT 23,17,17,Najee Harris up the middle for 3 yards (tackle by Christian Rozeboom),0.480,0.340
4,11:32,2,7,PIT 26,17,17,Jaylen Warren up the middle for 6 yards (tackle by Michael Hoecht),0.340,0.430
4,11:09,3,1,PIT 32,17,17,Kenny Pickett left guard for 2 yards (tackle by Michael Hoecht and Aaron Donald),0.430,1.200
4,10:35,1,10,PIT 34,17,17,Kenny Pickett pass complete deep left to George Pickens for 21 yards (tackle by Ahkello Witherspoon),1.200,2.590
4,9:56,1,10,LAR 45,17,17,Najee Harris up the middle for 10 yards (tackle by Russ Yeast and Christian Rozeboom),2.590,3.250
4,9:35,1,10,LAR 35,17,17,Najee Harris left guard for 5 yards (tackle by Christian Rozeboom and Earnest Brown),3.250,3.380
4,8:50,2,5,LAR 30,17,17,Kenny Pickett pass complete short right to Diontae Johnson for 11 yards,3.380,4.310
4,8:14,1,10,LAR 19,17,17,"Penalty on LAR: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",4.310,5.300
4,8:06,1,5,LAR 14,17,17,Kenny Pickett pass complete short left to Connor Heyward for 11 yards (tackle by Quentin Lake),5.300,6.510
4,7:23,1,3,LAR 3,23,17,"Najee Harris up the middle for 3 yards, touchdown",6.510,7.000
4,7:20,,,LAR 15,24,17,Chris Boswell kicks extra point good,0.000,0.000
4,7:20,,,PIT 35,24,17,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
4,7:20,1,10,LAR 25,24,17,"Matthew Stafford pass incomplete deep right intended for Cooper Kupp. Penalty on Patrick Peterson: Illegal Contact, 5 yards (accepted) (no play)",0.610,0.940
4,7:14,1,10,LAR 30,24,17,Royce Freeman left guard for 9 yards (tackle by Minkah Fitzpatrick),0.940,1.610
4,6:42,2,1,LAR 39,24,17,Royce Freeman up the middle for 4 yards (tackle by Montravius Adams and Minkah Fitzpatrick),1.610,1.800
4,6:00,1,10,LAR 43,24,17,Matthew Stafford pass incomplete deep left,1.800,1.250
4,5:52,2,10,LAR 43,24,17,Matthew Stafford pass incomplete short right intended for Cooper Kupp,1.250,0.560
4,5:46,3,10,LAR 43,24,17,Matthew Stafford pass incomplete deep middle intended for Puka Nacua,0.560,-0.520
4,5:39,4,10,LAR 43,24,17,"Ethan Evans punts 45 yards, returned by Calvin Austin for 2 yards (tackle by Duke Shelley and Alex Ward)",-0.520,0.280
4,5:28,1,10,PIT 14,24,17,Najee Harris up the middle for 7 yards (tackle by Russ Yeast and Jordan Fuller),-0.280,0.280
4,4:46,2,3,PIT 21,24,17,Najee Harris up the middle for no gain (tackle by Michael Hoecht and Aaron Donald),0.280,-0.560
4,4:04,3,3,PIT 21,24,17,Kenny Pickett pass complete deep middle to George Pickens for 31 yards (tackle by Cobie Durant),-0.560,2.390
4,3:19,1,10,LAR 48,24,17,Jaylen Warren left end for 2 yards (tackle by Quentin Lake),2.390,2.120
4,3:10,,,,,,Timeout #2 by Los Angeles Rams,,
4,3:10,2,8,LAR 46,24,17,Najee Harris left guard for no gain (tackle by Ernest Jones and Quentin Lake),2.120,1.550
4,3:03,,,,,,Timeout #3 by Los Angeles Rams,,
4,3:03,3,7,LAR 45,24,17,"Kenny Pickett pass incomplete intended for Diontae Johnson. Penalty on Ahkello Witherspoon: Defensive Pass Interference, 9 yards (offset) . Penalty on Diontae Johnson: Unsportsmanlike Conduct / Offense, 15 yards (offset) (no play)",1.550,1.420
4,2:59,3,8,LAR 46,24,17,Kenny Pickett pass complete short middle to Allen Robinson for 7 yards (tackle by Russ Yeast and Ahkello Witherspoon),1.420,0.660
4,2:35,4,1,LAR 39,24,17,Kenny Pickett left guard for 1 yard (tackle by Jonah Williams),0.660,3.050
4,2:00,1,10,LAR 38,24,17,Kenny Pickett kneels for -2 yards,3.050,2.240
4,1:19,2,12,LAR 40,24,17,Kenny Pickett kneels for -1 yards,2.240,1.420
4,0:39,3,13,LAR 41,24,17,Kenny Pickett kneels for -2 yards,1.420,0.400
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
