Quarter,Time,Tm,Detail,PIT,LAR
2.0,14:51,Steelers,Chris Boswell 53 yard field goal,3,0
,5:56,Rams,Brett Maher 41 yard field goal,3,3
,0:17,Rams,Tutu Atwell 31 yard pass from Matthew Stafford (Brett Maher kick failed),3,9
3.0,13:19,Steelers,Kenny Pickett 1 yard rush (Chris Boswell kick),10,9
,8:57,Rams,Darrell Henderson 1 yard rush (Cooper Kupp pass from Matthew Stafford),10,17
4.0,13:49,Steelers,Jaylen Warren 13 yard rush (Chris Boswell kick),17,17
,7:20,Steelers,Najee Harris 3 yard rush (Chris Boswell kick),24,17
