Quarter,Time,Tm,Detail,SEA,TAM
1.0,2:24,Seahawks,Josh Brown 44 yard field goal,3,0
2.0,14:25,Seahawks,Koren Robinson 27 yard pass from Matt Hasselbeck (Josh Brown kick),10,0
,0:49,Buccaneers,Martin Gramatica 24 yard field goal,10,3
4.0,4:35,Buccaneers,Martin Gramatica 27 yard field goal,10,6
