Quarter,Time,Down,ToGo,Location,SEA,TAM,Detail,EPB,EPA
2,9:52,1,10,TAM 48,10,0,Jamel White up the middle for -1 yards (tackle by Isaiah Kacyvenski),2.130,1.450
2,9:13,2,11,TAM 47,10,0,Chris Simms pass incomplete intended for Michael Clayton (defended by Rocky Bernard),1.450,0.760
2,9:07,3,11,TAM 47,10,0,"Penalty on Charles Lee: False Start, 5 yards (no play)",0.760,0.100
2,9:02,3,16,TAM 42,10,0,Chris Simms pass incomplete intended for Charles Lee,0.100,-0.590
2,8:59,4,16,TAM 42,10,0,"Josh Bidwell punts 39 yards, fair catch by Bobby Engram",-0.590,-0.150
2,8:51,1,10,SEA 19,10,0,Matt Hasselbeck pass complete to Jerramy Stevens for 16 yards (tackle by Dwight Smith),0.150,1.270
2,8:31,1,10,SEA 35,10,0,Shaun Alexander right guard for -1 yards (tackle by Derrick Brooks and Greg Spires),1.270,0.590
2,7:50,2,11,SEA 34,10,0,Matt Hasselbeck pass incomplete intended for Bobby Engram. Penalty on Maurice Morris: Illegal Motion (Declined),0.590,-0.100
2,7:46,3,11,SEA 34,10,0,Matt Hasselbeck sacked by Greg Spires for -6 yards,-0.100,-1.500
2,7:23,4,17,SEA 28,10,0,"Tom Rouen punts 49 yards, fair catch by Tim Brown",-1.500,-0.480
2,7:15,1,10,TAM 23,10,0,Chris Simms pass complete to Michael Clayton for 7 yards (tackle by Marcus Trufant),0.480,0.880
2,6:40,2,3,TAM 30,10,0,Chris Simms pass complete to Ken Dilger for 12 yards (tackle by Marcus Trufant),0.880,1.730
2,5:58,1,10,TAM 42,10,0,Chris Simms pass complete to Rickey Dudley for 17 yards (tackle by Ken Hamlin),1.730,2.850
2,5:16,1,10,SEA 41,10,0,Charlie Garner up the middle for 6 yards (tackle by Tracy White),2.850,3.120
2,4:39,2,4,SEA 35,10,0,Charlie Garner left tackle for 3 yards (tackle by Marcus Trufant and Anthony Simmons),3.120,2.810
2,4:01,,,,10,0,Timeout #1 by Tampa Bay Buccaneers,0.000,2.810
2,4:01,3,1,SEA 32,10,0,Chris Simms pass complete to Bill Schroeder for 4 yards (tackle by Anthony Simmons),2.810,3.710
2,3:20,1,10,SEA 28,10,0,Chris Simms pass complete to Charlie Garner for 7 yards (tackle by Tracy White),3.710,4.110
2,3:13,2,3,SEA 21,10,0,Charlie Garner up the middle for 6 yards (tackle by Tracy White and Orlando Huff),4.110,4.580
2,2:34,1,10,SEA 15,10,0,Chris Simms pass incomplete intended for Mike Alstott,4.580,3.950
2,2:27,2,10,SEA 15,10,0,Chris Simms right end for 12 yards (tackle by Marcus Trufant and Cedric Woodard),3.950,6.510
2,2:00,1,3,SEA 3,10,0,Mike Alstott right guard for 1 yard (tackle by Tracy White),6.510,5.720
2,1:13,2,2,SEA 2,10,0,Chris Simms pass complete to Jamel White for 1 yard (tackle by Terreal Bierria),5.720,5.170
2,1:05,3,1,SEA 1,10,0,"Chris Simms for -5 yards. Chris Simms fumbles, recovered by Chris Simms at SEA-6",5.170,2.990
2,0:54,4,6,SEA 6,10,3,Martin Gramatica 24 yard field goal good,2.990,3.000
2,,,,TAM 30,10,3,"Martin Gramatica kicks off 62 yards, returned by Maurice Morris for 20 yards (tackle by Jeff Gooch)",0.000,0.810
2,0:42,1,10,SEA 28,10,3,Matt Hasselbeck pass complete to Darrell Jackson for 10 yards (tackle by Jermaine Phillips),0.810,1.470
2,0:25,1,10,SEA 38,10,3,Matt Hasselbeck pass complete to Maurice Morris for 2 yards (tackle by Brian Kelly),1.470,1.190
2,0:19,2,8,SEA 40,10,3,Matt Hasselbeck pass incomplete intended for Maurice Morris,1.190,0.500
2,0:14,3,8,SEA 40,10,3,Matt Hasselbeck pass incomplete intended for Bobby Engram,0.500,-0.720
2,0:09,4,8,SEA 40,10,3,"Tom Rouen punts 60 yards, touchback",-0.720,1.600
Quarter,Time,Down,ToGo,Location,SEA,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 30,10,3,"Josh Brown kicks off 63 yards, returned by Frank Murphy for 22 yards (tackle by Alex Bannister)",0.000,0.870
3,14:54,1,10,TAM 29,10,3,Chris Simms pass incomplete intended for Tim Brown (defended by Anthony Simmons),0.870,0.330
3,14:47,2,10,TAM 29,10,3,Chris Simms pass complete to Charlie Garner for 2 yards (tackle by Terreal Bierria),0.330,-0.100
3,14:25,3,8,TAM 31,10,3,Chris Simms pass complete to Charlie Garner for 4 yards (tackle by Michael Boulware),-0.100,-1.040
3,14:19,4,4,TAM 35,10,3,"Josh Bidwell punts 49 yards, returned by Bobby Engram for 6 yards (tackle by Jeff Gooch)",-1.040,-0.410
3,14:05,1,10,SEA 22,10,3,"Matt Hasselbeck pass incomplete intended for Darrell Jackson. Penalty on Maurice Morris: Illegal Motion (Declined), Penalty on Darrell Jackson: Illegal Touch Pass (Declined)",0.410,-0.130
3,13:57,2,10,SEA 22,10,3,Matt Hasselbeck pass incomplete intended for Darrell Jackson (defended by Brian Kelly),-0.130,-0.820
3,13:54,3,10,SEA 22,10,3,"Matt Hasselbeck pass complete to Darrell Jackson for 13 yards (tackle by Derrick Brooks). Penalty on Chris Terry: Illegal Formation, 5 yards (no play)",-0.820,-1.680
3,13:20,3,15,SEA 17,10,3,Mack Strong up the middle for 8 yards (tackle by Greg Spires and Derrick Brooks),-1.680,-1.700
3,12:50,4,7,SEA 25,10,3,"Tom Rouen punts 48 yards, returned by Tim Brown for 7 yards (tackle by Jean-Phillipe Darche)",-1.700,-1.200
3,12:37,1,10,TAM 34,10,3,Charlie Garner right guard for no gain (tackle by Grant Wistrom),1.200,0.660
3,12:05,2,10,TAM 34,10,3,Chris Simms sacked by Orlando Huff for -10 yards,0.660,-1.350
3,11:28,3,20,TAM 24,10,3,Chris Simms pass incomplete intended for Charlie Garner,-1.350,-1.770
3,11:21,4,20,TAM 24,10,3,"Josh Bidwell punts 46 yards, fair catch by Bobby Engram",-1.770,-0.940
3,11:13,1,10,SEA 30,10,3,Shaun Alexander up the middle for 4 yards (tackle by Derrick Brooks),0.940,0.930
3,10:37,2,6,SEA 34,10,3,Matt Hasselbeck sacked by Shelton Quarles for -5 yards,0.930,-0.430
3,9:59,3,11,SEA 29,10,3,"Penalty on Chris Terry: False Start, 5 yards (no play)",-0.430,-1.090
3,9:38,3,16,SEA 24,10,3,Matt Hasselbeck pass incomplete intended for Bobby Engram,-1.090,-1.770
3,9:29,4,16,SEA 24,10,3,"Penalty on Kris Richard: Player Out of Bounds on Punt, 5 yards (no play)",-1.770,-2.140
3,9:20,4,21,SEA 19,10,3,"Tom Rouen punts 37 yards, fair catch by Tim Brown",-2.140,-1.860
3,9:10,1,10,TAM 44,10,3,Chris Simms pass complete to Charlie Garner for 5 yards (tackle by Orlando Huff),1.860,1.990
3,8:27,2,5,TAM 49,10,3,Charlie Garner right end for 4 yards (tackle by Orlando Huff and Marcus Trufant),1.990,1.820
3,7:40,3,1,SEA 47,10,3,"Chris Simms sacked by Grant Wistrom for -1 yards. Chris Simms fumbles (forced by Grant Wistrom), recovered by Rashad Moore at SEA-41 (tackle by Jamel White)",1.820,-1.660
3,7:28,1,10,SEA 41,10,3,Shaun Alexander up the middle for 5 yards (tackle by Derrick Brooks and Shelton Quarles),1.660,1.800
3,6:58,2,5,SEA 46,10,3,Shaun Alexander up the middle for 1 yard (tackle by Jermaine Phillips),1.800,1.220
3,6:18,3,4,SEA 47,10,3,Matt Hasselbeck pass incomplete intended for Mack Strong,1.220,-0.260
3,6:14,4,4,SEA 47,10,3,Tom Rouen punts 49 yards,-0.260,0.380
3,6:03,1,10,TAM 4,10,3,Chris Simms pass incomplete intended for Charles Lee,-0.380,-0.780
3,5:56,2,10,TAM 4,10,3,Charlie Garner left end for 1 yard (tackle by Rashad Moore and Isaiah Kacyvenski),-0.780,-1.300
3,5:13,3,9,TAM 5,10,3,Chris Simms up the middle for 5 yards (tackle by Anthony Simmons),-1.300,-2.490
3,4:34,4,4,TAM 10,10,3,"Josh Bidwell punts 46 yards, returned by Bobby Engram for 9 yards (tackle by Ryan Nece)",-2.490,-2.460
3,4:20,1,10,TAM 47,10,3,Shaun Alexander left end for 5 yards (tackle by Shelton Quarles),2.460,2.590
3,3:47,2,5,TAM 42,10,3,Matt Hasselbeck pass incomplete intended for Darrell Jackson,2.590,1.880
3,3:40,3,5,TAM 42,10,3,Matt Hasselbeck sacked by Anthony McFarland for -3 yards,1.880,0.270
3,3:09,4,8,TAM 45,10,3,Tom Rouen punts 36 yards,0.270,0.380
3,2:54,1,10,TAM 9,10,3,Chris Simms pass complete to Charlie Garner for 4 yards (tackle by Orlando Huff),-0.380,-0.480
3,2:12,2,6,TAM 13,10,3,Chris Simms for 1 yard (tackle by Anthony Simmons),-0.480,-0.840
3,1:38,3,5,TAM 14,10,3,Chris Simms pass complete to Michael Clayton for 10 yards (tackle by Marcus Trufant),-0.840,0.540
3,0:59,1,10,TAM 24,10,3,Jamel White up the middle for 2 yards (tackle by Rocky Bernard),0.540,0.270
3,0:21,2,8,TAM 26,10,3,Chris Simms pass complete to Tim Brown for 14 yards (tackle by Marcus Trufant),0.270,1.600
Quarter,Time,Down,ToGo,Location,SEA,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TAM 40,10,3,Chris Simms pass incomplete intended for Mike Alstott,1.600,1.050
4,14:54,2,10,TAM 40,10,3,Chris Simms pass complete to Tim Brown for 7 yards (tackle by Ken Lucas),1.050,1.290
4,14:26,3,3,TAM 47,10,3,Chris Simms sacked by Antonio Cochran for -4 yards,1.290,-0.520
4,13:52,4,7,TAM 43,10,3,"Josh Bidwell punts 45 yards, fair catch by Bobby Engram",-0.520,0.350
4,13:45,1,10,SEA 12,10,3,Matt Hasselbeck pass complete to Bobby Engram for 13 yards (tackle by Dwight Smith),-0.350,0.610
4,13:10,1,10,SEA 25,10,3,Matt Hasselbeck pass incomplete intended for Darrell Jackson,0.610,0.060
4,13:04,2,10,SEA 25,10,3,Matt Hasselbeck pass complete to Koren Robinson for 12 yards (tackle by Brian Kelly),0.060,1.400
4,12:29,1,10,SEA 37,10,3,Shaun Alexander right guard for 6 yards (tackle by Jermaine Phillips),1.400,1.670
4,11:54,2,4,SEA 43,10,3,Shaun Alexander left end for -1 yards (tackle by Ronde Barber),1.670,0.830
4,11:08,,,,10,3,Timeout #1 by Seattle Seahawks,0.000,0.830
4,11:08,3,5,SEA 42,10,3,Matt Hasselbeck sacked by Anthony McFarland for -7 yards,0.830,-1.040
4,10:37,4,12,SEA 35,10,3,"Tom Rouen punts 53 yards, returned by Tim Brown for 8 yards (tackle by Heath Evans)",-1.040,-0.280
4,10:25,1,10,TAM 20,10,3,Chris Simms pass complete to Michael Clayton for 4 yards (tackle by Ken Lucas),0.280,0.270
4,9:59,2,6,TAM 24,10,3,Charlie Garner up the middle for 4 yards (tackle by Grant Wistrom),0.270,0.100
4,9:25,3,2,TAM 28,10,3,Chris Simms pass complete to Michael Clayton for 14 yards (tackle by Ken Lucas),0.100,1.730
4,8:38,1,10,TAM 42,10,3,Chris Simms pass complete to Michael Clayton for 6 yards (tackle by Orlando Huff),1.730,2.000
4,8:00,2,4,TAM 48,10,3,Chris Simms pass incomplete intended for Bill Schroeder,2.000,1.290
4,7:50,,,,10,3,Timeout #1 by Tampa Bay Buccaneers,0.000,1.290
4,7:50,3,4,TAM 48,10,3,Chris Simms pass complete to Mike Alstott for 6 yards (tackle by Ken Hamlin),1.290,2.520
4,7:24,1,10,SEA 46,10,3,Mike Alstott right end for 5 yards (tackle by Anthony Simmons),2.520,2.650
4,6:58,2,5,SEA 41,10,3,Chris Simms pass complete to Charles Lee for 35 yards (tackle by Ken Lucas),2.650,5.830
4,6:10,1,6,SEA 6,10,3,Chris Simms pass incomplete intended for Tim Brown,5.830,4.950
4,6:01,2,6,SEA 6,10,3,Chris Simms sacked by Rocky Bernard for -5 yards,4.950,3.120
4,5:24,3,11,SEA 11,10,3,Chris Simms pass complete to Charlie Garner for 2 yards (tackle by Orlando Huff),3.120,2.830
4,4:40,4,9,SEA 9,10,6,Martin Gramatica 27 yard field goal good,2.830,3.000
4,,,,TAM 30,10,6,"Martin Gramatica kicks off 70 yards, returned by Maurice Morris for 30 yards (tackle by Mario Edwards)",,
4,4:30,1,10,SEA 30,10,6,Shaun Alexander up the middle for 1 yard (tackle by Greg Spires and Chartric Darby),0.940,0.530
4,3:46,2,9,SEA 31,10,6,Matt Hasselbeck pass complete to Darrell Jackson for 8 yards (tackle by Derrick Brooks),0.530,0.890
4,2:56,,,,10,6,Timeout #2 by Seattle Seahawks,0.000,0.890
4,2:56,3,1,SEA 39,10,6,Shaun Alexander up the middle for no gain (tackle by Chartric Darby and Jermaine Phillips),0.890,-0.780
4,2:39,4,1,SEA 39,10,6,"Tom Rouen punts 49 yards, fair catch by Tim Brown",-0.780,0.350
4,2:31,1,10,TAM 12,10,6,Charlie Garner up the middle for 9 yards (tackle by Anthony Simmons and Antonio Cochran),-0.350,0.420
4,2:09,2,1,TAM 21,10,6,Chris Simms pass complete to Tim Brown for 9 yards (tackle by Ken Hamlin),0.420,0.940
4,2:00,1,10,TAM 30,10,6,"Chris Simms pass incomplete. Penalty on Chike Okeafor: Roughing the Passer, 15 yards (no play)",0.940,1.930
4,1:53,1,10,TAM 45,10,6,"Chris Simms pass incomplete intended for Rickey Dudley (defended by Grant Wistrom). Penalty on Grant Wistrom: Defensive Pass Interference, 9 yards (no play)",1.930,2.520
4,1:49,1,10,SEA 46,10,6,Chris Simms pass incomplete intended for Bill Schroeder (defended by Rocky Bernard),2.520,1.980
4,1:44,2,10,SEA 46,10,6,"Chris Simms pass incomplete intended for Bill Schroeder is intercepted by Marcus Trufant at SEA-35. Penalty on Chike Okeafor: Roughing the Passer, 15 yards (no play)",1.980,3.510
4,1:34,1,10,SEA 31,10,6,Chris Simms pass complete to Tim Brown for 5 yards (tackle by Ken Lucas),3.510,3.640
4,1:11,2,5,SEA 26,10,6,Chris Simms pass incomplete is intercepted by Michael Boulware at SEA-15 and returned for 6 yards (tackle by Charles Lee),3.640,-0.340
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,1:03,1,10,SEA 21,10,6,Shaun Alexander up the middle for 2 yards (tackle by Chartric Darby),0.340,0.070
4,0:57,,,,10,6,Timeout #2 by Tampa Bay Buccaneers,0.000,0.070
4,0:57,2,8,SEA 23,10,6,Matt Hasselbeck sacked by Jermaine Phillips for -2 yards,0.070,-0.890
4,0:49,,,,10,6,Timeout #3 by Tampa Bay Buccaneers,0.000,-0.890
4,0:49,3,10,SEA 21,10,6,Shaun Alexander up the middle for 4 yards (tackle by Ian Gold),-0.890,-1.700
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
