Quarter,Time,Tm,Detail,HOU,IND
1.0,9:00,Colts,Mike Vanderjagt 31 yard field goal,0,3
,8:47,Colts,Marcus Pollard 16 yard pass from Peyton Manning (Mike Vanderjagt kick),0,10
2.0,11:47,Colts,Mike Vanderjagt 46 yard field goal,0,13
4.0,8:11,Colts,James Mungro 1 yard rush (run failed),0,19
,3:45,Texans,Kris Brown 34 yard field goal,3,19
