Unnamed: 0,HOU,IND
First Downs,10,13
Rush-Yds-TDs,20-65-0,32-88-1
Cmp-Att-Yd-TD-INT,20-35-137-0-0,15-28-190-1-0
Sacked-Yards,6-37,0-0
Net Pass Yards,100,190
Total Yards,165,278
Fumbles-Lost,3-2,3-1
Turnovers,2,1
Penalties-Yards,14-92,9-75
Third Down Conv.,2-15,4-15
Fourth Down Conv.,0-1,0-0
Time of Possession,27:52,32:08
