Unnamed: 0,ATL,TAM
First Downs,20,19
Rush-Yds-TDs,27-85-1,29-151-1
Cmp-Att-Yd-TD-INT,18-36-205-2-2,20-39-183-2-1
Sacked-Yards,0-0,1-9
Net Pass Yards,205,174
Total Yards,290,325
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,6-55,9-102
Third Down Conv.,6-11,5-15
Fourth Down Conv.,0-0,1-1
Time of Possession,28:00,32:00
