Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Connor Barth kicks off 57 yards, returned by Brian Finneran for 18 yards (tackle by Erik Lorig)",0.000,1.000
1,14:55,1,10,ATL 31,0,0,Michael Turner right tackle for 5 yards (tackle by Sean Jones),1.000,1.140
1,14:15,2,5,ATL 36,0,0,Matt Ryan pass complete short left to Roddy White for 4 yards (tackle by Aqib Talib),1.140,0.960
1,13:40,3,1,ATL 40,0,0,Michael Turner left tackle for 1 yard (tackle by Aqib Talib and Sean Jones),0.960,1.660
1,12:52,1,10,ATL 41,0,0,Michael Turner right end for 8 yards (tackle by Quincy Black and Corey Lynch),1.660,2.200
1,12:11,2,2,ATL 49,0,0,Michael Turner right end for 10 yards (tackle by Corey Lynch),2.200,2.850
1,11:37,1,10,TAM 41,0,0,Matt Ryan pass incomplete short middle intended for Roddy White,2.850,2.310
1,11:30,,,,0,0,Timeout #1 by Tampa Bay Buccaneers,0.000,2.310
1,11:30,2,10,TAM 41,0,0,Matt Ryan pass incomplete short left intended for Gartrell Johnson,2.310,1.620
1,11:23,,,,0,0,Timeout #2 by Tampa Bay Buccaneers,0.000,1.620
1,11:23,3,10,TAM 41,0,0,Matt Ryan pass incomplete short right intended for Roddy White (defended by Aqib Talib),1.620,0.530
1,11:18,4,10,TAM 41,0,0,"Michael Koenen punts 31 yards, fair catch by Micheal Spurlock",0.530,0.380
1,11:10,1,10,TAM 10,0,0,LeGarrette Blount middle for no gain (tackle by Mike Peterson),-0.380,-0.780
1,10:37,2,10,TAM 10,0,0,Josh Freeman pass incomplete short right intended for Mike Williams,-0.780,-1.420
1,10:28,3,10,TAM 10,0,0,"Penalty on John Abraham: Neutral Zone Infraction, 5 yards (no play)",-1.420,-0.840
1,10:28,3,5,TAM 15,0,0,Josh Freeman left end for 1 yard (tackle by Peria Jerry and Curtis Lofton),-0.840,-2.390
1,9:49,4,4,TAM 16,0,0,"Robert Malone punts 46 yards, returned by Eric Weems for 10 yards (tackle by Niko Koutouvides)",-2.390,-2.130
1,9:39,1,10,ATL 48,0,0,Michael Turner right guard for 7 yards (tackle by Quincy Black),2.130,2.530
1,9:05,2,3,TAM 45,0,0,Michael Turner left guard for 10 yards (tackle by Sean Jones),2.530,3.250
1,8:29,1,10,TAM 35,0,0,Matt Ryan pass complete short left to Tony Gonzalez for 14 yards (tackle by Geno Hayes),3.250,4.170
1,7:49,1,10,TAM 21,0,0,Michael Turner left end for -1 yards (tackle by Geno Hayes and Barrett Ruud),4.170,3.490
1,7:07,2,11,TAM 22,0,0,Matt Ryan pass complete short middle to Tony Gonzalez for 17 yards (tackle by Quincy Black),3.490,6.060
1,6:29,1,5,TAM 5,6,0,"Michael Turner left guard for 5 yards, touchdown",6.060,7.000
1,,,,TAM 2,7,0,Matt Bryant kicks extra point good,0.000,0.000
1,,,,ATL 30,7,0,"Michael Koenen kicks off 69 yards, returned by Micheal Spurlock for 13 yards (tackle by Spencer Adkins)",0.000,-0.280
1,6:17,1,10,TAM 14,7,0,Josh Freeman pass incomplete short right intended for Arrelious Benn,-0.280,-0.750
1,6:12,2,10,TAM 14,7,0,LeGarrette Blount right guard for 8 yards (tackle by William Moore and Brent Grimes),-0.750,-0.440
1,5:33,3,2,TAM 22,7,0,Sammie Stroughter right end for 2 yards (tackle by Brent Grimes),-0.440,0.540
1,4:44,1,10,TAM 24,7,0,Josh Freeman pass complete short left to Ryan Purvis for 10 yards (tackle by Curtis Lofton),0.540,1.200
1,4:22,1,10,TAM 34,7,0,LeGarrette Blount middle for 3 yards (tackle by Stephen Nicholas and Mike Peterson),1.200,1.060
1,3:48,2,7,TAM 37,7,0,Josh Freeman left end for 17 yards (tackle by Thomas DeCoud),1.060,2.520
1,2:59,1,10,ATL 46,7,0,Arrelious Benn left end for 3 yards (tackle by Dunta Robinson),2.520,2.380
1,2:35,2,7,ATL 43,7,0,Josh Freeman pass complete short middle to Mike Williams for 11 yards (tackle by Thomas DeCoud),2.380,3.450
1,1:55,1,10,ATL 32,7,0,LeGarrette Blount left end for 6 yards (tackle by Curtis Lofton),3.450,3.710
1,1:14,2,4,ATL 26,7,0,LeGarrette Blount right guard for 20 yards (tackle by Brent Grimes),3.710,5.830
1,0:31,1,6,ATL 6,7,6,"LeGarrette Blount middle for 6 yards, touchdown",5.830,7.000
1,,,,ATL 2,7,7,Connor Barth kicks extra point good,0.000,0.000
1,,,,TAM 30,7,7,"Connor Barth kicks off 67 yards, returned by Eric Weems for 25 yards (tackle by Corey Lynch)",0.000,0.810
1,0:18,1,10,ATL 28,7,7,Michael Turner left end for 3 yards (tackle by Sean Jones),0.810,0.670
Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,ATL 31,7,7,Michael Turner middle for -1 yards (tackle by Michael Bennett and Roy Miller),0.670,-0.160
2,15:00,3,8,ATL 30,7,7,"Penalty on Harvey Dahl: False Start, 5 yards (no play)",-0.160,-0.820
2,14:02,3,13,ATL 25,7,7,Matt Ryan pass incomplete deep right intended for Michael Jenkins,-0.820,-1.700
2,13:55,4,13,ATL 25,7,7,"Michael Koenen punts 34 yards, fair catch by Micheal Spurlock",-1.700,-1.660
2,13:47,1,10,TAM 41,7,7,Josh Freeman pass complete short middle to John Gilmore for 4 yards (tackle by Mike Peterson),1.660,1.660
2,13:10,2,6,TAM 45,7,7,Cadillac Williams middle for 4 yards (tackle by Stephen Nicholas and William Moore),1.660,1.490
2,12:28,3,2,TAM 49,7,7,Josh Freeman pass incomplete deep right intended for Cadillac Williams,1.490,-0.130
2,12:19,4,2,TAM 49,7,7,"Robert Malone punts 38 yards, fair catch by Eric Weems",-0.130,0.320
2,12:11,1,10,ATL 13,7,7,Matt Ryan pass incomplete short left intended for Tony Gonzalez (defended by Ronde Barber),-0.320,-0.770
2,12:05,2,10,ATL 13,7,7,Michael Turner for -1 yards (tackle by Barrett Ruud),-0.770,-1.540
2,11:44,3,11,ATL 12,7,7,Matt Ryan pass complete deep left to Roddy White for 17 yards (tackle by E.J. Biggers),-1.540,0.870
