Quarter,Time,Down,ToGo,Location,BUF,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 68 yards, returned by Brian Mitchell for 20 yards (tackle by Dominique Stevenson). Penalty on Terrence McGee: Offside on Free Kick, 5 yards (no play)",0.000,0.000
1,,,,BUF 25,0,0,"Rian Lindell kicks off 57 yards, returned by Nick Greisen for 13 yards (tackle by Joe Burns)",0.000,1.000
1,14:47,1,10,NYG 31,0,0,Tiki Barber left tackle for 1 yard (tackle by London Fletcher and Antoine Winfield),1.000,0.600
1,14:15,2,9,NYG 32,0,0,Kerry Collins pass incomplete intended for Amani Toomer,0.600,-0.100
1,14:08,3,9,NYG 32,0,0,Kerry Collins pass complete to Ike Hilliard for 11 yards (tackle by Izell Reese),-0.100,1.800
1,13:41,1,10,NYG 43,0,0,"Tiki Barber right end for 4 yards (tackle by Terrence McGee). Penalty on Terrence McGee: Face Mask (5 Yards), 5 yards",1.800,3.110
1,13:23,1,1,BUF 48,0,0,Tiki Barber left end for no gain (tackle by Lawyer Milloy and Pat Williams),3.110,2.470
1,12:48,2,1,BUF 48,0,0,Tiki Barber left tackle for 5 yards (tackle by Izell Reese),2.470,2.720
1,12:27,1,10,BUF 43,0,0,Kerry Collins pass complete to Marcellus Rivers for 13 yards (tackle by Izell Reese),2.720,3.580
1,11:58,1,10,BUF 30,0,0,Kerry Collins pass complete to Jim Finn for 4 yards (tackle by Aaron Schobel),3.580,3.570
1,11:32,2,6,BUF 26,0,0,Kerry Collins sacked by London Fletcher and Ryan Denney for -1 yards,3.570,2.740
1,11:00,3,7,BUF 27,0,0,"Kerry Collins sacked by Takeo Spikes for -7 yards. Kerry Collins fumbles (forced by Takeo Spikes), recovered by Kerry Collins at BUF-34",2.740,1.060
1,10:47,4,14,BUF 34,0,0,"Jeff Feagles punts 23 yards, returned by Nate Clements for 7 yards (tackle by David Tyree). Penalty on Carson Dach: Face Mask (15 Yards), 15 yards",1.060,-1.140
1,10:40,1,10,BUF 33,0,0,Travis Henry left guard for 3 yards (tackle by Cornelius Griffin and Keith Washington),1.140,1.000
1,10:06,2,7,BUF 36,0,0,Drew Bledsoe pass complete to Josh Reed for 8 yards (tackle by Frank Walker),1.000,1.860
1,9:44,1,10,BUF 44,0,0,Travis Henry left end for 2 yards (tackle by Cornelius Griffin),1.860,1.590
1,9:03,2,8,BUF 46,0,0,Travis Henry left guard for -1 yards (tackle by Dhani Jones and Keith Hamilton),1.590,0.760
1,8:26,3,9,BUF 45,0,0,Drew Bledsoe pass incomplete intended for Eric Moulds,0.760,-0.390
1,8:18,4,9,BUF 45,0,0,Brian Moorman punts 50 yards,-0.390,0.380
1,8:09,1,10,NYG 5,0,0,Kerry Collins pass complete to Marcellus Rivers for 9 yards (tackle by Takeo Spikes),-0.380,-0.100
1,7:40,2,1,NYG 14,0,0,Kerry Collins pass complete to Ike Hilliard for 7 yards (tackle by Antoine Winfield),-0.100,0.340
1,7:03,1,10,NYG 21,0,0,Kerry Collins pass complete to Tiki Barber for 4 yards (tackle by Takeo Spikes),0.340,0.340
1,6:26,2,6,NYG 25,0,0,Tiki Barber left guard for 4 yards (tackle by Ryan Denney),0.340,0.170
1,5:57,3,2,NYG 29,0,0,Kerry Collins pass complete to Ike Hilliard for 8 yards (tackle by Lawyer Milloy),0.170,1.400
1,5:39,1,10,NYG 37,0,0,Kerry Collins pass incomplete intended for Darnell Dinkins (defended by Lawyer Milloy),1.400,0.860
1,5:25,2,10,NYG 37,0,0,Tiki Barber left tackle for -4 yards (tackle by Aaron Schobel),0.860,-0.360
1,4:50,3,14,NYG 33,0,0,Kerry Collins pass incomplete intended for Tim Carter,-0.360,-1.180
1,4:39,4,14,NYG 33,0,0,Jeff Feagles punts 42 yards,-1.180,-0.610
1,4:30,1,10,BUF 25,0,0,Travis Henry right guard for 3 yards (tackle by Dhani Jones and Michael Strahan),0.610,0.470
1,4:00,2,7,BUF 28,0,0,Drew Bledsoe pass complete to Dave Moore for 3 yards (tackle by Omar Stoutmire),0.470,0.170
1,3:29,3,4,BUF 31,0,0,Drew Bledsoe pass incomplete intended for Joe Burns,0.170,-1.310
1,3:09,4,4,BUF 31,0,0,"Brian Moorman punts 45 yards, returned by Brian Mitchell for 7 yards (tackle by Dominique Stevenson)",-1.310,-1.000
1,2:58,1,10,NYG 31,0,0,Tiki Barber left end for 7 yards (tackle by Izell Reese),1.000,1.410
