Unnamed: 0,BUF,NYG
First Downs,23,10
Rush-Yds-TDs,36-151-1,13-24-0
Cmp-Att-Yd-TD-INT,21-34-275-2-0,17-35-233-1-0
Sacked-Yards,4-23,6-35
Net Pass Yards,252,198
Total Yards,403,222
Fumbles-Lost,2-0,2-1
Turnovers,0,1
Penalties-Yards,8-60,5-58
Third Down Conv.,5-14,4-14
Fourth Down Conv.,1-1,0-1
Time of Possession,39:07,20:53
