Unnamed: 0,GNB,DET
First Downs,17,18
Rush-Yds-TDs,27-103-0,23-51-1
Cmp-Att-Yd-TD-INT,20-32-193-1-2,20-29-323-3-0
Sacked-Yards,4-40,2-18
Net Pass Yards,153,305
Total Yards,256,356
Fumbles-Lost,2-2,1-0
Turnovers,4,0
Penalties-Yards,8-68,5-62
Third Down Conv.,4-14,4-12
Fourth Down Conv.,1-2,0-0
Time of Possession,31:47,28:13
