Unnamed: 0,NYG,DAL
First Downs,18,27
Rush-Yds-TDs,24-99-1,23-80-0
Cmp-Att-Yd-TD-INT,20-36-189-0-0,36-45-356-3-2
Sacked-Yards,1-3,0-0
Net Pass Yards,186,356
Total Yards,285,436
Fumbles-Lost,0-0,3-1
Turnovers,0,3
Penalties-Yards,5-44,3-35
Third Down Conv.,6-14,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,22:50,37:10
