Quarter,Time,Tm,Detail,NYG,DAL
1.0,4:33,Cowboys,Dan Bailey 21 yard field goal,0,3
,1:58,Giants,Josh Brown 50 yard field goal,3,3
2.0,5:31,Cowboys,Dan Bailey 32 yard field goal,3,6
,0:56,Giants,Dominique Rodgers-Cromartie 57 yard defensive fumble return (Josh Brown kick),10,6
,0:14,Giants,Josh Brown 40 yard field goal,13,6
3.0,9:48,Giants,Josh Brown 30 yard field goal,16,6
,4:01,Cowboys,Gavin Escobar 2 yard pass from Tony Romo (Dan Bailey kick),16,13
4.0,8:01,Giants,Rashad Jennings 1 yard rush (Josh Brown kick),23,13
,5:08,Cowboys,Jason Witten 1 yard pass from Tony Romo (Dan Bailey kick),23,20
,1:34,Giants,Josh Brown 19 yard field goal,26,20
,0:07,Cowboys,Jason Witten 11 yard pass from Tony Romo (Dan Bailey kick),26,27
