Quarter,Time,Tm,Detail,SEA,SFO
1.0,10:13,49ers,Robbie Gould 34 yard field goal,0,3
,5:11,49ers,Christian McCaffrey 3 yard pass from Brock Purdy (Robbie Gould kick),0,10
2.0,13:14,Seahawks,Kenneth Walker III 7 yard rush (Jason Myers kick),7,10
,7:41,49ers,Robbie Gould 33 yard field goal,7,13
,5:01,Seahawks,D.K. Metcalf 50 yard pass from Geno Smith (Jason Myers kick),14,13
,0:13,49ers,Robbie Gould 46 yard field goal,14,16
,0:00,Seahawks,Jason Myers 56 yard field goal,17,16
3.0,7:15,49ers,Brock Purdy 1 yard rush (Robbie Gould kick),17,23
4.0,14:02,49ers,Elijah Mitchell 7 yard pass from Brock Purdy (George Kittle pass from Brock Purdy),17,31
,10:51,49ers,Deebo Samuel 74 yard pass from Brock Purdy (Robbie Gould kick),17,38
,4:56,49ers,Robbie Gould 31 yard field goal,17,41
,1:48,Seahawks,D.K. Metcalf 3 yard pass from Geno Smith (pass failed),23,41
