Unnamed: 0,NWE,BUF
First Downs,30,14
Rush-Yds-TDs,29-127-2,19-78-0
Cmp-Att-Yd-TD-INT,33-41-383-5-0,15-26-173-1-1
Sacked-Yards,0-0,4-22
Net Pass Yards,383,151
Total Yards,510,229
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,4-37,5-34
Third Down Conv.,8-11,4-10
Fourth Down Conv.,2-2,0-0
Time of Possession,34:54,25:06
