Quarter,Time,Tm,Detail,NWE,BUF
1.0,12:17,Patriots,Laurence Maroney 6 yard rush (Stephen Gostkowski kick),7,0
,8:04,Patriots,Randy Moss 43 yard pass from Tom Brady (Stephen Gostkowski kick),14,0
,3:38,Bills,Roscoe Parrish 47 yard pass from J.P. Losman (Rian Lindell kick),14,7
2.0,14:53,Patriots,Randy Moss 16 yard pass from Tom Brady (Stephen Gostkowski kick),21,7
,6:33,Patriots,Randy Moss 6 yard pass from Tom Brady (Stephen Gostkowski kick),28,7
,0:10,Patriots,Randy Moss 17 yard pass from Tom Brady (Stephen Gostkowski kick),35,7
3.0,8:49,Patriots,Ben Watson 3 yard pass from Tom Brady (Stephen Gostkowski kick),42,7
,6:02,Bills,Rian Lindell 52 yard field goal,42,10
4.0,14:55,Patriots,Kyle Eckel 1 yard rush (Stephen Gostkowski kick),49,10
,13:59,Patriots,Ellis Hobbs 35 yard defensive fumble return (Stephen Gostkowski kick),56,10
