Unnamed: 0,SEA,ARI
First Downs,23,17
Rush-Yds-TDs,34-267-3,15-29-0
Cmp-Att-Yd-TD-INT,21-32-339-2-0,18-45-216-0-1
Sacked-Yards,1-10,4-29
Net Pass Yards,329,187
Total Yards,596,216
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,11-97,1-5
Third Down Conv.,5-12,3-15
Fourth Down Conv.,0-0,1-1
Time of Possession,33:03,26:57
