Unnamed: 0,TAM,NOR
First Downs,14,21
Rush-Yds-TDs,25-87-0,32-151-1
Cmp-Att-Yd-TD-INT,15-28-135-1-0,22-27-263-2-0
Sacked-Yards,4-22,1-7
Net Pass Yards,113,256
Total Yards,200,407
Fumbles-Lost,1-1,4-2
Turnovers,1,2
Penalties-Yards,7-50,4-28
Third Down Conv.,4-13,7-13
Fourth Down Conv.,0-0,0-0
Time of Possession,27:42,32:18
