Unnamed: 0,WAS,DAL
First Downs,20,17
Rush-Yds-TDs,22-65-0,26-125-0
Cmp-Att-Yd-TD-INT,22-37-250-1-1,22-36-255-0-1
Sacked-Yards,3-17,1-5
Net Pass Yards,233,250
Total Yards,298,375
Fumbles-Lost,1-1,6-1
Turnovers,2,2
Penalties-Yards,4-35,6-55
Third Down Conv.,3-12,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:24,31:36
