Quarter,Time,Tm,Detail,WAS,DAL
1.0,10:06,Redskins,Graham Gano 46 yard field goal,3,0
,5:34,Cowboys,Dan Bailey 41 yard field goal,3,3
,0:21,Redskins,Graham Gano 27 yard field goal,6,3
2.0,12:20,Cowboys,Dan Bailey 27 yard field goal,6,6
,2:25,Cowboys,Dan Bailey 32 yard field goal,6,9
,0:00,Redskins,Graham Gano 50 yard field goal,9,9
3.0,4:00,Redskins,Tim Hightower 1 yard pass from Rex Grossman (Graham Gano kick),16,9
,0:19,Cowboys,Dan Bailey 41 yard field goal,16,12
4.0,6:58,Cowboys,Dan Bailey 23 yard field goal,16,15
,1:47,Cowboys,Dan Bailey 40 yard field goal,16,18
