Quarter,Time,Tm,Detail,STL,TAM
1.0,9:32,Buccaneers,Martin Gramatica 39 yard field goal,0,3
,4:28,Rams,Marshall Faulk 5 yard rush (Jeff Wilkins kick),7,3
2.0,14:55,Buccaneers,Martin Gramatica 47 yard field goal,7,6
,0:57,Buccaneers,Rickey Dudley 9 yard pass from Brad Johnson (Martin Gramatica kick),7,13
4.0,10:42,Buccaneers,Mike Alstott 2 yard rush (pass failed),7,19
,4:21,Rams,Lamar Gordon 21 yard rush (Jeff Wilkins kick),14,19
,0:59,Buccaneers,Derrick Brooks 39 yard interception return (Martin Gramatica kick),14,26
