Unnamed: 0,STL,TAM
First Downs,21,14
Rush-Yds-TDs,20-89-2,16-63-1
Cmp-Att-Yd-TD-INT,30-45-301-0-4,23-32-199-1-0
Sacked-Yards,5-32,1-10
Net Pass Yards,269,189
Total Yards,358,252
Fumbles-Lost,3-0,3-1
Turnovers,4,1
Penalties-Yards,5-33,8-50
Third Down Conv.,5-13,3-11
Fourth Down Conv.,1-1,0-0
Time of Possession,34:47,25:13
