Unnamed: 0,STL,NYG
First Downs,14,22
Rush-Yds-TDs,19-59-0,38-119-1
Cmp-Att-Yd-TD-INT,22-46-331-1-0,19-30-223-2-1
Sacked-Yards,2-23,3-19
Net Pass Yards,308,204
Total Yards,367,323
Fumbles-Lost,4-2,0-0
Turnovers,2,1
Penalties-Yards,7-62,5-55
Third Down Conv.,5-17,5-15
Fourth Down Conv.,1-1,1-2
Time of Possession,25:48,34:12
