Quarter,Time,Down,ToGo,Location,STL,NYG,Detail,EPB,EPA
1,4:41,2,10,NYG 46,3,7,Cadillac Williams left end for 5 yards (tackle by Michael Boley),1.980,1.950
1,4:20,3,5,NYG 41,3,7,Sam Bradford pass complete deep right to Lance Kendricks for 26 yards,1.950,4.580
1,4:04,1,10,NYG 15,3,7,Cadillac Williams right tackle for 8 yards (tackle by Deon Grant and Michael Boley),4.580,5.410
1,3:37,2,2,NYG 7,3,7,Sam Bradford pass incomplete short left intended for Mike Sims-Walker,5.410,4.680
1,3:29,3,2,NYG 7,3,7,Sam Bradford pass incomplete short left intended for Greg Salas (defended by Aaron Ross),4.680,3.000
,,,,,,,"NYG challenged the pass completion ruling, and the original play was overturned.",,
1,3:25,4,2,NYG 7,6,7,Josh Brown 25 yard field goal good,3.000,3.000
1,,,,STL 35,6,7,"Josh Brown kicks off 70 yards, touchback",0.000,0.280
1,3:21,1,10,NYG 20,6,7,Ahmad Bradshaw left end for 2 yards (tackle by Craig Dahl),0.280,0.000
1,2:46,2,8,NYG 22,6,7,Ahmad Bradshaw right end for 5 yards (tackle by Justin King and James Laurinaitis),0.000,-0.030
1,2:04,3,3,NYG 27,6,7,Eli Manning pass incomplete short middle intended for Mario Manningham,-0.030,-1.570
1,1:56,4,3,NYG 27,6,7,Steve Weatherford punts 38 yards,-1.570,-1.270
1,1:47,1,10,STL 35,6,7,Jerious Norwood right end for -1 yards (tackle by Jason Pierre-Paul and Rocky Bernard),1.270,0.590
1,1:22,2,11,STL 34,6,7,Jerious Norwood right end for 2 yards (tackle by Kenny Phillips and Rocky Bernard),0.590,0.170
1,0:48,3,9,STL 36,6,7,Sam Bradford pass complete short middle to Michael Hoomanawanui for 8 yards (tackle by Mathias Kiwanuka and Michael Boley),0.170,-0.460
1,0:09,4,1,STL 44,6,7,Donnie Jones punts 32 yards,-0.460,-0.540
Quarter,Time,Down,ToGo,Location,STL,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 24,6,7,Brandon Jacobs left tackle for 1 yard (tackle by Craig Dahl and James Laurinaitis),0.540,0.130
2,14:20,2,9,NYG 25,6,7,Brandon Jacobs left end for 2 yards (tackle by James Laurinaitis),0.130,-0.300
2,13:38,3,7,NYG 27,6,7,Eli Manning pass incomplete short right intended for Brandon Stokley,-0.300,-1.570
2,13:29,4,7,NYG 27,6,7,"Steve Weatherford punts 49 yards, fair catch by Greg Salas",-1.570,-0.540
2,13:20,1,10,STL 24,6,7,Sam Bradford pass complete deep middle to Mike Sims-Walker for 33 yards (tackle by Kenny Phillips),0.540,2.720
2,12:47,1,10,NYG 43,6,7,Cadillac Williams left end for 9 yards (tackle by Michael Boley),2.720,3.390
2,12:21,2,1,NYG 34,6,7,Sam Bradford pass complete short left to Brandon Gibson for 7 yards (tackle by Aaron Ross),3.390,3.780
2,11:57,1,10,NYG 27,6,7,Cadillac Williams left guard for 2 yards (tackle by Antrel Rolle and Chris L. Canty),3.780,3.500
2,11:18,2,8,NYG 25,6,7,Sam Bradford pass incomplete short left intended for Lance Kendricks (defended by Chris L. Canty),3.500,2.810
2,11:11,3,8,NYG 25,6,13,"Sam Bradford for no gain. Sam Bradford fumbles, recovered by Michael Boley at NYG-35, touchdown",2.810,-7.000
2,,,,STL 2,6,14,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 35,6,14,"Lawrence Tynes kicks off 64 yards, returned by Quinn Porter for 15 yards (tackle by Dave Tollefson). Quinn Porter fumbles (forced by Dave Tollefson), recovered by Quinn Porter at STL-7",0.000,-0.380
2,10:48,1,10,STL 7,6,14,Cadillac Williams up the middle for 1 yard (tackle by Antrel Rolle and Rocky Bernard),-0.380,-0.710
2,10:19,2,9,STL 8,6,14,Sam Bradford pass incomplete short middle intended for Cadillac Williams,-0.710,-1.300
2,10:06,3,9,STL 8,6,14,Sam Bradford pass incomplete short left intended for Brandon Gibson,-1.300,-2.490
2,10:02,4,9,STL 8,6,14,"Donnie Jones punts 54 yards, returned by Domenik Hixon for 4 yards (tackle by Greg Salas)",-2.490,-1.730
2,9:51,1,10,NYG 42,6,14,Eli Manning pass incomplete deep middle intended for Mario Manningham,1.730,1.190
2,9:42,2,10,NYG 42,6,14,Ahmad Bradshaw left end for 2 yards (tackle by James Hall),1.190,0.760
2,9:07,3,8,NYG 44,6,14,"Penalty on Bear Pascoe: False Start, 5 yards (no play)",0.760,0.100
2,8:44,3,13,NYG 39,6,14,Eli Manning pass incomplete deep left intended for Hakeem Nicks,0.100,-0.780
2,8:35,4,13,NYG 39,6,14,"Steve Weatherford punts 61 yards, touchback",-0.780,-0.280
2,8:27,1,10,STL 20,6,14,Sam Bradford pass complete short right to Mike Sims-Walker for 7 yards (tackle by Corey Webster),0.280,0.680
2,8:15,2,3,STL 27,6,14,Cadillac Williams right end for 4 yards (tackle by Michael Boley),0.680,1.000
2,7:44,1,10,STL 31,6,14,Sam Bradford pass complete short left to Mike Sims-Walker for 3 yards (tackle by Antrel Rolle),1.000,0.870
2,7:22,2,7,STL 34,6,14,Cadillac Williams left end for -4 yards (tackle by Chris L. Canty),0.870,-0.360
2,6:45,3,11,STL 30,6,14,Sam Bradford pass incomplete short right intended for Mike Sims-Walker (defended by Kenny Phillips),-0.360,-1.370
2,6:37,4,11,STL 30,6,14,Donnie Jones punts 35 yards,-1.370,-1.270
2,6:29,1,10,NYG 35,6,14,Brandon Jacobs up the middle for 7 yards (tackle by Ben Leber),1.270,1.670
2,5:54,2,3,NYG 42,6,14,Eli Manning up the middle for -9 yards (tackle by Fred Robbins),1.670,-0.230
2,5:16,3,12,NYG 33,6,14,Eli Manning pass complete short middle to Ahmad Bradshaw for 8 yards (tackle by James Laurinaitis and Craig Dahl),-0.230,-0.650
2,4:44,4,4,NYG 41,6,14,"Steve Weatherford punts 51 yards, returned by Greg Salas for 29 yards (tackle by Steve Weatherford). Penalty on Michael Coe: Unsportsmanlike Conduct, 15 yards",-0.650,-2.390
2,4:20,1,10,NYG 48,6,14,Sam Bradford pass incomplete deep right intended for Mike Sims-Walker,2.390,1.850
2,4:12,2,10,NYG 48,6,14,Jerious Norwood right end for 7 yards (tackle by Justin Tuck),1.850,2.080
2,3:37,3,3,NYG 41,6,14,"Penalty on Rodger Saffold: False Start, 5 yards (no play)",2.080,1.420
2,3:14,3,8,NYG 46,6,14,Sam Bradford pass incomplete short middle intended for Brandon Gibson,1.420,0.200
2,3:04,4,8,NYG 46,6,14,"Donnie Jones punts 32 yards, fair catch by Domenik Hixon",0.200,0.280
2,2:58,1,10,NYG 14,6,14,Ahmad Bradshaw right tackle for 10 yards (tackle by James Laurinaitis and Craig Dahl),-0.280,0.540
2,2:19,1,10,NYG 24,6,14,"Ahmad Bradshaw right tackle for 5 yards (tackle by Quintin Mikell and Justin King). Penalty on David Baas: Offensive Holding, 10 yards (no play)",0.540,-0.500
2,2:00,1,20,NYG 14,6,14,"Eli Manning pass incomplete short left intended for Domenik Hixon. Penalty on Justin King: Defensive Holding, 5 yards (no play)",-0.500,0.150
2,1:55,1,10,NYG 19,6,14,Eli Manning pass complete short middle to Mario Manningham for 9 yards (tackle by Justin King),0.150,0.880
2,1:49,2,1,NYG 28,6,14,Ahmad Bradshaw left tackle for 4 yards (tackle by Robert Quinn and Darian Stewart),0.880,1.070
2,1:42,,,,6,14,Timeout #1 by New York Giants,0.000,1.070
2,1:42,1,10,NYG 32,6,14,Eli Manning pass complete short left to Ahmad Bradshaw for 4 yards (tackle by Darian Stewart),1.070,1.070
2,1:23,2,6,NYG 36,6,14,Eli Manning pass complete short right to Hakeem Nicks for 4 yards (tackle by Justin King and Bradley Fletcher),1.070,0.890
2,1:00,3,2,NYG 40,6,14,Eli Manning pass complete short right to Domenik Hixon for 7 yards (tackle by Justin King),0.890,2.060
2,0:39,1,10,NYG 47,6,14,Eli Manning pass complete deep left to Mario Manningham for 31 yards (tackle by Quintin Mikell),2.060,4.110
2,0:29,,,,6,14,Timeout #2 by New York Giants,0.000,4.110
2,0:29,1,10,STL 22,6,20,"Eli Manning pass complete deep middle to Domenik Hixon for 22 yards, touchdown",4.110,7.000
2,,,,STL 2,6,21,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 35,6,21,"Lawrence Tynes kicks off 71 yards, touchback",0.000,0.280
2,0:21,1,10,STL 20,6,21,Sam Bradford kneels for -2 yards,0.280,-0.630
Quarter,Time,Down,ToGo,Location,STL,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,6,21,"Lawrence Tynes kicks off 64 yards, returned by Quinn Porter for 30 yards (tackle by Jacquian Williams)",0.000,1.000
3,14:53,1,10,STL 31,6,21,Sam Bradford pass incomplete short left intended for Brandon Gibson (defended by Aaron Ross),1.000,0.460
3,14:48,2,10,STL 31,6,21,Sam Bradford pass complete deep middle to Brandon Gibson for 18 yards (tackle by Mathias Kiwanuka and Antrel Rolle),0.460,2.190
3,14:10,1,10,STL 49,6,21,Sam Bradford pass incomplete deep left intended for Michael Hoomanawanui,2.190,1.650
3,13:58,2,10,STL 49,6,21,Sam Bradford pass complete deep left to Danario Alexander for 35 yards (tackle by Aaron Ross),1.650,4.510
3,13:23,1,10,NYG 16,6,21,Cadillac Williams left tackle for 3 yards (tackle by Antrel Rolle),4.510,4.390
3,12:39,2,7,NYG 13,6,21,Sam Bradford pass complete short middle to Greg Salas for 4 yards (tackle by Antrel Rolle),4.390,4.390
3,12:03,3,3,NYG 9,6,21,Sam Bradford pass incomplete short left intended for Danario Alexander (defended by Michael Boley),4.390,2.930
3,11:54,4,3,NYG 9,9,21,Josh Brown 27 yard field goal good,2.930,3.000
3,,,,STL 35,9,21,"Josh Brown kicks off 70 yards, returned by Devin Thomas for 24 yards (tackle by Dominique Curry)",0.000,0.150
3,11:44,1,10,NYG 19,9,21,Ahmad Bradshaw right end for 1 yard (tackle by Ben Leber),0.150,-0.200
3,11:13,2,9,NYG 20,9,21,Eli Manning pass complete short middle to Ahmad Bradshaw for 3 yards (tackle by James Laurinaitis),-0.200,-0.550
3,10:27,3,6,NYG 23,9,21,Eli Manning pass complete short middle to Victor Cruz for 10 yards (tackle by James Butler),-0.550,1.140
3,9:54,1,10,NYG 33,9,21,"Eli Manning pass complete short middle to Ahmad Bradshaw for 7 yards (tackle by James Laurinaitis and Ben Leber). Penalty on Bradley Fletcher: Defensive Holding (Declined), Penalty on Ben Leber: Face Mask (15 Yards), 15 yards",1.140,2.590
3,9:20,1,10,STL 45,9,21,Ahmad Bradshaw left tackle for -3 yards (tackle by Brady Poppinga and James Hall),2.590,1.640
3,8:42,2,13,STL 48,9,21,"Penalty on Eugene Sims: Neutral Zone Infraction, 5 yards (no play)",1.640,2.310
3,8:24,2,8,STL 43,9,21,Ahmad Bradshaw left tackle for 2 yards (tackle by Bradley Fletcher and Chris Chamberlain),2.310,1.880
3,7:46,3,6,STL 41,9,21,"Eli Manning pass incomplete deep middle intended for Brandon Stokley. Penalty on Justin King: Defensive Pass Interference, 17 yards (no play)",1.880,3.970
3,7:38,1,10,STL 24,9,21,Eli Manning pass incomplete short right intended for Hakeem Nicks,3.970,3.430
3,7:33,2,10,STL 24,9,21,Eli Manning sacked by Robert Quinn for -8 yards,3.430,1.690
3,7:08,3,18,STL 32,9,21,Eli Manning pass complete short left to Ahmad Bradshaw for 23 yards (tackle by Quintin Mikell),1.690,5.140
3,6:27,1,9,STL 9,9,27,"Brandon Jacobs left tackle for 9 yards, touchdown",5.140,7.000
3,,,,STL 2,9,28,Lawrence Tynes kicks extra point good,0.000,0.000
3,,,,NYG 35,9,28,"Lawrence Tynes kicks off 69 yards, returned by Quinn Porter for 32 yards (tackle by Spencer Paysinger)",0.000,0.810
3,6:13,1,10,STL 28,9,28,Cadillac Williams left end for 3 yards (tackle by Mathias Kiwanuka and Jimmy Kennedy),0.810,0.670
3,5:40,2,7,STL 31,9,28,Sam Bradford pass incomplete short middle intended for Danario Alexander (defended by Rocky Bernard),0.670,-0.030
3,5:32,3,7,STL 31,9,28,"Sam Bradford pass complete short right to Greg Salas for 17 yards (tackle by Antrel Rolle). Greg Salas fumbles (forced by Antrel Rolle), ball out of bounds at STL-48",-0.030,2.130
3,5:05,1,10,STL 48,9,28,Sam Bradford pass incomplete short middle intended for Cadillac Williams,2.130,1.580
3,4:57,2,10,STL 48,9,28,Sam Bradford pass complete short right to Cadillac Williams for 3 yards (tackle by Jacquian Williams),1.580,1.290
3,4:24,3,7,NYG 49,9,28,Sam Bradford pass complete short right to Mike Sims-Walker for 15 yards (tackle by Corey Webster and Deon Grant),1.290,3.310
3,3:41,1,10,NYG 34,9,28,Sam Bradford sacked by Justin Tuck for -15 yards,3.310,0.750
,,,,,,,"NYG challenged the incomplete pass ruling, and the original play was overturned.",,
3,3:24,2,25,NYG 49,9,28,Sam Bradford for 17 yards (tackle by Antrel Rolle),0.750,2.350
3,2:42,3,8,NYG 32,9,28,Sam Bradford pass complete short left to Greg Salas for 2 yards (tackle by Deon Grant),2.350,1.430
3,1:56,,,,9,28,Timeout #1 by St. Louis Rams,0.000,1.430
3,1:56,4,6,NYG 30,9,28,Sam Bradford pass complete short left to Mike Sims-Walker for 11 yards (tackle by Michael Coe),1.430,4.310
3,1:34,1,10,NYG 19,9,28,Sam Bradford pass incomplete short left intended for Danario Alexander,4.310,3.750
3,1:30,2,10,NYG 19,9,28,Sam Bradford pass incomplete short middle intended for Danario Alexander,3.750,3.030
3,1:24,3,10,NYG 19,15,28,"Sam Bradford pass complete deep left to Danario Alexander for 19 yards, touchdown",3.030,7.000
3,,,,NYG 2,16,28,Josh Brown kicks extra point good,0.000,0.000
3,,,,STL 35,16,28,"Josh Brown kicks off 72 yards, touchback",0.000,0.280
3,1:18,1,10,NYG 20,16,28,Eli Manning pass complete short left to Hakeem Nicks for 8 yards (tackle by Bradley Fletcher),0.280,0.810
3,0:48,2,2,NYG 28,16,28,Brandon Jacobs right guard for 3 yards (tackle by Chris Long and Ben Leber),0.810,1.000
3,0:13,1,10,NYG 31,16,28,Eli Manning pass complete short right to Henry Hynoski for 8 yards (tackle by Brady Poppinga),1.000,1.540
Quarter,Time,Down,ToGo,Location,STL,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,NYG 39,16,28,Brandon Jacobs right guard for 2 yards (tackle by Bradley Fletcher and Fred Robbins),1.540,1.660
4,14:24,1,10,NYG 41,16,28,Eli Manning pass complete short right to Brandon Jacobs for 17 yards (tackle by Chris Chamberlain),1.660,2.790
4,13:57,1,10,STL 42,16,28,Brandon Jacobs left tackle for 3 yards (tackle by Justin King and James Laurinaitis),2.790,2.650
4,13:19,2,7,STL 39,16,28,Eli Manning pass incomplete deep left intended for Hakeem Nicks (defended by Bradley Fletcher),2.650,1.950
4,13:12,3,7,STL 39,16,28,Eli Manning sacked by James Hall for -9 yards,1.950,0.070
4,12:44,4,16,STL 48,16,28,"Steve Weatherford punts 35 yards, fair catch by Greg Salas",0.070,0.320
4,12:32,1,10,STL 13,16,28,Sam Bradford pass complete short middle to Cadillac Williams for 6 yards (tackle by Jacquian Williams),-0.320,0.030
4,12:04,2,4,STL 19,16,28,Cadillac Williams left guard for 1 yard (tackle by Justin Tuck and Jacquian Williams),0.030,-0.590
4,11:27,3,3,STL 20,16,28,Sam Bradford pass incomplete short middle intended for Billy Bajema,-0.590,-2.030
4,11:22,4,3,STL 20,16,28,"Donnie Jones punts 58 yards, returned by Aaron Ross for 7 yards (tackle by Craig Dahl)",-2.030,-0.870
4,11:08,1,10,NYG 29,16,28,Ahmad Bradshaw right tackle for 1 yard (tackle by James Laurinaitis),0.870,0.460
4,10:27,2,9,NYG 30,16,28,Eli Manning pass complete short left to Victor Cruz for 7 yards (tackle by Justin King),0.460,0.700
4,9:51,3,2,NYG 37,16,28,DJ Ware left guard for 4 yards (tackle by Darell Scott and Quintin Mikell),0.700,1.660
4,9:17,1,10,NYG 41,16,28,Ahmad Bradshaw right tackle for 4 yards (tackle by Darian Stewart and Eugene Sims),1.660,1.660
4,8:41,2,6,NYG 45,16,28,Ahmad Bradshaw up the middle for 4 yards (tackle by Quintin Mikell),1.660,1.490
4,8:03,3,2,NYG 49,16,28,Eli Manning sacked by Chris Long for -2 yards,1.490,-0.260
4,7:32,4,4,NYG 47,16,28,"Steve Weatherford punts 48 yards, fair catch by Greg Salas. Penalty on Zak DeOssie: Unnecessary Roughness, 15 yards",-0.260,-0.280
4,7:20,1,10,STL 20,16,28,Sam Bradford pass complete short right to Greg Salas for 4 yards (tackle by Corey Webster),0.280,0.270
4,6:49,2,6,STL 24,16,28,Sam Bradford pass incomplete short middle intended for Mike Sims-Walker (defended by Kenny Phillips),0.270,-0.430
4,6:42,3,6,STL 24,16,28,Sam Bradford pass incomplete deep left intended for Greg Salas,-0.430,-1.770
4,6:35,4,6,STL 24,16,28,"Donnie Jones punts 47 yards (tackle by Quinn Porter). Penalty on Michael Coe: Offensive Holding, 10 yards",-1.770,-0.610
4,6:24,1,10,NYG 25,16,28,Brandon Jacobs right tackle for 2 yards (tackle by Darian Stewart and Justin King),0.610,0.330
4,5:46,2,8,NYG 27,16,28,Eli Manning pass complete short middle to Jake Ballard for 13 yards (tackle by Quintin Mikell),0.330,1.600
4,5:09,1,10,NYG 40,16,28,Brandon Jacobs right tackle for 3 yards (tackle by Darian Stewart),1.600,1.460
4,4:38,2,7,NYG 43,16,28,Brandon Jacobs left guard for 5 yards (tackle by James Laurinaitis and Darell Scott),1.460,1.420
4,4:27,,,,16,28,Timeout #2 by St. Louis Rams,0.000,1.420
4,4:27,3,2,NYG 48,16,28,DJ Ware right end for 12 yards (tackle by Chris Chamberlain and Darian Stewart),1.420,2.920
4,3:52,1,10,STL 40,16,28,Brandon Jacobs right end for 3 yards (tackle by Chris Long and James Laurinaitis),2.920,2.780
4,3:09,2,7,STL 37,16,28,Brandon Jacobs up the middle for no gain (tackle by James Hall and Brady Poppinga),2.780,2.080
4,2:58,,,,16,28,Timeout #3 by St. Louis Rams,0.000,2.080
4,2:58,3,7,STL 37,16,28,DJ Ware left tackle for 6 yards (tackle by Justin King and Darian Stewart),2.080,1.410
4,2:13,,,,16,28,Timeout #1 by New York Giants,0.000,1.410
4,2:13,4,1,STL 31,16,28,Brandon Jacobs right tackle for -2 yards (tackle by Brady Poppinga and James Laurinaitis),1.410,-1.140
4,2:08,1,10,STL 33,16,28,Sam Bradford sacked by Jason Pierre-Paul and Justin Tuck for -8 yards,1.140,-0.490
4,2:00,2,18,STL 25,16,28,"Sam Bradford pass complete deep middle to Mike Sims-Walker for 18 yards (tackle by Michael Boley). Penalty on Rodger Saffold: Offensive Holding, 10 yards (no play)",-0.490,-2.000
4,1:54,2,28,STL 15,16,28,Sam Bradford pass incomplete short right intended for Greg Salas,-2.000,-3.130
4,1:46,3,28,STL 15,16,28,Sam Bradford pass incomplete deep middle intended for Lance Kendricks,-3.130,-2.440
4,1:41,4,28,STL 15,16,28,"Donnie Jones punts 55 yards, fair catch by Aaron Ross",-2.440,-0.940
4,1:34,1,10,NYG 30,16,28,Eli Manning kneels for -1 yards,0.940,0.260
4,0:54,2,11,NYG 29,16,28,Eli Manning kneels for -1 yards,0.260,-0.560
4,0:24,3,12,NYG 28,16,28,Eli Manning kneels for -1 yards,-0.560,-1.570
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
