Quarter,Time,Tm,Detail,STL,NYG
1.0,9:14,Rams,Josh Brown 21 yard field goal,3,0
,5:47,Giants,Hakeem Nicks 3 yard pass from Eli Manning (Lawrence Tynes kick),3,7
,3:21,Rams,Josh Brown 25 yard field goal,6,7
2.0,10:58,Giants,Michael Boley 65 yard defensive fumble return (Lawrence Tynes kick),6,14
,0:21,Giants,Domenik Hixon 22 yard pass from Eli Manning (Lawrence Tynes kick),6,21
3.0,11:49,Rams,Josh Brown 27 yard field goal,9,21
,6:19,Giants,Brandon Jacobs 9 yard rush (Lawrence Tynes kick),9,28
,1:18,Rams,Danario Alexander 19 yard pass from Sam Bradford (Josh Brown kick),16,28
