Quarter,Time,Tm,Detail,IND,NWE
2.0,10:40,Patriots,Adam Vinatieri 24 yard field goal,0,3
,7:56,Patriots,Adam Vinatieri 31 yard field goal,0,6
,0:00,Colts,Mike Vanderjagt 23 yard field goal,3,6
3.0,1:30,Patriots,David Givens 5 yard pass from Tom Brady (Adam Vinatieri kick),3,13
4.0,7:10,Patriots,Tom Brady 1 yard rush (Adam Vinatieri kick),3,20
