Quarter,Time,Tm,Detail,BAL,CLE
1.0,8:24,Browns,Davone Bess 1 yard pass from Jason Campbell (Billy Cundiff kick),0,7
,3:38,Ravens,Justin Tucker 51 yard field goal,3,7
2.0,10:08,Browns,Davone Bess 20 yard pass from Jason Campbell (Billy Cundiff kick),3,14
,0:09,Ravens,Marlon Brown 19 yard pass from Joe Flacco (Justin Tucker kick),10,14
3.0,5:11,Browns,Gary Barnidge 4 yard pass from Jason Campbell (Billy Cundiff kick),10,21
4.0,12:09,Ravens,Marlon Brown 7 yard pass from Joe Flacco (Marlon Brown pass from Joe Flacco),18,21
,0:14,Browns,Billy Cundiff 22 yard field goal,18,24
