Unnamed: 0,BAL,CLE
First Downs,18,19
Rush-Yds-TDs,21-55-0,29-73-0
Cmp-Att-Yd-TD-INT,24-41-250-2-1,24-37-260-3-0
Sacked-Yards,5-27,2-18
Net Pass Yards,223,242
Total Yards,278,315
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,9-80,6-55
Third Down Conv.,7-16,4-15
Fourth Down Conv.,1-1,2-2
Time of Possession,29:10,30:50
