Quarter,Time,Tm,Detail,SEA,CAR
2.0,9:36,Seahawks,Stephen Hauschka 27 yard field goal,3,0
,3:13,Panthers,Steve Smith Sr. 3 yard pass from Cam Newton (Graham Gano kick),3,7
3.0,2:22,Seahawks,Stephen Hauschka 40 yard field goal,6,7
4.0,10:13,Seahawks,Jermaine Kearse 43 yard pass from Russell Wilson (pass failed),12,7
