Unnamed: 0,SEA,CAR
First Downs,18,17
Rush-Yds-TDs,26-70-0,26-134-0
Cmp-Att-Yd-TD-INT,25-33-320-1-0,16-23-125-1-0
Sacked-Yards,2-20,1-6
Net Pass Yards,300,119
Total Yards,370,253
Fumbles-Lost,1-1,3-2
Turnovers,1,2
Penalties-Yards,9-99,4-46
Third Down Conv.,6-13,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,30:14,29:46
