Quarter,Time,Down,ToGo,Location,ATL,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Billy Cundiff kicks off 67 yards, returned by Jacquizz Rodgers for 47 yards. Penalty on Robert James: Offensive Holding, 8 yards",0.000,-0.380
1,14:50,1,10,ATL 8,0,0,Michael Turner right guard for 1 yard (tackle by Stephen Bowen),-0.380,-0.710
1,14:13,2,9,ATL 9,0,0,Matt Ryan pass complete short left to Julio Jones for 5 yards (tackle by Rob Jackson and Josh Wilson),-0.710,-0.720
1,13:33,3,4,ATL 14,0,0,Matt Ryan pass complete short middle to Julio Jones for 6 yards (tackle by Chris Wilson and DeAngelo Hall),-0.720,0.280
1,12:48,1,10,ATL 20,0,0,Matt Ryan pass complete short middle to Tony Gonzalez for 3 yards (tackle by Perry Riley and Jarvis Jenkins),0.280,0.140
1,12:14,2,7,ATL 23,0,0,Matt Ryan pass complete short right to Tony Gonzalez for 10 yards (tackle by DeAngelo Hall),0.140,1.140
1,11:41,1,10,ATL 33,0,0,Michael Turner left end for 5 yards (tackle by Richard Crawford and London Fletcher),1.140,1.270
1,11:06,2,5,ATL 38,0,0,Matt Ryan pass incomplete short left intended for Michael Turner,1.270,0.560
1,11:02,3,5,ATL 38,0,0,Matt Ryan pass complete short right to Roddy White for 12 yards (tackle by Richard Crawford),0.560,2.260
1,10:38,1,10,,0,0,Matt Ryan pass incomplete deep left intended for Julio Jones (defended by Josh Wilson),2.260,1.710
1,10:31,2,10,,0,0,Jacquizz Rodgers right tackle for 2 yards (tackle by London Fletcher and Perry Riley),1.710,1.290
1,9:54,3,8,WAS 48,0,0,"Penalty on Tony Gonzalez: False Start, 5 yards (no play)",1.290,0.630
1,9:29,3,13,ATL 47,0,0,Matt Ryan pass incomplete deep left intended for Harry Douglas,0.630,-0.260
1,9:23,4,13,ATL 47,0,0,"Matt Bosher punts 40 yards, returned by Brandon Banks for 7 yards (tackle by Chris Hope)",-0.260,-0.280
1,9:10,1,10,WAS 20,0,0,Robert Griffin III pass incomplete short left intended for Pierre Garcon (defended by John Abraham),0.280,-0.270
1,9:07,2,10,WAS 20,0,0,Alfred Morris left end for 11 yards (tackle by William Moore),-0.270,1.000
1,8:25,1,10,WAS 31,0,0,Alfred Morris left end for 16 yards (tackle by Thomas DeCoud),1.000,2.060
1,7:44,1,10,WAS 47,0,0,Robert Griffin III sacked by Dunta Robinson and Jonathan Babineaux for -7 yards,2.060,0.570
1,7:12,2,17,WAS 40,0,0,Robert Griffin III pass complete short middle to Aldrick Robinson for 10 yards (tackle by Sean Weatherspoon),0.570,1.220
1,6:37,3,7,,0,0,Robert Griffin III pass incomplete short middle intended for Logan Paulsen,1.220,-0.060
1,6:32,4,7,,0,0,"Saverio Rocca punts 35 yards, fair catch by Dominique Franks",-0.060,0.220
1,6:24,1,10,ATL 15,0,0,Michael Turner left end for 3 yards (tackle by Perry Riley and Jarvis Jenkins),-0.220,-0.280
1,5:40,2,7,ATL 18,0,0,Matt Ryan pass incomplete short middle intended for Tony Gonzalez,-0.280,-1.000
1,5:35,3,7,ATL 18,0,0,Matt Ryan pass incomplete short right intended for Roddy White,-1.000,-2.240
1,5:29,4,7,ATL 18,0,0,"Matt Bosher punts 63 yards, returned by Brandon Banks for 2 yards (tackle by Christopher Owens)",-2.240,-0.340
1,5:16,1,10,WAS 21,0,0,Leonard Hankerson left end for 2 yards (tackle by Stephen Nicholas),0.340,0.070
1,4:35,2,8,WAS 23,0,0,Alfred Morris right tackle for 1 yard (tackle by Sean Weatherspoon),0.070,-0.490
1,4:03,3,7,WAS 24,0,0,Robert Griffin III pass incomplete short middle intended for Santana Moss,-0.490,-1.770
1,3:57,4,7,WAS 24,0,0,"Saverio Rocca punts 56 yards, returned by Dominique Franks for no gain",-1.770,-0.280
1,3:46,1,10,ATL 20,0,0,Matt Ryan pass complete short right to Tony Gonzalez for 9 yards (tackle by Ryan Kerrigan),0.280,0.950
1,3:06,2,1,ATL 29,0,0,Michael Turner left end for -1 yards (tackle by DeAngelo Hall and London Fletcher),0.950,0.100
1,2:23,3,2,ATL 28,0,0,Matt Ryan pass complete short middle to Tony Gonzalez for 6 yards (tackle by Josh Wilson),0.100,1.200
1,1:46,1,10,ATL 34,0,0,Matt Ryan pass complete short right to Tommy Gallarda for 7 yards (tackle by Ryan Kerrigan),1.200,1.600
1,1:11,2,3,ATL 41,0,0,Matt Ryan pass incomplete short right intended for Michael Turner,1.600,0.890
1,1:04,3,3,ATL 41,0,0,Matt Ryan pass complete short left to Julio Jones for 2 yards (tackle by Josh Wilson),0.890,-0.520
1,0:27,4,1,ATL 43,0,0,"Matt Bosher punts 57 yards, touchback",-0.520,-0.280
1,0:07,1,10,WAS 20,0,0,Robert Griffin III pass complete short left to Pierre Garcon for no gain,0.280,-0.270
