Unnamed: 0,ATL,WAS
First Downs,28,12
Rush-Yds-TDs,28-83-1,21-129-0
Cmp-Att-Yd-TD-INT,34-52-345-2-1,15-24-202-1-2
Sacked-Yards,1-7,3-15
Net Pass Yards,338,187
Total Yards,421,316
Fumbles-Lost,1-1,0-0
Turnovers,2,2
Penalties-Yards,2-13,4-20
Third Down Conv.,9-17,1-9
Fourth Down Conv.,0-0,0-0
Time of Possession,37:01,22:59
