Quarter,Time,Tm,Detail,ATL,WAS
2.0,10:11,Redskins,Ryan Kerrigan 28 yard interception return (Billy Cundiff kick),0,7
,0:30,Falcons,Tony Gonzalez 1 yard pass from Matt Ryan (Matt Bryant kick),7,7
3.0,5:56,Redskins,Billy Cundiff 23 yard field goal,7,10
4.0,13:23,Falcons,Julio Jones 18 yard pass from Matt Ryan (Matt Bryant kick),14,10
,12:24,Redskins,Santana Moss 77 yard pass from Kirk Cousins (Billy Cundiff kick),14,17
,7:42,Falcons,Matt Bryant 53 yard field goal,17,17
,2:46,Falcons,Michael Turner 13 yard rush (Matt Bryant kick),24,17
