Unnamed: 0,SEA,DAL
First Downs,11,23
Rush-Yds-TDs,24-73-1,34-164-2
Cmp-Att-Yd-TD-INT,18-27-233-1-0,22-33-226-1-1
Sacked-Yards,1-7,1-10
Net Pass Yards,226,216
Total Yards,299,380
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,5-36,6-36
Third Down Conv.,2-13,4-11
Fourth Down Conv.,2-2,0-0
Time of Possession,25:10,34:50
