Quarter,Time,Down,ToGo,Location,SEA,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Sebastian Janikowski kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DAL 25,0,0,Ezekiel Elliott up the middle for 8 yards (tackle by Bobby Wagner),0.610,1.140
1,14:21,2,2,DAL 33,0,0,Dak Prescott pass complete short right to Amari Cooper for 14 yards,1.140,2.060
1,13:53,1,10,DAL 47,0,0,Ezekiel Elliott right guard for 5 yards (tackle by Jarran Reed and Frank Clark),2.060,2.190
1,13:11,2,5,SEA 48,0,0,Dak Prescott pass complete short middle to Cole Beasley for 14 yards (tackle by K.J. Wright),2.190,3.310
1,12:47,1,10,SEA 34,0,0,Dak Prescott pass complete short right to Ezekiel Elliott for 9 yards (tackle by Bobby Wagner and Justin Coleman),3.310,3.990
1,12:07,2,1,SEA 25,0,0,Ezekiel Elliott right tackle for 2 yards (tackle by Bradley McDougald),3.990,4.040
1,11:24,1,10,SEA 23,0,0,Dak Prescott pass incomplete short right intended for Noah Brown,4.040,3.500
1,11:18,2,10,SEA 23,0,0,Ezekiel Elliott left tackle for no gain (tackle by Shamar Stephen),3.500,2.810
1,10:35,3,10,SEA 23,0,0,Dak Prescott pass complete short left to Amari Cooper for 2 yards (tackle by Tedric Thompson),2.810,2.060
1,9:54,4,8,SEA 21,0,3,Brett Maher 39 yard field goal good,2.060,3.000
1,9:50,,,DAL 35,0,3,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,9:50,1,10,SEA 25,0,3,Chris Carson right tackle for 5 yards (tackle by Chidobe Awuzie),0.610,0.740
1,9:17,2,5,SEA 30,0,3,Chris Carson up the middle for 3 yards (tackle by Damien Wilson and Maliek Collins),0.740,0.430
1,8:33,3,2,SEA 33,0,3,Russell Wilson pass incomplete short right intended for J.D. McKissic (defended by Jaylon Smith),0.430,-1.180
1,8:25,4,2,SEA 33,0,3,"Michael Dickson punts 44 yards, returned by Tavon Austin for no gain (tackle by Justin Coleman)",-1.180,-0.480
1,8:17,1,10,DAL 23,0,3,Ezekiel Elliott right end for 3 yards (tackle by K.J. Wright),0.480,0.340
1,7:45,2,7,DAL 26,0,3,Dak Prescott pass incomplete short right intended for Noah Brown (defended by Shaquill Griffin),0.340,-0.360
1,7:38,3,7,DAL 26,0,3,Dak Prescott pass complete short right to Allen Hurns for 14 yards (tackle by Bradley McDougald),-0.360,1.600
1,7:14,1,10,DAL 40,0,3,Dak Prescott pass complete short right to Ezekiel Elliott for 4 yards (tackle by Poona Ford),1.600,1.590
1,6:33,2,6,DAL 44,0,3,Ezekiel Elliott up the middle for 4 yards (tackle by K.J. Wright),1.590,1.420
1,5:47,3,2,DAL 48,0,3,Dak Prescott pass incomplete deep right intended for Michael Gallup,1.420,-0.190
1,5:42,4,2,DAL 48,0,3,"Chris Jones punts 39 yards, returned by Tyler Lockett for 10 yards (tackle by Jeff Heath and Joe Thomas)",-0.190,-0.480
1,5:32,1,10,SEA 23,0,3,Russell Wilson pass complete short left to Chris Carson for -8 yards (tackle by Antwaun Woods),0.480,-1.280
1,4:49,2,18,SEA 15,0,3,Chris Carson left guard for 5 yards (tackle by Antwaun Woods and Byron Jones),-1.280,-1.150
1,4:06,3,13,SEA 20,0,3,Russell Wilson up the middle for 3 yards (tackle by Randy Gregory),-1.150,-1.830
1,3:29,4,10,SEA 23,0,3,"Michael Dickson punts 57 yards, returned by Tavon Austin for 9 yards (tackle by Jacob Martin and Shaquem Griffin)",-1.830,-0.870
1,3:17,1,10,DAL 29,0,3,Dak Prescott pass incomplete short left intended for Amari Cooper,0.870,0.330
1,3:12,2,10,DAL 29,0,3,"Ezekiel Elliott right end for no gain (tackle by Bobby Wagner and K.J. Wright). Penalty on Blake Jarwin: Offensive Holding, 10 yards (no play)",0.330,-1.080
1,2:55,2,20,DAL 19,0,3,Dak Prescott pass complete short left to Amari Cooper for 9 yards (tackle by Akeem King),-1.080,-0.490
1,2:27,3,11,DAL 28,0,3,Dak Prescott pass incomplete short right intended for Michael Gallup (defended by Shaquill Griffin),-0.490,-1.500
1,2:20,4,11,DAL 28,0,3,Chris Jones punts 45 yards downed by Kavon Frazier,-1.500,-0.740
1,2:10,1,10,SEA 27,0,3,Chris Carson left tackle for 4 yards (tackle by Leighton Vander Esch and Maliek Collins),0.740,0.740
1,1:36,2,6,SEA 31,0,3,Chris Carson left tackle for no gain (tackle by Jaylon Smith and Demarcus Lawrence),0.740,0.040
1,0:52,3,6,SEA 31,0,3,Russell Wilson sacked by Maliek Collins for -7 yards,0.040,-1.770
1,0:14,4,13,SEA 24,0,3,"Michael Dickson punts 56 yards, returned by Tavon Austin for 4 yards. Penalty on C.J. Goodwin: Offensive Holding, 10 yards",-1.770,0.280
Quarter,Time,Down,ToGo,Location,SEA,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 14,0,3,Ezekiel Elliott left guard for 4 yards (tackle by Bobby Wagner and Dion Jordan),-0.280,-0.210
2,14:17,2,6,DAL 18,0,3,Dak Prescott pass complete short left to Tavon Austin for 7 yards (tackle by Bradley McDougald),-0.210,0.610
2,13:44,1,10,DAL 25,0,3,Ezekiel Elliott left tackle for 5 yards (tackle by Poona Ford),0.610,0.740
2,13:03,2,5,DAL 30,0,3,Dak Prescott pass complete short right to Cole Beasley for 8 yards (tackle by Shaquill Griffin),0.740,1.470
2,12:27,1,10,DAL 38,0,3,Tavon Austin right end for -3 yards (tackle by K.J. Wright),1.470,0.520
2,11:48,2,13,DAL 35,0,3,Ezekiel Elliott up the middle for 1 yard (tackle by Jarran Reed),0.520,-0.030
2,11:06,3,12,DAL 36,0,3,"Penalty on La'el Collins: False Start, 5 yards (no play)",-0.030,-0.690
2,10:43,3,17,DAL 31,0,3,Dak Prescott pass complete short middle to Ezekiel Elliott for 9 yards (tackle by Frank Clark),-0.690,-0.720
2,10:02,4,8,DAL 40,0,3,"Chris Jones punts 50 yards, returned by Tyler Lockett for 12 yards (tackle by Joe Thomas)",-0.720,-0.410
2,9:48,1,10,SEA 22,0,3,Russell Wilson pass complete deep left to Ed Dickson for 26 yards (tackle by Jeff Heath),0.410,2.130
2,9:13,1,10,SEA 48,0,3,Russell Wilson pass complete deep left to Tyler Lockett for 40 yards (tackle by Xavier Woods),2.130,4.780
2,8:38,1,10,DAL 12,0,3,Chris Carson up the middle for 3 yards (tackle by Jaylon Smith),4.780,4.640
2,7:55,2,7,DAL 9,0,3,Chris Carson left guard for no gain (tackle by Maliek Collins),4.640,3.700
2,7:08,3,7,DAL 9,0,3,Russell Wilson pass incomplete short right intended for Ed Dickson,3.700,2.830
2,7:05,4,7,DAL 9,3,3,Sebastian Janikowski 27 yard field goal good,2.830,3.000
2,7:03,,,SEA 35,3,3,"Sebastian Janikowski kicks off 65 yards, touchback.",0.000,0.610
2,7:03,1,10,DAL 25,3,3,"Dak Prescott pass incomplete short right intended for Michael Gallup. Penalty on Shaquill Griffin: Illegal Contact, 5 yards (no play)",0.610,0.940
2,6:57,1,10,DAL 30,3,3,Ezekiel Elliott up the middle for 2 yards (tackle by K.J. Wright),0.940,0.660
2,6:23,2,8,DAL 32,3,3,Dak Prescott pass complete short right to Amari Cooper for 15 yards (tackle by Tedric Thompson),0.660,2.060
2,5:44,1,10,DAL 47,3,3,Ezekiel Elliott right end for 13 yards (tackle by Bradley McDougald),2.060,2.920
2,5:17,1,10,SEA 40,3,3,Ezekiel Elliott left guard for no gain (tackle by Frank Clark and Jarran Reed),2.920,2.370
2,4:44,2,10,SEA 40,3,3,Dak Prescott sacked by Frank Clark for -10 yards,2.370,0.370
2,3:59,3,20,DAL 50,3,3,Dak Prescott pass complete short middle to Ezekiel Elliott for 10 yards (tackle by Quinton Jefferson and Jacob Martin),0.370,0.590
2,3:17,4,10,SEA 40,3,3,Brett Maher 58 yard field goal no good,0.590,-2.130
2,3:12,1,10,SEA 48,3,3,Russell Wilson pass incomplete short left intended for Doug Baldwin,2.130,1.580
2,3:05,2,10,SEA 48,3,3,Russell Wilson pass complete deep right to Tyler Lockett for 25 yards (tackle by Chidobe Awuzie),1.580,3.780
2,2:40,1,10,DAL 27,3,3,Chris Carson left tackle for -4 yards (tackle by Demarcus Lawrence),3.780,2.690
2,2:00,,,,,,Timeout #1 by Seattle Seahawks,,
2,2:00,2,14,DAL 31,3,3,Russell Wilson pass complete short middle to Chris Carson for 7 yards (tackle by Jaylon Smith),2.690,2.940
2,1:52,,,,,,Timeout #1 by Dallas Cowboys,,
2,1:52,3,7,DAL 24,3,3,Russell Wilson pass incomplete deep right intended for Doug Baldwin,2.940,1.870
2,1:47,4,7,DAL 24,6,3,Sebastian Janikowski 42 yard field goal good,1.870,3.000
2,1:43,,,SEA 35,6,3,"Sebastian Janikowski kicks off 65 yards, touchback.",0.000,0.610
2,1:43,1,10,DAL 25,6,3,Dak Prescott pass complete short left to Blake Jarwin for 4 yards,0.610,0.600
2,1:39,2,6,DAL 29,6,3,Dak Prescott pass complete short right to Amari Cooper for 5 yards (tackle by Shaquill Griffin),0.600,0.560
2,1:11,3,1,DAL 34,6,3,Ezekiel Elliott right end for 44 yards (tackle by Justin Coleman),0.560,4.110
2,1:03,1,10,SEA 22,6,3,Dak Prescott pass complete short right to Blake Jarwin for 7 yards (tackle by Bradley McDougald),4.110,4.650
2,0:37,2,3,SEA 15,6,3,Dak Prescott pass complete short right to Blake Jarwin for 4 yards (tackle by Bradley McDougald),4.650,4.840
2,0:33,1,10,SEA 11,6,3,Dak Prescott pass incomplete short right intended for Michael Gallup,4.840,4.140
2,0:28,2,10,SEA 11,6,9,"Dak Prescott pass complete short right to Michael Gallup for 11 yards, touchdown",4.140,7.000
2,0:24,,,SEA 15,6,10,Brett Maher kicks extra point good,0.000,0.000
2,0:24,,,DAL 35,6,10,"Brett Maher kicks off 66 yards, returned by Tyler Lockett for no gain (tackle by Brett Maher)",0.000,2.320
2,0:16,1,10,DAL 49,6,10,Russell Wilson pass complete short right to Ed Dickson for 4 yards (tackle by Leighton Vander Esch),2.320,2.320
2,0:11,2,6,DAL 45,6,10,Russell Wilson pass complete short right to Ed Dickson for 3 yards (tackle by Leighton Vander Esch),2.320,2.020
2,0:06,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:06,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:06,3,3,DAL 42,6,10,Mike Davis up the middle for 3 yards (tackle by Jeff Heath),2.020,2.980
2,0:03,,,,,,Timeout #3 by Seattle Seahawks,,
2,0:03,1,10,DAL 39,6,10,Sebastian Janikowski 57 yard field goal no good,2.980,1.990
Quarter,Time,Down,ToGo,Location,SEA,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,6,10,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SEA 25,6,10,Chris Carson left tackle for 1 yard (tackle by Jaylon Smith),0.610,0.200
3,14:23,2,9,SEA 26,6,10,Chris Carson up the middle for 3 yards (tackle by Jaylon Smith and Leighton Vander Esch),0.200,-0.100
3,13:35,3,6,SEA 29,6,10,Russell Wilson pass incomplete short right intended for Tyler Lockett,-0.100,-1.440
3,13:31,4,6,SEA 29,6,10,"Michael Dickson punts 51 yards, returned by Tavon Austin for 9 yards (tackle by Justin Coleman)",-1.440,-0.870
3,13:21,1,10,DAL 29,6,10,Ezekiel Elliott right guard for 3 yards (tackle by Shamar Stephen),0.870,0.730
3,12:37,2,7,DAL 32,6,10,Dak Prescott pass complete short left to Cole Beasley for 6 yards (tackle by Tre Flowers),0.730,0.830
3,11:58,3,1,DAL 38,6,10,Ezekiel Elliott right tackle for no gain (tackle by Bobby Wagner),0.830,-0.850
3,11:15,4,1,DAL 38,6,10,Chris Jones punts 49 yards out of bounds,-0.850,0.320
3,11:07,1,10,SEA 13,6,10,Russell Wilson pass complete short right to Ed Dickson for 9 yards (tackle by Byron Jones and Jaylon Smith),-0.320,0.490
3,10:34,2,1,SEA 22,6,10,Rashaad Penny right tackle for 5 yards (tackle by Chidobe Awuzie),0.490,0.740
3,10:01,1,10,SEA 27,6,10,Rashaad Penny right tackle for 28 yards (tackle by Jeff Heath),0.740,2.590
3,9:33,1,10,DAL 45,6,10,Rashaad Penny left end for -7 yards (tackle by Randy Gregory),2.590,1.100
3,8:51,2,17,SEA 48,6,10,Russell Wilson pass incomplete short left intended for Chris Carson,1.100,0.430
3,8:47,3,17,SEA 48,6,10,Russell Wilson pass complete short right to Nick Vannett for 5 yards (tackle by Leighton Vander Esch),0.430,0.130
3,8:04,4,12,DAL 47,6,10,Michael Dickson punts 45 yards downed by Justin Coleman,0.130,0.380
3,7:54,1,10,DAL 2,6,10,Ezekiel Elliott up the middle for 1 yard (tackle by Jarran Reed),-0.380,-0.710
3,7:15,2,9,DAL 3,6,10,Dak Prescott pass incomplete deep left intended for Amari Cooper,-0.710,-1.300
3,7:10,3,9,DAL 3,6,10,Dak Prescott pass incomplete short left intended for Ezekiel Elliott,-1.300,-2.490
3,7:06,4,9,DAL 3,6,10,"Penalty on Blake Jarwin: False Start, 1 yard (no play)",-2.490,-2.490
3,7:06,4,10,DAL 2,6,10,"Chris Jones punts 42 yards, returned by Tyler Lockett for no gain (tackle by C.J. Goodwin)",-2.490,-2.650
3,7:00,1,10,DAL 44,6,10,Rashaad Penny up the middle for 3 yards (tackle by Demarcus Lawrence),2.650,2.520
3,6:25,2,7,DAL 41,6,10,Chris Carson right guard for no gain (tackle by Demarcus Lawrence and Leighton Vander Esch),2.520,1.820
3,5:38,3,7,DAL 41,6,10,Mike Davis up the middle for 2 yards (tackle by Leighton Vander Esch and Tyrone Crawford),1.820,0.660
3,4:55,4,5,DAL 39,6,10,Russell Wilson pass complete deep left to Doug Baldwin for 22 yards (tackle by Chidobe Awuzie),0.660,4.440
3,4:49,1,10,DAL 17,6,10,Mike Davis right tackle for 3 yards (tackle by Leighton Vander Esch),4.440,4.320
3,4:05,2,7,DAL 14,6,10,Mike Davis left guard for 2 yards (tackle by Antwaun Woods),4.320,3.880
3,3:24,3,5,DAL 12,6,10,Russell Wilson left end for 7 yards (tackle by Leighton Vander Esch),3.880,6.060
3,2:45,1,5,DAL 5,6,10,Chris Carson up the middle for 1 yard (tackle by Chidobe Awuzie and Tyrone Crawford),6.060,5.340
3,2:03,2,4,DAL 4,12,10,"Russell Wilson right end for 4 yards, touchdown",5.340,7.000
3,1:59,,,DAL 2,14,10,"Two Point Attempt: Mike Davis rushes, conversion succeeds.",0.000,1.000
3,1:59,,,SEA 35,14,10,"Michael Dickson kicks off 47 yards, returned by Rod Smith for no gain (tackle by Shalom Luani)",0.000,1.140
3,1:54,1,10,DAL 33,14,10,Dak Prescott pass complete short right to Michael Gallup for 7 yards (tackle by Shaquill Griffin),1.140,1.540
3,1:17,2,3,DAL 40,14,10,Ezekiel Elliott left tackle for 2 yards (tackle by Barkevious Mingo),1.540,1.090
3,0:40,3,1,DAL 42,14,10,Dak Prescott pass complete short right to Noah Brown for 6 yards (tackle by Tedric Thompson and Bradley McDougald),1.090,2.130
Quarter,Time,Down,ToGo,Location,SEA,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 48,14,10,Ezekiel Elliott left end for 2 yards (tackle by Tre Flowers),2.130,1.850
4,14:27,2,8,DAL 50,14,10,Dak Prescott pass complete short middle to Amari Cooper for 34 yards (tackle by Tedric Thompson),1.850,4.510
4,13:50,1,10,SEA 16,14,10,Ezekiel Elliott up the middle for 6 yards (tackle by Bradley McDougald),4.510,4.970
4,13:19,2,4,SEA 10,14,10,Dak Prescott left tackle for 9 yards (tackle by Bradley McDougald),4.970,6.970
4,13:09,1,1,SEA 1,14,10,Ezekiel Elliott up the middle for no gain (tackle by Quinton Jefferson),6.970,5.910
4,12:32,2,1,SEA 1,14,16,"Ezekiel Elliott right guard for 1 yard, touchdown",5.910,7.000
4,12:28,,,SEA 15,14,17,Brett Maher kicks extra point good,0.000,0.000
4,12:28,,,DAL 35,14,17,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
4,12:28,1,10,SEA 25,14,17,Chris Carson up the middle for -1 yards (tackle by Demarcus Lawrence and Tyrone Crawford),0.610,-0.070
