Unnamed: 0,SDG,BUF
First Downs,15,22
Rush-Yds-TDs,17-72-0,32-109-1
Cmp-Att-Yd-TD-INT,22-29-208-2-1,25-30-261-1-0
Sacked-Yards,2-17,0-0
Net Pass Yards,191,261
Total Yards,263,370
Fumbles-Lost,2-2,0-0
Turnovers,3,0
Penalties-Yards,5-35,5-35
Third Down Conv.,7-11,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,24:31,35:29
