Quarter,Time,Tm,Detail,SDG,BUF
1.0,6:46,Bills,Rian Lindell 38 yard field goal,0,3
,0:21,Chargers,Malcom Floyd 14 yard pass from Philip Rivers (Nate Kaeding kick),7,3
2.0,5:20,Bills,Lee Evans 2 yard pass from Trent Edwards (Rian Lindell kick),7,10
,0:16,Bills,Rian Lindell 27 yard field goal,7,13
3.0,6:28,Chargers,Vincent Jackson 12 yard pass from Philip Rivers (Nate Kaeding kick),14,13
,0:33,Bills,Marshawn Lynch 9 yard rush (Rian Lindell kick),14,20
4.0,3:17,Bills,Rian Lindell 44 yard field goal,14,23
