Unnamed: 0,CHI,DET
First Downs,11,10
Rush-Yds-TDs,24-66-0,20-17-0
Cmp-Att-Yd-TD-INT,16-28-149-1-1,24-39-238-0-0
Sacked-Yards,2-16,1-7
Net Pass Yards,133,231
Total Yards,199,248
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,5-35,7-41
Third Down Conv.,4-14,5-16
Fourth Down Conv.,0-0,0-1
Time of Possession,30:00,30:00
