Quarter,Time,Tm,Detail,CHI,DET
1.0,1:53,Lions,Jason Hanson 24 yard field goal,0,3
2.0,11:28,Bears,Paul Edinger 43 yard field goal,3,3
,2:40,Lions,Jason Hanson 25 yard field goal,3,6
3.0,7:52,Bears,Desmond Clark 12 yard pass from Chris Chandler (Paul Edinger kick),10,6
,2:49,Lions,Jason Hanson 30 yard field goal,10,9
4.0,0:39,Lions,Jason Hanson 48 yard field goal,10,12
