Unnamed: 0,ARI,STL
First Downs,27,19
Rush-Yds-TDs,26-94-1,12-6-0
Cmp-Att-Yd-TD-INT,27-39-285-3-0,33-43-385-3-0
Sacked-Yards,1-7,5-34
Net Pass Yards,278,351
Total Yards,372,357
Fumbles-Lost,2-1,2-2
Turnovers,1,2
Penalties-Yards,10-111,9-54
Third Down Conv.,5-11,4-12
Fourth Down Conv.,0-0,1-1
Time of Possession,31:45,28:15
