Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Neil Rackers kicks off 74 yards, returned by David Allen for 29 yards (tackle by David Macklin)",0.000,0.610
1,14:55,1,10,STL 25,0,0,Marc Bulger pass complete to Torry Holt for 12 yards (tackle by Eric Green),0.610,1.400
1,14:15,1,10,STL 37,0,0,Steven Jackson left tackle for 2 yards (tackle by Antonio Smith),1.400,1.130
1,13:41,2,8,STL 39,0,0,"Penalty on Alex Barron: False Start, 5 yards (no play)",1.130,0.450
1,13:22,2,13,STL 34,0,0,Marc Bulger pass complete to Kevin Curtis for 17 yards (tackle by Eric Green),0.450,2.320
1,12:43,1,10,ARI 49,0,0,Steven Jackson right tackle for no gain (tackle by Darryl Blackstock),2.320,1.780
1,12:01,2,10,ARI 49,0,0,Steven Jackson right tackle for 1 yard (tackle by Orlando Huff),1.780,1.220
1,11:21,3,9,ARI 48,0,0,Marc Bulger pass incomplete intended for Shaun McDonald,1.220,0.070
1,11:15,4,9,ARI 48,0,0,"Bryan Barker punts 48 yards, touchback",0.070,-0.280
1,11:07,1,10,ARI 20,0,0,Kurt Warner pass complete to Anquan Boldin for 20 yards (tackle by Mike Furrey),0.280,1.600
1,10:34,1,10,ARI 40,0,0,Marcel Shipp left tackle for -2 yards (tackle by Ryan Pickett),1.600,0.780
1,10:00,2,12,ARI 38,0,0,Kurt Warner pass complete to Anquan Boldin for 5 yards (tackle by Mike Furrey),0.780,0.760
1,9:22,3,7,ARI 43,0,0,"Penalty on Leonard Davis: False Start, 5 yards (no play)",0.760,0.100
1,9:03,3,12,ARI 38,0,0,"Kurt Warner sacked by Brandon Green for -7 yards. Kurt Warner fumbles (forced by Brandon Green), recovered by Damione Lewis at ARI-34 (tackle by Nick Leckey)",0.100,-3.310
1,8:54,1,10,ARI 34,0,0,Marc Bulger pass complete to Kevin Curtis for 6 yards (tackle by Eric Green),3.310,3.580
1,8:29,2,4,ARI 28,0,0,Steven Jackson right tackle for -1 yards (tackle by Orlando Huff),3.580,2.740
1,7:45,3,5,ARI 29,0,0,Marc Bulger pass incomplete intended for Torry Holt (defended by David Macklin),2.740,1.540
1,7:40,4,5,ARI 29,0,3,Jeff Wilkins 47 yard field goal good,1.540,3.000
1,,,,STL 30,0,3,"Jeff Wilkins kicks off 56 yards, returned by Reggie Swinton for 16 yards (tackle by Brandon Green). Penalty on Aaron Francisco: Offensive Holding, 10 yards (no play)",0.000,0.000
1,,,,STL 40,0,3,"Jeff Wilkins kicks off 65 yards, returned by Reggie Swinton for 30 yards (tackle by Brandon Chillar)",0.000,0.610
1,7:23,1,10,ARI 25,0,3,Kurt Warner pass complete to Larry Fitzgerald for 4 yards (tackle by Jerome Carter),0.610,0.600
1,6:51,2,6,ARI 29,0,3,Obafemi Ayanbadejo up the middle for 2 yards (tackle by Chris Claiborne and Ryan Pickett),0.600,0.170
1,6:08,3,4,ARI 31,0,3,Kurt Warner pass complete to Anquan Boldin for 15 yards (tackle by Chris Johnson). Penalty on Leonard Little: Defensive Offside (Declined),0.170,1.990
1,5:51,1,10,ARI 46,0,3,Kurt Warner pass complete to Larry Fitzgerald for 11 yards (tackle by Chris Johnson),1.990,2.720
1,5:25,1,10,STL 43,0,3,"Kurt Warner pass complete to Larry Fitzgerald for 1 yard (tackle by Chris Johnson). Penalty on Ronald Bartell: Illegal Use of Hands, 5 yards (no play)",2.720,3.050
1,5:00,1,10,STL 38,0,3,J.J. Arrington right tackle for 4 yards (tackle by Anthony Hargrove),3.050,3.050
1,4:23,2,6,STL 34,0,3,J.J. Arrington left tackle for 5 yards (tackle by Jerome Carter),3.050,3.010
1,3:41,3,1,STL 29,0,3,J.J. Arrington left end for 10 yards (tackle by Mike Furrey),3.010,4.310
1,3:04,1,10,STL 19,0,3,Kurt Warner pass incomplete intended for LeRon McCoy (defended by Ryan Pickett),4.310,3.750
1,2:56,2,10,STL 19,0,3,Kurt Warner pass complete to Larry Fitzgerald for no gain,3.750,3.030
1,2:10,,,,0,3,Timeout #1 by Arizona Cardinals,0.000,3.030
1,2:10,3,10,STL 19,0,3,Kurt Warner pass complete to LeRon McCoy for 5 yards (tackle by Corey Ivy),3.030,2.560
1,1:27,4,5,STL 14,3,3,Neil Rackers 32 yard field goal good,2.560,3.000
1,,,,ARI 30,3,3,"Neil Rackers kicks off 69 yards, returned by David Allen for 19 yards (tackle by Quentin Harris)",0.000,0.280
1,1:17,1,10,STL 20,3,3,Steven Jackson left end for -3 yards (tackle by James Darling),0.280,-0.790
1,0:39,2,13,STL 17,3,3,Marc Bulger pass incomplete intended for Kevin Curtis,-0.790,-1.510
1,0:33,3,13,STL 17,3,3,"Marc Bulger pass incomplete intended for Torry Holt. Penalty on David Macklin: Defensive Pass Interfere, 41 yards (no play)",-1.510,2.790
1,0:27,1,10,ARI 42,3,3,Steven Jackson left guard for -2 yards (tackle by Adrian Wilson),2.790,1.970
Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,ARI 44,3,3,"Penalty on Adam Timmerman: False Start, 5 yards (no play)",1.970,1.300
2,15:00,2,17,ARI 49,3,3,Marc Bulger pass complete to Kevin Curtis for 15 yards (tackle by James Darling),1.300,2.610
2,14:25,3,2,ARI 34,3,3,"Marc Bulger sacked by Adrian Wilson for -3 yards. Penalty on Adrian Wilson: Unnecessary Roughness, 15 yards",2.610,4.110
2,14:14,1,10,ARI 22,3,9,"Marc Bulger pass complete to Torry Holt for 22 yards, touchdown",4.110,7.000
2,,,,ARI 2,3,10,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,3,10,"Jeff Wilkins kicks off 64 yards, returned by Reggie Swinton for 35 yards (tackle by Arlen Harris)",0.000,1.660
2,14:00,1,10,ARI 41,3,10,Kurt Warner pass incomplete intended for Larry Fitzgerald,1.660,1.120
2,13:54,2,10,ARI 41,3,10,Marcel Shipp left end for 19 yards (tackle by Mike Furrey),1.120,2.920
2,13:30,1,10,STL 40,3,10,Kurt Warner pass complete to Adam Bergen for 4 yards (tackle by Chris Johnson),2.920,2.910
2,12:51,2,6,STL 36,3,10,Kurt Warner pass complete to Eric Edwards for 7 yards (tackle by Chris Johnson),2.910,3.640
2,12:25,1,10,STL 29,3,10,Larry Fitzgerald left end for 9 yards (tackle by Leonard Little),3.640,4.320
2,11:55,2,1,STL 20,3,10,Obafemi Ayanbadejo left guard for 2 yards (tackle by Damione Lewis and Corey Ivy),4.320,4.370
2,11:21,1,10,STL 18,3,10,Marcel Shipp up the middle for 8 yards (tackle by Jimmy Kennedy),4.370,5.230
2,10:49,2,2,STL 10,3,10,Marcel Shipp up the middle for 3 yards (tackle by Tyoka Jackson),5.230,5.600
2,10:14,1,7,STL 7,3,10,"Marcel Shipp left guard for 3 yards (tackle by Corey Ivy). Penalty on Anquan Boldin: Illegal Block Above the , 10 yards",5.600,4.440
2,9:50,1,14,STL 14,3,10,Kurt Warner pass incomplete intended for LeRon McCoy (defended by Chris Johnson),4.440,3.580
2,9:43,2,14,STL 14,3,10,Kurt Warner pass complete to Marcel Shipp for 1 yard (tackle by Leonard Little),3.580,3.060
2,9:00,3,13,STL 13,9,10,"Kurt Warner pass complete to Anquan Boldin for 13 yards, touchdown",3.060,7.000
2,,,,STL 2,10,10,Neil Rackers kicks extra point good,0.000,0.000
2,,,,ARI 30,10,10,"Neil Rackers kicks off 76 yards, touchback",0.000,0.280
