Quarter,Time,Tm,Detail,ARI,STL
1.0,7:35,Rams,Jeff Wilkins 47 yard field goal,0,3
,1:22,Cardinals,Neil Rackers 32 yard field goal,3,3
2.0,14:07,Rams,Torry Holt 22 yard pass from Marc Bulger (Jeff Wilkins kick),3,10
,8:53,Cardinals,Anquan Boldin 13 yard pass from Kurt Warner (Neil Rackers kick),10,10
,0:26,Cardinals,Neil Rackers 33 yard field goal,13,10
3.0,11:09,Cardinals,Neil Rackers 51 yard field goal,16,10
,7:38,Rams,Isaac Bruce 46 yard pass from Marc Bulger (Jeff Wilkins kick),16,17
4.0,8:11,Cardinals,Adam Bergen 9 yard pass from Kurt Warner (Anquan Boldin pass from Kurt Warner),24,17
,3:35,Rams,Jeff Wilkins 32 yard field goal,24,20
,3:11,Cardinals,Larry Fitzgerald 7 yard pass from Kurt Warner (Neil Rackers kick),31,20
,1:54,Cardinals,J.J. Arrington 7 yard rush (Neil Rackers kick),38,20
,0:35,Rams,Kevin Curtis 26 yard pass from Jamie Martin (Arlen Harris pass from Jamie Martin),38,28
